matchId,eventTime,homeTeam,awayTeam
g_3_zoTOjLAg,30.03. 18:00,Breogan,Bilbao
g_3_hMwKi1em,30.03. 18:00,Palencia,Tenerife
g_3_ShoWlau6,30.03. 20:45,Baskonia,Basket Zaragoza
g_3_YVoSkuQa,30.03. 20:45,Unicaja,Basquet Girona
g_3_rwHHEyRh,31.03. 12:30,Real Madrid,Manresa
g_3_6qpzlJfC,31.03. 13:00,Gran Canaria,Valencia
g_3_2BwqncPO,31.03. 17:00,Granada,Joventut Badalona
g_3_OKvumwAI,31.03. 17:00,Murcia,MoraBanc Andorra
g_3_GERQAt2P,31.03. 18:30,Obradoiro CAB,Barcelona
g_3_hzJh60At,06.04. 17:00,Basket Zaragoza,Obradoiro CAB
g_3_MF653bfa,06.04. 17:00,Bilbao,Gran Canaria
g_3_za8c5KPn,06.04. 19:30,Breogan,Palencia
g_3_Ek714vug,06.04. 19:30,Joventut Badalona,Murcia
g_3_06592I95,07.04. 12:30,Manresa,Unicaja
g_3_rVfE1xPB,07.04. 13:00,Tenerife,Basquet Girona
g_3_dYbI0dvI,07.04. 17:00,MoraBanc Andorra,Granada
g_3_Q16MDeta,07.04. 17:00,Valencia,Baskonia
g_3_4h5QCFe5,07.04. 18:30,Barcelona,Real Madrid
g_3_jebMaGgO,13.04. 18:00,Murcia,Palencia
g_3_UocQbz9U,13.04. 18:00,Obradoiro CAB,Manresa
g_3_ULTWJJvt,13.04. 20:45,Tenerife,Bilbao
g_3_8CSzJwfn,13.04. 21:00,Unicaja,Basket Zaragoza
g_3_bTJTBZAB,14.04. 12:30,Baskonia,Breogan
g_3_IHW1gRfp,14.04. 17:00,Basquet Girona,Barcelona
g_3_2ZRvIc9h,14.04. 18:00,Gran Canaria,MoraBanc Andorra
g_3_xKIXAgQH,14.04. 18:30,Granada,Valencia
g_3_E9VrHHOb,14.04. 18:30,Real Madrid,Joventut Badalona
g_3_zPJiFegB,20.04. 18:00,Breogan,Gran Canaria
g_3_dYKmGyv5,20.04. 18:00,Manresa,MoraBanc Andorra
g_3_rkNaDZNN,20.04. 20:45,Barcelona,Murcia
g_3_4bOeEF8H,20.04. 20:45,Palencia,Granada
g_3_2Z3W7Doo,21.04. 12:30,Basket Zaragoza,Real Madrid
g_3_QDC4CgwU,21.04. 12:30,Joventut Badalona,Basquet Girona
g_3_GxhEWdOo,21.04. 17:00,Bilbao,Obradoiro CAB
g_3_fTjIVGwh,21.04. 17:00,Valencia,Tenerife
g_3_MkNEUzgb,21.04. 18:30,Unicaja,Baskonia
g_3_f3LMSENA,27.04. 18:00,Granada,Breogan
g_3_0tMITf84,27.04. 18:00,Palencia,Baskonia
g_3_86PQRYxH,27.04. 20:45,Basquet Girona,Bilbao
g_3_jVEVQhhN,27.04. 20:45,Gran Canaria,Joventut Badalona
g_3_ULDZPC7T,28.04. 12:30,Real Madrid,Obradoiro CAB
g_3_MD51LWFp,28.04. 13:00,Tenerife,Unicaja
g_3_29rlqz8i,28.04. 17:00,Manresa,Valencia
g_3_0445KjVj,28.04. 17:00,Murcia,Basket Zaragoza
g_3_EqnhrfNc,28.04. 18:30,MoraBanc Andorra,Barcelona
g_3_ncp0tYiA,04.05. 18:00,Basket Zaragoza,Manresa
g_3_86odsEx4,04.05. 18:00,Bilbao,Palencia
g_3_4Yv5uh7G,04.05. 20:45,Obradoiro CAB,MoraBanc Andorra
g_3_tb2YNPyq,04.05. 20:45,Unicaja,Murcia
g_3_zL1xNqik,05.05. 12:30,Baskonia,Basquet Girona
g_3_lO5tM36e,05.05. 12:30,Real Madrid,Granada
g_3_WneoLNL1,05.05. 17:00,Barcelona,Gran Canaria
g_3_AwfkKsy8,05.05. 17:00,Breogan,Tenerife
g_3_xprXrRD8,05.05. 18:30,Valencia,Joventut Badalona
g_3_GzsyroTE,09.05. 19:00,Palencia,Obradoiro CAB
g_3_baWus5rL,09.05. 20:00,Manresa,Bilbao
g_3_C2zptPcR,09.05. 21:00,Barcelona,Unicaja
g_3_UsNByq6r,09.05. 21:30,Joventut Badalona,Tenerife
g_3_8YLFz3Ll,10.05. 19:00,Baskonia,Murcia
g_3_Q9GKZMze,10.05. 20:00,Breogan,MoraBanc Andorra
g_3_40FOYtj1,10.05. 20:30,Basket Zaragoza,Granada
g_3_bNESX057,10.05. 21:00,Valencia,Real Madrid
g_3_d8XVWKKD,10.05. 21:30,Gran Canaria,Basquet Girona
g_3_j5LTfszK,12.05. 18:00,Basquet Girona,Basket Zaragoza
g_3_MmCakLcs,12.05. 18:00,Bilbao,Barcelona
g_3_Cx5CnJs0,12.05. 18:00,Granada,Gran Canaria
g_3_KvQXg1kQ,12.05. 18:00,MoraBanc Andorra,Valencia
g_3_jT3Gowc6,12.05. 18:00,Murcia,Breogan
g_3_4C14luDm,12.05. 18:00,Obradoiro CAB,Joventut Badalona
g_3_IF58maSg,12.05. 18:00,Real Madrid,Baskonia
g_3_CEMPeNKD,12.05. 18:00,Tenerife,Manresa
g_3_WvLDpcCC,12.05. 18:00,Unicaja,Palencia
