matchId,eventTime,homeTeam,awayTeam
g_3_G88QVjS6,28.04. 18:15,Brindisi,Venezia
g_3_MR6AZYSs,28.04. 18:15,Olimpia Milano,Brescia
g_3_xI9MWWC0,28.04. 18:15,Pesaro,Cremona
g_3_rseJXCcf,28.04. 18:15,Reggiana,Basket Napoli
g_3_QwjHhEZJ,28.04. 18:15,Scafati,Sassari
g_3_4jdFYhrl,28.04. 18:15,Tortona,Virtus Bologna
g_3_Cz2ZTUdJ,28.04. 18:15,Trento,Pistoia
g_3_bXcVUAsD,28.04. 18:15,Varese,Treviso
g_3_jRM8rUBC,05.05. 18:15,Basket Napoli,Scafati
g_3_pOWmmhcs,05.05. 18:15,Brescia,Brindisi
g_3_UBYapjs0,05.05. 18:15,Cremona,Olimpia Milano
g_3_K0RCslRI,05.05. 18:15,Pistoia,Varese
g_3_IyVeoWRg,05.05. 18:15,Sassari,Reggiana
g_3_CzO4qAd6,05.05. 18:15,Treviso,Tortona
g_3_OEVinCCm,05.05. 18:15,Venezia,Pesaro
g_3_4UlLiYlQ,05.05. 18:15,Virtus Bologna,Trento
