matchId,eventTime,homeTeam,awayTeam
g_3_lYMcgzZf,26.04. 20:00,Syntainics MBC,Heidelberg
g_3_vNkjaQMD,27.04. 18:30,Bonn,Rostock
g_3_zkP9jYID,27.04. 18:30,Ludwigsburg,Chemnitz
g_3_SOL1hfl1,27.04. 20:00,Bamberg,Gottingen
g_3_MoL5iE37,27.04. 20:00,Crailsheim Merlins,Ulm
g_3_IDlfbpxK,28.04. 15:30,Basketball Braunschweig,Alba Berlin
g_3_Qwlbc4iQ,28.04. 15:30,Vechta,Wurzburg
g_3_ABPUirFm,28.04. 17:00,Oldenburg,Hamburg
g_3_SnzQhOas,28.04. 18:30,Bayern,Tubingen
g_3_IyTxjMq0,30.04. 18:30,Alba Berlin,Heidelberg
g_3_E3Mol0EC,30.04. 18:30,Hamburg,Crailsheim Merlins
g_3_hfLkmKTI,30.04. 18:30,Rostock,Ludwigsburg
g_3_OETYj2Ug,30.04. 20:00,Bamberg,Bonn
g_3_dSRtkta6,30.04. 20:00,Wurzburg,Syntainics MBC
g_3_AP436sUt,01.05. 15:30,Gottingen,Oldenburg
g_3_lG3751qm,01.05. 15:30,Tubingen,Basketball Braunschweig
g_3_4rSzBNLP,01.05. 15:30,Ulm,Bayern
g_3_6c9XB36J,01.05. 17:00,Chemnitz,Vechta
g_3_Ik8B4Lbg,04.05. 18:30,Crailsheim Merlins,Bamberg
g_3_h80O1JrC,04.05. 18:30,Oldenburg,Tubingen
g_3_dt7F3uEa,04.05. 20:00,Hamburg,Chemnitz
g_3_nVaS0wbI,04.05. 20:00,Heidelberg,Ulm
g_3_QLbWacDO,05.05. 15:30,Basketball Braunschweig,Rostock
g_3_SMjZJ0bt,05.05. 15:30,Syntainics MBC,Ludwigsburg
g_3_MqjwJKDn,05.05. 15:30,Vechta,Gottingen
g_3_QD47OtjP,05.05. 17:00,Bayern,Alba Berlin
g_3_v5dK2aT5,05.05. 18:30,Bonn,Wurzburg
g_3_IBqnHbra,08.05. 18:30,Chemnitz,Basketball Braunschweig
g_3_zmfsIvTh,08.05. 18:30,Wurzburg,Heidelberg
g_3_zmGCXJSu,08.05. 20:00,Alba Berlin,Bonn
g_3_QymfFxDB,08.05. 20:00,Ludwigsburg,Bayern
g_3_d2rjGIc5,08.05. 20:00,Rostock,Crailsheim Merlins
g_3_bRv7CzcU,09.05. 15:30,Bamberg,Vechta
g_3_4SobEdSH,09.05. 15:30,Ulm,Oldenburg
g_3_EwFGWwrn,09.05. 17:00,Tubingen,Hamburg
g_3_niy3DGsO,09.05. 18:30,Gottingen,Syntainics MBC
g_3_lpoK2VhP,10.05. 20:00,Alba Berlin,Bayern
g_3_AoxD8Red,12.05. 15:30,Basketball Braunschweig,Ulm
g_3_WE9LVcch,12.05. 15:30,Bayern,Rostock
g_3_IVBXSesB,12.05. 15:30,Bonn,Ludwigsburg
g_3_4S7TTyS4,12.05. 15:30,Chemnitz,Wurzburg
g_3_xKO5AmRq,12.05. 15:30,Crailsheim Merlins,Alba Berlin
g_3_0f1xSFdH,12.05. 15:30,Hamburg,Gottingen
g_3_Wfw997tj,12.05. 15:30,Heidelberg,Tubingen
g_3_A58PUHCb,12.05. 15:30,Oldenburg,Bamberg
g_3_CjGeXAYd,12.05. 15:30,Vechta,Syntainics MBC
