matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_MkNEUzgb,21.04. 18:30,Unicaja,Baskonia,95,91,27,21,18,29,,35,19,17,20,
g_3_GxhEWdOo,21.04. 17:00,Bilbao,Obradoiro CAB,72,75,18,22,19,13,,19,19,22,15,
g_3_fTjIVGwh,21.04. 17:00,Valencia,Tenerife,98,73,19,24,25,30,,15,18,16,24,
g_3_2Z3W7Doo,21.04. 12:30,Basket Zaragoza,Real Madrid,70,79,17,9,19,25,,20,17,26,16,
g_3_QDC4CgwU,21.04. 12:30,Joventut Badalona,Basquet Girona,96,90,23,26,20,27,,21,15,20,34,
g_3_rkNaDZNN,20.04. 20:45,Barcelona,Murcia,97,86,21,26,32,18,,22,18,28,18,
g_3_4bOeEF8H,20.04. 20:45,Palencia,Granada,83,91,14,20,21,28,,21,26,19,25,
g_3_zPJiFegB,20.04. 18:00AOT,Breogan,Gran Canaria,70,77,13,20,17,8,12,16,12,19,11,19
g_3_dYKmGyv5,20.04. 18:00,Manresa,MoraBanc Andorra,90,97,30,23,9,28,,28,21,24,24,
g_3_xKIXAgQH,14.04. 18:30,Granada,Valencia,81,88,16,23,25,17,,23,8,30,27,
g_3_E9VrHHOb,14.04. 18:30,Real Madrid,Joventut Badalona,95,92,22,15,31,27,,20,25,20,27,
g_3_2ZRvIc9h,14.04. 18:00,Gran Canaria,MoraBanc Andorra,97,92,24,15,28,30,,28,19,17,28,
g_3_IHW1gRfp,14.04. 17:00,Basquet Girona,Barcelona,75,81,12,19,24,20,,26,11,24,20,
g_3_bTJTBZAB,14.04. 12:30,Baskonia,Breogan,76,74,13,20,18,25,,27,12,19,16,
g_3_8CSzJwfn,13.04. 21:00,Unicaja,Basket Zaragoza,83,72,26,23,18,16,,13,15,16,28,
g_3_ULTWJJvt,13.04. 20:45,Tenerife,Bilbao,101,84,20,27,25,29,,21,30,15,18,
g_3_jebMaGgO,13.04. 18:00,Murcia,Palencia,90,77,19,20,22,29,,11,19,29,18,
g_3_UocQbz9U,13.04. 18:00,Obradoiro CAB,Manresa,86,94,20,15,26,25,,15,23,27,29,
g_3_4h5QCFe5,07.04. 18:30,Barcelona,Real Madrid,85,79,27,18,19,21,,11,22,25,21,
g_3_dYbI0dvI,07.04. 17:00,MoraBanc Andorra,Granada,88,62,21,14,20,33,,17,15,14,16,
g_3_Q16MDeta,07.04. 17:00,Valencia,Baskonia,111,101,31,31,25,24,,14,20,31,36,
g_3_rVfE1xPB,07.04. 13:00,Tenerife,Basquet Girona,74,60,19,23,12,20,,9,21,11,19,
g_3_06592I95,07.04. 12:30,Manresa,Unicaja,77,88,20,21,15,21,,8,23,24,33,
g_3_za8c5KPn,06.04. 19:30,Breogan,Palencia,73,65,16,17,15,25,,16,19,12,18,
g_3_Ek714vug,06.04. 19:30,Joventut Badalona,Murcia,75,82,23,19,15,18,,21,17,20,24,
g_3_hzJh60At,06.04. 17:00,Basket Zaragoza,Obradoiro CAB,98,79,27,21,20,30,,23,23,26,7,
g_3_MF653bfa,06.04. 17:00,Bilbao,Gran Canaria,81,71,19,17,24,21,,21,13,13,24,
g_3_GERQAt2P,31.03. 18:30,Obradoiro CAB,Barcelona,84,89,15,29,24,16,,25,21,16,27,
g_3_2BwqncPO,31.03. 17:00,Granada,Joventut Badalona,86,83,28,19,17,22,,14,20,22,27,
g_3_OKvumwAI,31.03. 17:00,Murcia,MoraBanc Andorra,99,86,21,29,26,23,,22,18,24,22,
g_3_6qpzlJfC,31.03. 13:00,Gran Canaria,Valencia,79,71,18,20,13,28,,26,11,19,15,
g_3_rwHHEyRh,31.03. 12:30,Real Madrid,Manresa,72,83,15,19,18,20,,17,24,19,23,
g_3_ShoWlau6,30.03. 20:45,Baskonia,Basket Zaragoza,102,94,30,28,23,21,,18,22,26,28,
g_3_YVoSkuQa,30.03. 20:45,Unicaja,Basquet Girona,111,80,29,28,34,20,,21,27,15,17,
g_3_zoTOjLAg,30.03. 18:00,Breogan,Bilbao,68,80,9,23,16,20,,16,21,19,24,
g_3_hMwKi1em,30.03. 18:00,Palencia,Tenerife,68,89,17,15,22,14,,29,11,19,30,
g_3_UZCDFHBn,24.03. 18:30,Joventut Badalona,Barcelona,75,93,21,19,15,20,,28,17,25,23,
g_3_EVvGhsts,24.03. 17:00,Bilbao,Baskonia,82,80,28,15,16,23,,22,19,22,17,
g_3_zDD9Gcdt,24.03. 17:00,Valencia,Murcia,83,82,23,26,7,27,,16,15,27,24,
g_3_nNBnA9BE,24.03. 13:00,Tenerife,Gran Canaria,93,92,29,20,19,25,,17,29,24,22,
g_3_8WCrBkd8,24.03. 12:30,Palencia,Real Madrid,78,86,13,17,26,22,,17,26,23,20,
g_3_hOUemn41,23.03. 20:45,MoraBanc Andorra,Basket Zaragoza,85,80,19,20,25,21,,16,21,16,27,
g_3_6RYan6J7,23.03. 20:45,Obradoiro CAB,Breogan,83,72,25,16,21,21,,14,13,23,22,
g_3_KAWmk8Zl,23.03. 18:00,Basquet Girona,Manresa,83,84,25,21,14,23,,30,22,21,11,
g_3_b1VilSle,23.03. 18:00,Granada,Unicaja,62,90,15,14,17,16,,18,20,30,22,
g_3_Y3RsLwlP,17.03. 18:30,Unicaja,Real Madrid,81,87,19,21,24,17,,24,24,16,23,
g_3_xjTOfUBR,17.03. 17:00,Basket Zaragoza,Palencia,103,96,30,16,31,26,,17,25,23,31,
g_3_vaFjjlKr,17.03. 17:00,Basquet Girona,Valencia,92,88,23,25,21,23,,20,29,16,23,
g_3_UPPGdjsF,17.03. 12:30,Barcelona,Breogan,85,88,23,24,25,13,,26,20,21,21,
g_3_rTTKeAdL,17.03. 12:30,Bilbao,Joventut Badalona,92,71,22,22,22,26,,20,20,18,13,
g_3_8Ay8bCC2,16.03. 20:45,Manresa,Gran Canaria,78,71,20,21,22,15,,16,16,20,19,
g_3_n1zCcWR8,16.03. 20:45,MoraBanc Andorra,Tenerife,66,79,18,9,21,18,,23,17,21,18,
g_3_dnradfBO,16.03. 18:00,Baskonia,Granada,104,88,27,25,25,27,,21,23,16,28,
g_3_KfrQZSZ1,16.03. 18:00,Murcia,Obradoiro CAB,94,81,22,25,23,24,,15,15,23,28,
g_3_IeqeczdI,10.03. 18:30,Baskonia,Barcelona,103,96,23,27,32,21,,19,23,28,26,
g_3_bufHyk5k,10.03. 17:00,Granada,Bilbao,87,79,17,27,16,27,,15,18,22,24,
g_3_t4qMz9Ke,10.03. 17:00,Palencia,MoraBanc Andorra,77,70,18,22,22,15,,8,20,23,19,
g_3_UP3osBsS,10.03. 12:30,Obradoiro CAB,Valencia,75,97,20,20,18,17,,27,22,20,28,
g_3_n5jDxVkq,10.03. 12:30,Real Madrid,Tenerife,80,78,20,18,25,17,,19,22,18,19,
g_3_jZ4sriSL,09.03. 20:45,Gran Canaria,Basket Zaragoza,111,85,21,26,30,34,,12,15,27,31,
g_3_YcAxqXCF,09.03. 20:45,Murcia,Basquet Girona,81,73,21,27,18,15,,19,13,23,18,
g_3_0pCUpgr3,09.03. 18:00,Breogan,Unicaja,65,76,13,20,13,19,,17,17,22,20,
g_3_f7BYqDc9,09.03. 18:00,Joventut Badalona,Manresa,81,83,16,19,24,22,,29,23,6,25,
g_3_CbtmadR5,03.03. 18:30,Barcelona,Basket Zaragoza,109,68,21,29,29,30,,16,18,20,14,
g_3_OYqibGtC,03.03. 18:30,Gran Canaria,Baskonia,98,80,26,22,20,30,,22,17,18,23,
g_3_ns8QoZSd,03.03. 17:00,Valencia,Palencia,111,93,25,28,27,31,,25,31,20,17,
g_3_6oVwOVzj,03.03. 12:30,Basquet Girona,Obradoiro CAB,78,77,13,18,27,20,,26,11,18,22,
g_3_pxUsNkjd,03.03. 12:30,MoraBanc Andorra,Real Madrid,70,89,16,25,14,15,,26,11,31,21,
g_3_A1U8TiDS,02.03. 20:45,Joventut Badalona,Breogan,78,70,16,24,20,18,,14,16,19,21,
g_3_CAGzPBLq,02.03. 20:45,Tenerife,Granada,89,83,19,28,21,21,,17,21,17,28,
g_3_EZz0VDrG,02.03. 18:00,Manresa,Murcia,83,88,24,14,25,20,,21,26,21,20,
g_3_Sxu4UXcM,02.03. 18:00,Unicaja,Bilbao,101,84,25,17,29,30,,23,22,19,20,
g_3_UZjr0xCa,11.02. 18:30,Manresa,Barcelona,77,87,19,19,23,16,,27,20,17,23,
g_3_OprmYFbc,11.02. 17:00,Baskonia,Joventut Badalona,78,81,18,18,19,23,,22,21,21,17,
g_3_tMxhXZD3,11.02. 17:00,Murcia,Granada,91,78,24,22,28,17,,12,20,18,28,
g_3_pfqqZeqi,11.02. 12:30,Bilbao,Valencia,93,78,28,14,28,23,,18,15,25,20,
g_3_KCydWgT9,11.02. 12:30,Breogan,Real Madrid,73,80,24,18,15,16,,15,24,15,26,
g_3_Wje1AC6j,10.02. 20:45,Basket Zaragoza,Tenerife,100,106,18,26,29,27,,24,29,25,28,
g_3_KGicBhip,10.02. 20:45,MoraBanc Andorra,Basquet Girona,93,66,23,25,22,23,,20,10,24,12,
g_3_EZEUFYrT,10.02. 18:00,Obradoiro CAB,Unicaja,78,90,18,18,22,20,,16,18,31,25,
g_3_zqGQGETM,10.02. 18:00,Palencia,Gran Canaria,82,58,20,25,21,16,,20,12,11,15,
g_3_jqhv1Idg,04.02. 18:30,Barcelona,Valencia,76,79,19,21,18,18,,19,19,22,19,
g_3_SICIIzaA,04.02. 18:30,Granada,Manresa,93,94,22,27,20,24,,25,20,22,27,
g_3_69BMHfEG,04.02. 17:00,Obradoiro CAB,Gran Canaria,72,81,22,14,17,19,,24,14,20,23,
g_3_pfNDJGq4,04.02. 13:00,Tenerife,Baskonia,95,78,26,20,27,22,,17,24,19,18,
g_3_WjJ9KdUc,04.02. 12:30,Real Madrid,Basquet Girona,92,79,28,20,20,24,,18,26,14,21,
g_3_xUJ5LxFi,03.02. 20:45,Murcia,Bilbao,96,76,18,32,26,20,,19,13,18,26,
g_3_bwL1MIao,03.02. 20:45,Unicaja,MoraBanc Andorra,92,86,21,26,24,21,,30,18,22,16,
g_3_Kh5aVhRI,03.02. 18:00,Basket Zaragoza,Breogan,63,61,11,20,16,16,,17,11,12,21,
g_3_dISSDQeo,03.02. 18:00,Joventut Badalona,Palencia,89,77,19,19,25,26,,24,16,17,20,
g_3_M9mz2bsm,28.01. 18:30,Valencia,Unicaja,63,83,7,18,17,21,,19,22,16,26,
g_3_xxC37KJP,28.01. 17:00,Barcelona,Palencia,102,94,29,23,18,32,,16,27,25,26,
g_3_rJlW2vSt,28.01. 17:00,Baskonia,Obradoiro CAB,89,79,24,20,22,23,,14,24,19,22,
g_3_QV5eWYBC,28.01. 13:00,Gran Canaria,Real Madrid,100,77,25,32,21,22,,9,27,24,17,
g_3_CS1iXEd6,28.01. 12:30,Basquet Girona,Granada,80,61,17,19,26,18,,15,17,9,20,
g_3_jDDrZzSg,27.01. 20:45,Manresa,Breogan,83,68,15,25,22,21,,12,16,23,17,
g_3_U3CnYfs0,27.01. 20:45,MoraBanc Andorra,Joventut Badalona,79,86,15,22,26,16,,21,14,28,23,
g_3_rmAzyccs,27.01. 18:00,Bilbao,Basket Zaragoza,86,83,25,20,16,25,,19,13,25,26,
g_3_Mw9vzHCm,27.01. 18:00,Tenerife,Murcia,75,73,17,19,16,23,,18,11,24,20,
g_3_AVJHqHRI,21.01. 18:30,Real Madrid,Bilbao,95,80,30,18,28,19,,22,16,14,28,
g_3_OY7a804J,21.01. 17:00,Basket Zaragoza,Valencia,75,85,20,19,20,16,,13,23,22,27,
g_3_vLE4tJZJ,21.01. 17:00,Baskonia,MoraBanc Andorra,108,95,20,29,27,32,,26,21,21,27,
g_3_QHQMHZdJ,21.01. 12:30,Breogan,Basquet Girona,93,75,14,25,28,26,,18,18,16,23,
g_3_x6X7uwkQ,21.01. 12:30,Granada,Barcelona,61,94,16,16,15,14,,19,23,25,27,
g_3_nRRIIFsD,20.01. 20:45,Joventut Badalona,Unicaja,85,81,17,29,16,23,,28,22,13,18,
g_3_UkXDJeS6,20.01. 20:45,Palencia,Manresa,88,95,17,24,25,22,,17,22,22,34,
g_3_jaY9KyD0,20.01. 18:00,Gran Canaria,Murcia,91,80,27,17,30,17,,16,28,19,17,
g_3_dxZ5LHcf,20.01. 18:00,Obradoiro CAB,Tenerife,86,97,24,19,21,22,,21,33,19,24,
g_3_rZU1Mcrl,14.01. 18:00,Tenerife,Barcelona,80,83,20,19,25,16,,24,15,24,20,
g_3_0AucNwTs,14.01. 17:00,Manresa,Baskonia,82,90,23,13,30,16,,14,23,26,27,
g_3_t8cvtkvo,14.01. 17:00,Valencia,Breogan,88,80,24,18,17,29,,24,23,21,12,
g_3_MNG7oBGN,14.01. 12:30,Granada,Obradoiro CAB,77,74,18,24,20,15,,18,16,18,22,
g_3_4n6CpVVT,14.01. 12:30,Murcia,Real Madrid,73,61,19,17,16,21,,16,10,25,10,
g_3_z7IamXoB,13.01. 20:45,Joventut Badalona,Basket Zaragoza,95,84,24,26,17,28,,17,21,17,29,
g_3_rXH3ni1H,13.01. 20:45,MoraBanc Andorra,Bilbao,87,78,19,21,26,21,,25,19,12,22,
g_3_dGJelDW4,13.01. 18:00,Basquet Girona,Palencia,84,86,21,23,19,21,,17,17,24,28,
g_3_EiUjkgHb,13.01. 18:00,Unicaja,Gran Canaria,80,77,22,18,19,21,,16,16,27,18,
g_3_b1gVRJKQ,07.01. 18:30,Baskonia,Real Madrid,85,99,20,23,23,19,,35,16,22,26,
g_3_jyfRSa5K,07.01. 17:00AOT,Barcelona,Obradoiro CAB,92,90,18,16,24,23,11,16,23,28,14,9
g_3_CpeNTujE,07.01. 17:00,Valencia,Gran Canaria,79,86,24,16,19,20,,17,20,24,25,
g_3_6RQriFnn,07.01. 12:30,Bilbao,Manresa,74,54,22,24,19,9,,13,21,12,8,
g_3_0lQnjZ1h,07.01. 12:30,Breogan,Granada,85,79,25,27,14,19,,13,27,24,15,
g_3_S0eYWB1U,06.01. 20:45,Palencia,Unicaja,72,86,21,10,18,23,,21,20,30,15,
g_3_SzSvheXu,06.01. 20:45,Tenerife,Joventut Badalona,90,70,24,21,21,24,,18,9,17,26,
g_3_fmcQYXWH,06.01. 18:00,Basket Zaragoza,Basquet Girona,81,74,23,15,22,21,,13,16,18,27,
g_3_lAdUXinO,06.01. 18:00,MoraBanc Andorra,Murcia,98,73,21,32,25,20,,25,16,17,15,
g_3_d2vNZDHB,31.12. 12:30,Real Madrid,Valencia,83,74,20,21,26,16,,15,19,19,21,
g_3_zmjEyzma,30.12. 20:45,Basquet Girona,Baskonia,85,93,17,23,19,26,,22,26,27,18,
g_3_EwkIzf25,30.12. 20:45,Gran Canaria,Breogan,86,60,22,28,23,13,,10,25,9,16,
g_3_6DoAxGXh,30.12. 18:00,Palencia,Bilbao,78,72,24,18,13,23,,12,19,21,20,
g_3_SMn6wdIn,29.12. 20:30,Manresa,Joventut Badalona,102,89,21,24,34,23,,23,20,18,28,
g_3_pbc1vx3t,29.12. 20:30,Obradoiro CAB,Murcia,79,87,19,21,23,16,,13,26,21,27,
g_3_8x6ZrIfP,28.12. 20:30,Basket Zaragoza,MoraBanc Andorra,72,76,18,7,30,17,,16,15,22,23,
g_3_fZHiKYHO,28.12. 20:30,Granada,Tenerife,68,80,18,12,15,23,,17,21,16,26,
g_3_AuHv5dDD,27.12. 21:00,Unicaja,Barcelona,91,71,19,29,21,22,,26,11,23,11,
g_3_GrJmLE2I,23.12. 20:45,Breogan,Obradoiro CAB,88,90,22,18,24,24,,23,23,20,24,
g_3_dxDz6xb7,23.12. 18:30,Joventut Badalona,Real Madrid,73,101,18,17,20,18,,26,27,26,22,
g_3_2FDW6Ir1,23.12. 18:00,Valencia,Granada,75,81,20,15,14,26,,18,19,23,21,
g_3_zX1jMfmC,22.12. 21:30,Murcia,Unicaja,65,88,11,16,18,20,,20,24,25,19,
g_3_dt3nNzY5,22.12. 21:00,Tenerife,Basket Zaragoza,64,70,23,18,8,15,,11,16,19,24,
g_3_2J3rOGIa,22.12. 20:30,MoraBanc Andorra,Gran Canaria,77,98,16,17,20,24,,24,27,26,21,
g_3_lGavPd3g,22.12. 19:00,Bilbao,Basquet Girona,80,74,22,12,24,22,,17,23,16,18,
g_3_AHYiE0jR,17.12. 18:30,Valencia,MoraBanc Andorra,86,82,19,13,29,25,,20,18,27,17,
g_3_SdLJ9Kbr,17.12. 18:00,Barcelona,Baskonia,82,62,17,20,19,26,,19,14,11,18,
g_3_6iAZPxlm,17.12. 17:00,Breogan,Murcia,74,83,16,18,18,22,,31,15,14,23,
g_3_z9J3VbQP,17.12. 12:30,Basquet Girona,Joventut Badalona,67,82,15,21,17,14,,21,17,19,25,
g_3_S0BVQIYt,17.12. 12:30,Palencia,Basket Zaragoza,80,88,18,22,21,19,,20,26,20,22,
g_3_dIKaWvBJ,16.12. 20:45,Gran Canaria,Bilbao,83,75,19,23,17,24,,25,18,23,9,
g_3_bsVmFtyL,16.12. 20:45,Obradoiro CAB,Real Madrid,74,85,19,15,14,26,,15,24,23,23,
g_3_fDtH7eYI,16.12. 18:00,Manresa,Tenerife,73,76,9,18,20,26,,13,18,26,19,
g_3_rwwD8yJC,16.12. 18:00,Unicaja,Granada,92,70,18,32,20,22,,9,21,23,17,
g_3_OOES7bTf,13.12. 20:30,Barcelona,Manresa,82,83,14,22,24,22,,24,15,26,18,
g_3_6mKN8vEl,12.12. 20:30,Baskonia,Palencia,94,82,14,23,25,32,,20,23,25,14,
g_3_GIuqGMLE,10.12. 18:30,Basket Zaragoza,Barcelona,101,99,21,27,33,20,,18,26,31,24,
g_3_lCmchJT7,10.12. 17:00,Baskonia,Tenerife,104,100,22,34,22,26,,25,19,29,27,
g_3_xStuH268,10.12. 17:00AOT,Murcia,Valencia,77,85,7,19,20,24,7,23,18,12,17,15
g_3_lGw99H36,10.12. 12:30,Joventut Badalona,Obradoiro CAB,78,69,20,14,21,23,,18,23,14,14,
g_3_APv5Acl0,10.12. 12:30,Real Madrid,Gran Canaria,97,71,31,23,20,23,,14,23,16,18,
g_3_EcodCJJm,09.12. 20:45,Manresa,Basquet Girona,101,87,29,23,27,22,,17,25,27,18,
g_3_hlp0BwZg,09.12. 20:45,MoraBanc Andorra,Unicaja,81,87,24,15,18,24,,18,16,25,28,
g_3_8bJOURZE,09.12. 18:00,Bilbao,Breogan,68,76,22,12,19,15,,13,18,18,27,
g_3_KznhDa4s,09.12. 18:00,Granada,Palencia,109,85,26,29,35,19,,20,17,27,21,
g_3_ALlggaE1,03.12. 18:30,Joventut Badalona,Baskonia,77,72,19,18,24,16,,22,16,16,18,
g_3_Sdalfuae,03.12. 17:00,Barcelona,Granada,80,69,11,24,19,26,,15,16,23,15,
g_3_EgepeLqk,03.12. 17:00,Valencia,Bilbao,79,85,17,22,20,20,,19,24,17,25,
g_3_QZTJV7K8,03.12. 13:00,Gran Canaria,Palencia,100,73,22,24,32,22,,13,23,19,18,
g_3_nqVFWm52,03.12. 12:30,Real Madrid,Breogan,91,58,17,24,27,23,,19,9,12,18,
g_3_YRRY74S1,02.12. 20:45AOT,Basquet Girona,MoraBanc Andorra,107,104,26,30,20,17,14,38,22,11,22,11
g_3_fyTU8pDe,02.12. 20:45,Tenerife,Obradoiro CAB,87,92,29,26,17,15,,20,24,25,23,
g_3_CCwQ9Qck,02.12. 18:00,Basket Zaragoza,Murcia,82,76,19,15,26,22,,17,21,13,25,
g_3_b9ZLA6rq,02.12. 18:00,Unicaja,Manresa,91,77,31,18,21,21,,25,21,14,17,
g_3_tUnfFnzS,26.11. 18:30AOT,Gran Canaria,Tenerife,82,94,16,13,18,27,8,16,29,13,16,20
g_3_2wljGSKL,26.11. 17:00,Barcelona,Basquet Girona,115,78,26,25,33,31,,14,23,18,23,
g_3_KWetd1Ur,26.11. 17:00,Baskonia,Manresa,94,86,29,22,18,25,,12,29,19,26,
g_3_6BfsIlj9,26.11. 12:30,Breogan,Basket Zaragoza,82,77,16,18,18,30,,23,17,17,20,
g_3_p2goH85F,26.11. 12:30,Real Madrid,MoraBanc Andorra,85,76,20,23,26,16,,16,17,26,17,
g_3_0EiZJALd,25.11. 20:45,Bilbao,Unicaja,43,67,13,13,11,6,,19,27,5,16,
g_3_ClewJUz3,25.11. 20:45,Murcia,Joventut Badalona,105,73,29,24,30,22,,20,15,15,23,
g_3_dtRhBIHd,25.11. 18:00,Obradoiro CAB,Granada,77,94,15,25,24,13,,24,19,29,22,
g_3_IN9E0sMR,25.11. 18:00,Palencia,Valencia,77,101,20,27,17,13,,25,31,26,19,
g_3_j1wI1N6L,19.11. 18:30,Murcia,Barcelona,82,73,23,12,23,24,,20,18,24,11,
g_3_CAvE23iF,19.11. 17:00,Baskonia,Valencia,83,74,15,21,26,21,,19,18,20,17,
g_3_dIr6KMfA,19.11. 17:00,Joventut Badalona,Bilbao,81,78,19,19,15,28,,19,22,19,18,
g_3_lGNpDvmp,19.11. 12:30,Granada,MoraBanc Andorra,91,88,28,21,19,23,,20,23,17,28,
g_3_n7yJHKvT,19.11. 12:30,Manresa,Obradoiro CAB,76,56,17,20,13,26,,13,12,14,17,
g_3_IkSlCb2j,19.11. 12:30,Real Madrid,Unicaja,93,99,25,29,18,21,,26,13,27,33,
g_3_jurAJtAG,18.11. 20:45,Basquet Girona,Breogan,87,83,30,15,19,23,,24,28,15,16,
g_3_4rnEI0PM,18.11. 20:45,Tenerife,Palencia,92,71,30,19,19,24,,16,19,18,18,
g_3_IRq2L2u4,18.11. 18:00,Basket Zaragoza,Gran Canaria,94,101,23,19,31,21,,27,20,28,26,
g_3_ImuA3qx9,12.11. 18:30,Barcelona,Tenerife,94,83,21,19,22,32,,19,16,23,25,
g_3_bPT0NOAi,12.11. 17:00,Bilbao,Real Madrid,84,87,11,22,23,28,,20,16,27,24,
g_3_xGS4MrQc,12.11. 17:00,Valencia,Basket Zaragoza,76,69,22,15,25,14,,23,20,15,11,
g_3_pMuJbuYj,12.11. 13:00,Gran Canaria,Granada,89,75,29,16,25,19,,14,17,23,21,
