matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zN8hbg7d,22.04. 19:15,Lavrio,Maroussi,76,90,14,16,23,23,,27,18,19,26,
g_3_tOFq0Fxp,21.04. 19:15,AS Karditsas,Apollon Patras,95,67,30,29,18,18,,14,17,14,22,
g_3_AuPD5yFM,21.04. 16:15,AEK Athens,PAOK,99,91,29,20,29,21,,28,19,21,23,
g_3_lQz57cpA,20.04. 16:15,Aris,Kolossos Rhodes,60,69,11,21,21,7,,19,15,20,15,
g_3_t0Xd9JFc,19.04. 19:15,Panathinaikos,Peristeri,93,88,13,28,20,32,,25,20,22,21,
g_3_G6DIoGNj,18.04. 16:15,Olympiacos,Promitheas,80,69,20,24,18,18,,9,27,8,25,
g_3_biQPZgvR,15.04. 19:15,Panathinaikos,Olympiacos,77,71,23,15,21,18,,16,17,22,16,
g_3_vqNle164,14.04. 19:15,PAOK,AS Karditsas,85,70,22,14,24,25,,18,12,21,19,
g_3_ITYucNyh,14.04. 16:15,AEK Athens,Lavrio,100,67,31,19,30,20,,10,13,23,21,
g_3_QwSHyG9E,13.04. 19:15,Promitheas,Kolossos Rhodes,96,73,26,22,20,28,,15,18,29,11,
g_3_jNtfZJqo,13.04. 17:00,Maroussi,Apollon Patras,77,73,19,19,22,17,,15,9,22,27,
g_3_AVqVDCH7,13.04. 16:15,Peristeri,Aris,75,82,14,26,17,18,,27,10,23,22,
g_3_jRYAbaIU,08.04. 19:15,Maroussi,AS Karditsas,91,70,24,19,22,26,,14,17,26,13,
g_3_G8tb11YB,08.04. 16:15,Kolossos Rhodes,Panathinaikos,74,79,22,15,25,12,,24,16,17,22,
g_3_Mosf2sJ5,07.04. 16:15,Promitheas,Aris,84,51,13,17,34,20,,13,14,12,12,
g_3_rerj3N3a,07.04. 14:00,Olympiacos,Peristeri,91,83,23,20,21,27,,23,29,15,16,
g_3_Czz7au3O,06.04. 19:15,Apollon Patras,AEK Athens,89,79,26,24,25,14,,13,29,16,21,
g_3_UBp20LmI,06.04. 16:15,Lavrio,PAOK,89,85,22,25,25,17,,24,18,20,23,
g_3_lfQc90PB,01.04. 19:15,AEK Athens,Maroussi,88,85,13,28,25,22,,20,19,21,25,
g_3_rcNkBMfa,31.03. 19:15,Lavrio,AS Karditsas,88,95,18,24,26,20,,21,28,21,25,
g_3_Czp92hCR,31.03. 16:15,Olympiacos,Aris,85,77,15,24,18,28,,19,19,18,21,
g_3_0YXpC2ug,30.03. 17:00,PAOK,Apollon Patras,87,63,23,21,13,30,,26,15,15,7,
g_3_fak43YdL,30.03. 16:15,Peristeri,Kolossos Rhodes,98,90,21,29,20,28,,23,16,25,26,
g_3_EsNVUAFE,25.03. 19:15,Panathinaikos,Promitheas,93,62,19,30,26,18,,15,12,19,16,
g_3_ba6VzqsC,24.03. 19:15,AS Karditsas,PAOK,97,78,23,19,29,26,,26,15,18,19,
g_3_84MZTUUK,24.03. 16:15,Apollon Patras,Olympiacos,63,93,9,26,15,13,,28,18,27,20,
g_3_hM5ZZ2dI,24.03. 16:00,Kolossos Rhodes,Maroussi,89,85,23,21,24,21,,7,22,23,33,
g_3_j7OxZMBO,23.03. 19:15,AEK Athens,Peristeri,97,101,29,22,25,21,,29,29,18,25,
g_3_hC2Lc6lP,23.03. 16:15,Aris,Lavrio,84,60,20,18,24,22,,21,17,9,13,
g_3_UJEEvRsm,17.03. 19:15,Lavrio,Apollon Patras,82,75,23,14,22,23,,19,18,21,17,
g_3_0vJRVj08,17.03. 16:15,PAOK,Panathinaikos,73,89,22,20,16,15,,24,22,18,25,
g_3_bZvq77N7,16.03. 19:15,Olympiacos,AS Karditsas,85,73,21,18,23,23,,19,22,16,16,
g_3_2XCMx5Ca,16.03. 18:00,Maroussi,AEK Athens,82,90,17,20,22,23,,24,23,23,20,
g_3_OtEIwocg,16.03. 16:15,Peristeri,Aris,84,62,21,21,21,21,,13,19,19,11,
g_3_K87RyPR5,16.03. 15:00AOT,Promitheas,Kolossos Rhodes,84,79,14,19,25,17,9,4,19,25,27,4
g_3_AZXspmKP,10.03. 17:00,Aris,Maroussi,67,73,22,15,13,17,,21,22,17,13,
g_3_j9yy9The,10.03. 16:15,AS Karditsas,Panathinaikos,64,87,22,10,16,16,,22,20,23,22,
g_3_4xodMqSI,10.03. 15:30,Kolossos Rhodes,PAOK,95,79,20,25,34,16,,19,28,15,17,
g_3_WrZwoT4J,09.03. 19:15,AEK Athens,Promitheas,87,91,14,18,29,26,,17,23,20,31,
g_3_GGAAu7St,09.03. 17:00,Apollon Patras,Peristeri,63,74,21,6,16,20,,18,16,24,16,
g_3_Krtu8m81,09.03. 16:15,Olympiacos,Lavrio,84,63,22,22,26,14,,15,27,10,11,
g_3_UgmSAkOr,04.03. 19:15,Peristeri,Olympiacos,67,85,14,25,9,19,,25,23,22,15,
g_3_UJhqPor0,04.03. 16:15,Maroussi,Apollon Patras,99,73,25,21,23,30,,21,22,18,12,
g_3_CIxX99wk,03.03. 16:15,Panathinaikos,Kolossos Rhodes,96,73,26,25,28,17,,26,16,16,15,
g_3_QonhNPCC,02.03. 17:45,PAOK,AEK Athens,85,94,23,22,16,24,,22,22,23,27,
g_3_zcguQRSg,02.03. 17:00,Lavrio,AS Karditsas,76,57,13,15,21,27,,14,17,14,12,
g_3_rNdmO5c6,02.03. 15:45,Promitheas,Aris,70,57,20,17,19,14,,14,15,12,16,
g_3_0vcdGB0L,12.02. 19:15,AEK Athens,Panathinaikos,69,89,16,19,18,16,,28,20,20,21,
g_3_f1d0FVFR,11.02. 19:30,Olympiacos,Maroussi,93,87,18,28,26,21,,20,20,19,28,
g_3_d6fyR7Dm,11.02. 17:00,Lavrio,Peristeri,64,86,20,14,15,15,,17,21,23,25,
g_3_xMD4WTkQ,11.02. 15:30,Aris,PAOK,77,63,24,16,18,19,,22,14,15,12,
g_3_vVaWRmbs,10.02. 19:15,Apollon Patras,Promitheas,56,84,11,8,18,19,,16,20,22,26,
g_3_raE0X9zK,10.02. 16:15,AS Karditsas,Kolossos Rhodes,87,69,25,19,20,23,,15,20,22,12,
g_3_l0oCQw27,05.02. 19:15,Maroussi,Lavrio,71,75,14,24,21,12,,23,19,16,17,
g_3_MmbhHioF,05.02. 16:15,Panathinaikos,Aris,70,73,10,24,23,13,,25,14,12,22,
g_3_KQt8RJn1,04.02. 19:15,AS Karditsas,Peristeri,84,95,17,25,20,22,,29,20,26,20,
g_3_4C3mIXV8,04.02. 16:15,Promitheas,Olympiacos,57,81,11,17,17,12,,21,18,24,18,
g_3_SjpGPcHD,03.02. 16:15,PAOK,Apollon Patras,85,70,25,18,21,21,,10,22,18,20,
g_3_WOAdYkLD,03.02. 15:00,Kolossos Rhodes,AEK Athens,103,80,27,24,29,23,,19,17,19,25,
g_3_CIG1fUw2,28.01. 19:15,Apollon Patras,Panathinaikos,55,87,11,18,15,11,,26,23,22,16,
g_3_p8leUL2r,28.01. 16:15,Aris,Kolossos Rhodes,98,91,23,30,18,27,,18,30,21,22,
g_3_QL4qJDG2,27.01. 19:15,Olympiacos,PAOK,77,62,12,30,22,13,,14,15,14,19,
g_3_tzr4SaXf,27.01. 18:00,Peristeri,Maroussi,95,72,21,21,28,25,,16,20,22,14,
g_3_bBhaTuIl,27.01. 17:00,Lavrio,Promitheas,89,84,26,25,23,15,,23,18,16,27,
g_3_hCQRolYF,27.01. 16:15,AS Karditsas,AEK Athens,86,95,15,32,15,24,,26,26,23,20,
g_3_bFCceAOe,22.01. 19:15,Panathinaikos,Olympiacos,85,80,23,21,19,22,,18,24,12,26,
g_3_t24yRndj,21.01. 19:15,AS Karditsas,Maroussi,87,84,18,25,23,21,,22,26,21,15,
g_3_naeRmA33,21.01. 17:00,Kolossos Rhodes,Apollon Patras,88,60,22,22,24,20,,18,10,25,7,
g_3_88dNljlc,21.01. 16:15AOT,PAOK,Lavrio,66,65,14,18,8,14,12,10,10,22,12,11
g_3_f58uQ6Bd,20.01. 19:15AOT,Promitheas,Peristeri,75,81,10,15,21,24,5,11,18,19,22,11
g_3_ELRNnUI9,20.01. 16:15,AEK Athens,Aris,91,93,22,20,29,20,,19,24,24,26,
g_3_x0OlcWgq,15.01. 19:15,Olympiacos,Kolossos Rhodes,71,52,14,13,23,21,,11,21,12,8,
g_3_l4PdYU3G,14.01. 19:15,AS Karditsas,Aris,80,71,23,21,15,21,,19,19,20,13,
g_3_GjNhdj9k,14.01. 16:15,Lavrio,Panathinaikos,76,92,16,15,23,22,,25,21,26,20,
g_3_SfO0XlJM,13.01. 18:30,Apollon Patras,AEK Athens,83,75,19,28,23,13,,20,14,18,23,
g_3_bwFWRStp,13.01. 17:00,Maroussi,Promitheas,70,95,20,11,15,24,,19,26,20,30,
g_3_dUS4W8YS,13.01. 16:15,Peristeri,PAOK,71,35,22,24,11,14,,11,13,4,7,
g_3_f5WmziZ3,07.01. 17:00,Kolossos Rhodes,Lavrio,88,73,26,15,23,24,,17,20,17,19,
g_3_tGNJ2hWL,07.01. 16:00,Panathinaikos,Peristeri,90,75,25,16,26,23,,19,25,19,12,
g_3_K6MN1CoS,07.01. 13:45,AEK Athens,Olympiacos,80,92,16,23,18,23,,23,26,22,21,
g_3_6uzhZAlA,06.01. 18:00,Aris,Apollon Patras,76,63,17,18,21,20,,14,17,10,22,
g_3_MiYuxD4i,06.01. 16:00,AS Karditsas,Promitheas,101,72,27,27,23,24,,11,27,17,17,
g_3_0rXqyXJc,06.01. 13:45,PAOK,Maroussi,79,85,21,21,18,19,,14,24,21,26,
g_3_biYE3YGF,31.12. 16:15,Maroussi,Panathinaikos,79,92,12,25,19,23,,28,23,24,17,
g_3_plUA4E19,31.12. 14:00,Olympiacos,Aris,85,71,20,21,18,26,,11,16,27,17,
g_3_l43RIk4T,30.12. 19:15,Lavrio,AEK Athens,75,90,11,26,11,27,,26,19,26,19,
g_3_6qjgE9Cp,30.12. 17:00,Peristeri,Kolossos Rhodes,89,77,25,17,29,18,,17,20,18,22,
g_3_pzkcDTRj,30.12. 16:15,Promitheas,PAOK,80,73,20,20,20,20,,16,17,18,22,
g_3_z1aNJVlN,30.12. 16:00,AS Karditsas,Apollon Patras,76,74,15,20,16,25,,21,16,19,18,
g_3_CzW26zXd,24.12. 19:15,Promitheas,Panathinaikos,54,69,15,16,13,10,,18,16,20,15,
g_3_EoBELiKA,24.12. 16:15,Peristeri,AEK Athens,89,78,17,24,27,21,,17,18,22,21,
g_3_jRU65fn3,24.12. 14:00,Olympiacos,Apollon Patras,84,65,33,18,15,18,,17,11,18,19,
g_3_hxAIKBZG,23.12. 19:15AOT,Lavrio,Aris,91,86,21,24,15,16,15,20,9,20,27,10
g_3_6LBAMX44,23.12. 17:00,Maroussi,Kolossos Rhodes,85,74,16,27,21,21,,16,9,27,22,
g_3_SUC6NDkb,23.12. 16:15,PAOK,AS Karditsas,72,69,28,21,10,13,,17,12,21,19,
g_3_dSmGrXvj,11.12. 19:15,AS Karditsas,Olympiacos,54,83,13,15,13,13,,22,22,21,18,
g_3_zJnKsifd,10.12. 19:15,Panathinaikos,PAOK,97,85,17,28,29,23,,22,23,17,23,
g_3_IaVF0jro,10.12. 16:15,Aris,Peristeri,81,73,18,19,22,22,,12,18,16,27,
g_3_W2JcPZKo,09.12. 19:15,AEK Athens,Maroussi,91,89,24,25,16,26,,22,23,22,22,
