matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_lpoK2VhP,10.05. 20:00,Alba Berlin,Bayern,59,53,12,18,9,20,,17,11,20,5,
g_3_niy3DGsO,09.05. 18:30,Gottingen,Syntainics MBC,88,92,18,23,23,24,,23,28,24,17,
g_3_EwFGWwrn,09.05. 17:00,Tubingen,Hamburg,78,93,25,18,16,19,,23,24,28,18,
g_3_4SobEdSH,09.05. 15:35,Ulm,Oldenburg,91,74,19,20,21,31,,18,10,27,19,
g_3_bRv7CzcU,09.05. 15:30,Bamberg,Vechta,94,65,24,21,29,20,,21,24,9,11,
g_3_zmGCXJSu,08.05. 20:00,Alba Berlin,Bonn,90,69,20,30,23,17,,19,12,22,16,
g_3_QymfFxDB,08.05. 20:00,Ludwigsburg,Bayern,80,85,16,25,17,22,,27,22,15,21,
g_3_IBqnHbra,08.05. 18:30,Chemnitz,Basketball Braunschweig,82,68,22,28,13,19,,20,17,19,12,
g_3_d2rjGIc5,08.05. 18:30,Rostock,Crailsheim Merlins,70,85,24,5,25,16,,18,18,27,22,
g_3_zmfsIvTh,08.05. 18:30,Wurzburg,Heidelberg,98,84,24,20,29,25,,17,18,24,25,
g_3_v5dK2aT5,05.05. 18:30,Bonn,Wurzburg,91,100,23,21,20,27,,22,30,22,26,
g_3_QD47OtjP,05.05. 17:00,Bayern,Alba Berlin,77,53,16,30,13,18,,17,5,15,16,
g_3_QLbWacDO,05.05. 15:30,Basketball Braunschweig,Rostock,76,70,15,25,20,16,,22,20,14,14,
g_3_SMjZJ0bt,05.05. 15:30,Syntainics MBC,Ludwigsburg,91,90,22,29,18,22,,29,16,25,20,
g_3_MqjwJKDn,05.05. 15:30,Vechta,Gottingen,81,75,21,16,20,24,,14,20,20,21,
g_3_dt7F3uEa,04.05. 20:00,Hamburg,Chemnitz,79,85,22,17,20,20,,22,22,23,18,
g_3_nVaS0wbI,04.05. 20:00,Heidelberg,Ulm,57,73,17,14,15,11,,24,18,18,13,
g_3_Ik8B4Lbg,04.05. 18:30,Crailsheim Merlins,Bamberg,82,109,16,24,22,20,,30,24,31,24,
g_3_h80O1JrC,04.05. 18:30,Oldenburg,Tubingen,79,63,24,18,23,14,,15,13,26,9,
g_3_6c9XB36J,01.05. 17:00,Chemnitz,Vechta,83,91,20,25,14,24,,29,26,11,25,
g_3_AP436sUt,01.05. 15:30,Gottingen,Oldenburg,87,83,15,23,20,29,,18,24,15,26,
g_3_lG3751qm,01.05. 15:30,Tubingen,Basketball Braunschweig,68,81,22,19,17,10,,17,20,19,25,
g_3_4rSzBNLP,01.05. 15:30,Ulm,Bayern,74,81,20,16,13,25,,19,18,27,17,
g_3_OETYj2Ug,30.04. 20:00,Bamberg,Bonn,79,89,19,22,21,17,,25,21,19,24,
g_3_dSRtkta6,30.04. 20:00,Wurzburg,Syntainics MBC,107,83,25,28,31,23,,23,25,15,20,
g_3_IyTxjMq0,30.04. 18:30,Alba Berlin,Heidelberg,96,89,28,19,22,27,,17,28,24,20,
g_3_E3Mol0EC,30.04. 18:30,Hamburg,Crailsheim Merlins,94,88,16,30,21,27,,24,12,31,21,
g_3_hfLkmKTI,30.04. 18:30,Rostock,Ludwigsburg,91,85,20,22,20,29,,14,18,21,32,
g_3_SnzQhOas,28.04. 18:30,Bayern,Tubingen,92,73,21,22,24,25,,13,27,17,16,
g_3_ABPUirFm,28.04. 17:00,Oldenburg,Hamburg,107,92,26,33,32,16,,24,29,19,20,
g_3_IDlfbpxK,28.04. 15:30,Basketball Braunschweig,Alba Berlin,90,81,34,15,15,26,,14,17,19,31,
g_3_Qwlbc4iQ,28.04. 15:30,Vechta,Wurzburg,87,89,26,21,22,18,,30,24,17,18,
g_3_SOL1hfl1,27.04. 20:00,Bamberg,Gottingen,85,76,17,23,21,24,,13,20,26,17,
g_3_MoL5iE37,27.04. 20:00,Crailsheim Merlins,Ulm,66,86,12,20,13,21,,18,28,21,19,
g_3_vNkjaQMD,27.04. 18:30,Bonn,Rostock,112,89,27,31,26,28,,24,20,23,22,
g_3_zkP9jYID,27.04. 18:30,Ludwigsburg,Chemnitz,96,93,21,30,29,16,,24,20,20,29,
g_3_lYMcgzZf,26.04. 20:00,Syntainics MBC,Heidelberg,104,97,31,28,23,22,,18,36,22,21,
g_3_YJqwplI2,24.04. 20:00,Alba Berlin,Rostock,91,74,21,21,24,25,,20,20,11,23,
g_3_SKD8FQkc,21.04. 18:30,Alba Berlin,Bamberg,98,92,20,25,28,25,,24,19,23,26,
g_3_h6Tled4r,21.04. 17:00AOT,Gottingen,Chemnitz,100,99,20,17,23,29,11,28,23,20,18,10
g_3_WdShfGJl,21.04. 15:30,Heidelberg,Bayern,89,82,17,25,21,26,,14,30,13,25,
g_3_0A5LCOZF,21.04. 15:30,Ulm,Syntainics MBC,106,79,21,29,25,31,,23,10,24,22,
g_3_v5KQjsDd,20.04. 20:00,Crailsheim Merlins,Bonn,98,89,25,24,23,26,,20,19,20,30,
g_3_6BCCEp53,20.04. 20:00,Oldenburg,Basketball Braunschweig,87,66,12,25,26,24,,19,14,16,17,
g_3_lz2HD4K9,20.04. 20:00,Wurzburg,Rostock,86,95,26,17,21,22,,21,22,21,31,
g_3_0ELMiNcj,20.04. 18:30,Hamburg,Ludwigsburg,89,84,17,31,17,24,,22,24,13,25,
g_3_IkWHh3rp,19.04. 20:00,Tubingen,Vechta,77,88,12,25,20,20,,17,17,22,32,
g_3_CArsq8X8,17.04. 20:00,Hamburg,Alba Berlin,76,84,5,17,26,28,,16,24,22,22,
g_3_tUvjcqzT,14.04. 18:30,Wurzburg,Bayern,82,90,17,19,23,23,,20,25,20,25,
g_3_n7unbPKM,14.04. 17:00,Rostock,Ulm,71,96,21,15,24,11,,15,28,24,29,
g_3_8Gtra55G,14.04. 15:30,Bamberg,Hamburg,86,80,18,25,28,15,,17,28,15,20,
g_3_EsVnupEp,14.04. 15:30,Bonn,Gottingen,95,85,28,23,19,25,,26,24,18,17,
g_3_tfAo0ojA,14.04. 15:30,Syntainics MBC,Alba Berlin,67,76,22,15,17,13,,16,22,15,23,
g_3_8tCw27Lc,13.04. 20:00,Ludwigsburg,Heidelberg,93,68,26,22,20,25,,13,19,16,20,
g_3_fw8Z2m6i,13.04. 20:00,Vechta,Oldenburg,82,88,23,18,15,26,,21,17,23,27,
g_3_hYTjv4Tj,13.04. 18:30,Basketball Braunschweig,Crailsheim Merlins,98,88,27,21,20,30,,17,23,25,23,
g_3_23Bs1Rz4,13.04. 18:30,Chemnitz,Tubingen,113,82,27,25,29,32,,25,16,24,17,
g_3_MkwLqQ5T,08.04. 20:00,Hamburg,Heidelberg,79,83,21,20,19,19,,19,23,22,19,
g_3_ravHp6jN,07.04. 17:00,Bayern,Basketball Braunschweig,91,61,21,23,23,24,,13,18,18,12,
g_3_Ol2nNQAk,07.04. 15:30,Alba Berlin,Ludwigsburg,100,91,27,28,25,20,,23,21,24,23,
g_3_0zkConyH,07.04. 15:30,Gottingen,Wurzburg,67,75,21,13,16,17,,16,14,24,21,
g_3_l0o8nSLA,06.04. 20:00,Chemnitz,Bonn,80,66,16,21,20,23,,15,18,18,15,
g_3_bBhekUyh,06.04. 20:00,Crailsheim Merlins,Vechta,102,93,21,25,25,31,,26,24,17,26,
g_3_fwn4m864,06.04. 18:30,Oldenburg,Syntainics MBC,95,88,24,18,29,24,,28,20,22,18,
g_3_Gnm0llib,06.04. 18:30,Ulm,Bamberg,106,90,29,23,27,27,,33,20,13,24,
g_3_KKgijAMo,05.04. 20:00,Tubingen,Rostock,75,92,13,22,15,25,,27,28,21,16,
