Category Name,Home Value,Away Value
Field Goals Attempted,70,63
Field Goals Made,31,26
Field Goals %,44.3%,41.3%
2-Point Field G. Attempted,37,41
2-Point Field Goals Made,22,20
2-Point Field Goals %,59.5%,48.8%
3-Point Field G. Attempted,33,22
3-Point Field Goals Made,9,6
3-Point Field Goals %,27.3%,27.3%
Free Throws Attempted,4,27
Free Throws Made,4,23
Free Throws %,100%,85.2%
Offensive Rebounds,12,15
Defensive Rebounds,22,26
Total Rebounds,34,41
Assists,15,12
Blocks,8,4
Turnovers,15,14
Steals,10,8
Personal Fouls,25,14
