Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Murray J.,DEN,35,5,4,29:02,14,26,-,-,5,11,2,2,-4,-,5,1,1,1,-,-,-
Wembanyama V.,SAS,34,12,5,36:49,12,27,-,-,5,12,5,7,-11,1,11,1,1,7,2,-,1
Jokic N.,DEN,22,7,12,38:33,9,13,-,-,1,2,3,3,-1,2,5,5,2,3,1,-,1
Mamukelashvili S.,SAS,21,12,2,30:23,8,14,-,-,3,5,2,4,-1,2,10,3,-,2,1,-,-
Collins Z.,SAS,15,6,3,21:27,5,9,-,-,2,3,3,3,-4,3,3,-,1,2,1,-,1
Champagnie J.,SAS,14,5,2,37:12,4,5,-,-,2,3,4,4,11,1,4,-,-,1,-,-,-
Jones T.,SAS,14,6,10,38:33,6,11,-,-,1,2,1,3,17,-,6,1,-,3,-,-,-
Porter M.,DEN,14,3,-,29:14,5,14,-,-,1,5,3,3,-7,-,3,2,-,1,-,-,-
Gordon A.,DEN,13,4,4,28:55,6,6,-,-,1,1,-,-,1,2,2,1,1,-,-,-,-
Braun C.,DEN,11,3,3,22:46,4,7,-,-,2,4,1,2,9,-,3,2,-,1,2,-,-
Graham D.,SAS,11,4,5,31:34,4,11,-,-,2,7,1,2,6,2,2,-,-,2,-,-,-
Cissoko S.,SAS,8,3,-,16:35,4,5,-,-,-,1,-,-,14,2,1,5,-,-,-,-,-
Holiday J.,DEN,8,1,2,15:18,3,7,-,-,2,6,-,-,3,-,1,1,1,-,-,-,-
Jackson R.,DEN,6,1,4,18:58,3,9,-,-,-,2,-,-,3,-,1,2,2,-,-,-,-
Watson P.,DEN,6,7,-,19:05,3,8,-,-,-,1,-,-,-2,2,5,2,1,1,1,-,1
Caldwell-Pope K.,DEN,5,1,1,28:42,2,6,-,-,1,4,-,-,-7,-,1,-,1,-,-,-,-
Duke Jr. D.,SAS,2,-,-,8:24,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
Wesley B.,SAS,2,1,4,19:03,1,2,-,-,-,-,-,-,-28,-,1,2,-,1,-,-,-
Nnaji Z.,DEN,-,1,1,9:27,-,1,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-
