Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Bell-Haynes T.,ZAR,24,1,1,31:59,-,-,4,5,2,6,10,10,1,11,6,-,-,7,2,-,-
Watt M.,ZAR,19,7,6,28:04,-,-,8,10,1,2,-,-,3,12,9,-,1,2,3,2,-
Ennis D.,MUR,17,-,-,21:55,-,-,4,7,2,7,3,4,2,14,6,-,-,2,1,6,-
Hakanson L.,MUR,17,-,-,20:25,-,-,2,2,3,6,4,4,1,8,5,-,-,3,2,2,-
Yusta S.,ZAR,15,3,3,28:37,-,-,3,5,3,5,-,-,2,10,6,1,-,-,2,-,-
Radebaugh J.,MUR,12,2,2,23:56,-,-,3,3,2,7,-,-,3,10,5,-,-,3,1,2,-
Radovic N.,MUR,9,3,3,19:37,-,-,3,6,1,1,-,-,1,7,4,-,-,2,-,2,-
Sant-Roos H.,MUR,7,1,1,19:12,-,-,-,-,1,3,4,4,-,3,1,-,-,2,2,-,-
Adronikashvili R.,ZAR,6,-,-,09:20,-,-,3,5,-,1,-,1,3,6,3,-,-,2,1,2,-
Kurucs A.,MUR,6,2,2,13:36,-,-,-,-,2,4,-,-,3,4,2,-,-,-,1,3,-
Sleva D.,MUR,6,8,4,20:11,-,-,3,5,-,2,-,-,2,7,3,-,4,2,1,-,-
Birgander S.,MUR,5,7,5,20:06,-,-,2,2,-,-,1,3,-,2,2,-,2,1,1,-,-
Delany F.,ZAR,5,6,3,15:24,-,-,2,2,-,-,1,2,2,2,2,-,3,-,2,2,-
Caupain T.,MUR,3,1,1,12:06,-,-,-,-,1,5,-,-,1,5,1,-,-,3,-,-,-
Smith M.,ZAR,3,4,4,24:19,-,-,-,1,-,1,3,5,2,2,-,-,-,2,4,-,-
Sulejmanovic E.,ZAR,3,9,7,25:00,-,-,1,4,-,3,1,2,4,7,1,1,2,1,-,-,-
Kravic D.,ZAR,2,3,3,11:32,-,-,1,4,-,-,-,-,2,4,1,2,-,-,1,-,-
Diagne M.,MUR,-,2,1,11:28,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-
Gonzalez M.,ZAR,-,-,-,04:45,-,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-
Jelinek D.,MUR,-,2,2,09:07,-,-,-,1,-,2,-,-,1,3,-,-,-,-,-,-,-
McFadden T.,ZAR,-,1,1,21:00,-,-,-,2,-,1,-,-,-,3,-,-,-,1,1,-,-
Todorovic M.,MUR,-,1,-,08:21,-,-,-,-,-,1,-,-,4,1,-,-,1,-,-,-,-
