Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Ndow C.,SYN,22,4,2,31:35,-,-,3,7,5,9,1,2,-21,-,4,2,1,1,-,-,-
Stove J.,SYN,20,1,4,31:11,-,-,5,9,2,6,4,4,-13,1,-,3,1,2,-,-,-
Christen R.,ULM,14,7,3,22:31,-,-,1,1,4,6,-,-,17,1,6,1,-,2,-,-,-
Jessup J.,ULM,14,1,2,21:08,-,-,4,8,2,3,-,-,14,-,1,1,-,-,1,-,-
Callison C.,SYN,11,2,2,33:36,-,-,1,4,3,5,-,-,-21,1,1,2,1,3,-,-,-
Dadiet P.,ULM,11,8,1,17:35,-,-,4,4,-,2,3,4,13,4,4,3,1,1,-,-,-
Figueroa L.,ULM,10,2,-,17:29,-,-,5,7,-,3,-,-,10,1,1,3,1,3,-,-,-
Klepeisz T.,ULM,10,-,3,17:58,-,-,2,2,2,5,-,-,12,-,-,-,1,-,-,-,-
Bretzel N.,ULM,9,1,-,05:43,-,-,1,2,1,1,4,4,6,-,1,1,-,1,-,-,-
de Paula G.,ULM,8,3,4,17:54,-,-,3,4,-,1,2,2,11,1,2,-,3,-,-,-,-
Edwards V.,SYN,8,3,1,23:26,-,-,4,4,-,1,-,-,-17,-,3,1,-,-,-,-,-
Williams T.,ULM,8,5,2,21:48,-,-,4,7,-,2,-,2,10,2,3,3,3,2,-,-,-
Breunig M.,SYN,7,5,2,24:06,-,-,2,5,-,-,3,3,-27,3,2,4,1,5,-,-,-
Jallow K.,ULM,7,5,1,18:42,-,-,3,3,-,2,1,2,15,3,2,1,1,2,1,-,-
Nunez J.,ULM,7,4,4,18:39,-,-,2,3,1,2,-,-,6,1,3,1,1,-,-,-,-
Herkenhoff P.,ULM,5,4,1,12:29,-,-,1,1,1,1,-,2,11,2,2,-,-,1,-,-,-
Mushidi K.,SYN,5,-,1,16:17,-,-,-,1,1,4,2,3,-12,-,-,2,1,3,-,-,-
Bryant J.,SYN,4,3,4,15:54,-,-,2,3,-,1,-,-,-,1,2,1,-,-,1,-,-
Jensen T. B.,ULM,3,-,2,08:04,-,-,-,1,1,2,-,-,10,-,-,-,-,-,-,-,-
Hounnou R. I.,SYN,2,-,-,05:42,-,-,1,2,-,-,-,-,-12,-,-,-,-,-,-,-,-
Jelks S.,SYN,-,3,2,16:34,-,-,-,1,-,1,-,-,-10,1,2,4,-,2,-,-,-
Wenzl N.,SYN,-,-,-,01:39,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
