matchId,eventTime,homeTeam,awayTeam
"g_3_YsYm0lPb","27.07. 11:00","Australia","Spain"
"g_3_tUU6MMiF","27.07. 13:30","Germany","Japan"
"g_3_StDQsAO6","27.07. 17:15","France","Brazil"
"g_3_b76nCu03","27.07. 21:00","Greece","Canada"
"g_3_6Vn5P4hA","28.07. 11:00","South Sudan","Puerto Rico"
"g_3_v5AsGKUr","28.07. 17:15","Serbia","USA"
"g_3_6eWebSgB","30.07. 11:00","Spain","Greece"
"g_3_n7V2N2x9","30.07. 13:30","Canada","Australia"
"g_3_fXYALt7L","30.07. 17:15","Japan","France"
"g_3_0fBYulgJ","30.07. 21:00","Brazil","Germany"
"g_3_hnoDNrNM","31.07. 17:15","Puerto Rico","Serbia"
"g_3_8vFoFvpk","31.07. 21:00","USA","South Sudan"
"g_3_xCvwm50n","02.08. 11:00","Japan","Brazil"
"g_3_jLZKdFI6","02.08. 13:30","Australia","Greece"
"g_3_Qcncd6ON","02.08. 17:15","Canada","Spain"
"g_3_xdOFK0MR","02.08. 21:00","France","Germany"
"g_3_CWRqIMpp","03.08. 17:15","Puerto Rico","USA"
"g_3_nVDkEbae","03.08. 21:00","Serbia","South Sudan"
