Home Score,Category,Away Score
64,Field Goals Attempted,64
29,Field Goals Made,40
45.3%,Field Goals %,62.5%
34,2-Point Field G. Attempted,38
20,2-Point Field Goals Made,27
58.8%,2-Point Field Goals %,71.1%
30,3-Point Field G. Attempted,26
9,3-Point Field Goals Made,13
30%,3-Point Field Goals %,50%
13,Free Throws Attempted,25
9,Free Throws Made,22
69.2%,Free Throws %,88%
8,Offensive Rebounds,13
12,Defensive Rebounds,28
20,Total Rebounds,41
16,Assists,18
0,Blocks,5
9,Turnovers,10
3,Steals,3
24,Personal Fouls,18
