Home Score,Category,Away Score
69,Field Goals Attempted,64
35,Field Goals Made,36
50.7%,Field Goals %,56.3%
39,2-Point Field G. Attempted,40
24,2-Point Field Goals Made,29
61.5%,2-Point Field Goals %,72.5%
30,3-Point Field G. Attempted,24
11,3-Point Field Goals Made,7
36.7%,3-Point Field Goals %,29.2%
24,Free Throws Attempted,18
17,Free Throws Made,13
70.8%,Free Throws %,72.2%
10,Offensive Rebounds,7
23,Defensive Rebounds,28
33,Total Rebounds,35
15,Assists,17
1,Blocks,1
5,Turnovers,10
6,Steals,3
23,Personal Fouls,23
