Home Score,Category,Away Score
60,Field Goals Attempted,61
20,Field Goals Made,29
33.3%,Field Goals %,47.5%
29,2-Point Field G. Attempted,32
14,2-Point Field Goals Made,16
48.3%,2-Point Field Goals %,50%
31,3-Point Field G. Attempted,29
6,3-Point Field Goals Made,13
19.4%,3-Point Field Goals %,44.8%
20,Free Throws Attempted,27
13,Free Throws Made,17
65%,Free Throws %,63%
10,Offensive Rebounds,16
20,Defensive Rebounds,31
30,Total Rebounds,47
14,Assists,20
0,Blocks,3
11,Turnovers,13
6,Steals,6
25,Personal Fouls,17
