Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Okobo E.,MON,20,7,5,27,-,-,4,7,4,8,-,-,30,2,5,2,2,4,-,-,-
Hifi N.,PAR,15,3,4,28,-,-,3,7,2,7,3,4,-10,1,2,3,3,4,-,1,-
James M.,MON,14,3,3,21,-,-,2,5,2,6,4,5,6,1,2,2,1,1,-,-,-
Diallo A.,MON,12,5,-,22,-,-,2,5,2,2,2,4,21,2,3,-,1,1,-,-,-
Loyd J.,MON,12,3,2,19,-,-,3,5,2,3,-,-,9,-,3,2,1,1,-,-,-
Strazel M.,MON,11,2,3,21,-,-,-,-,2,5,5,6,21,-,2,3,-,3,-,-,-
Simon J.,PAR,10,4,2,30,-,-,2,5,1,2,3,4,-18,1,3,2,-,2,-,-,-
Shorts T.,PAR,9,1,3,22,-,-,2,5,-,5,5,8,-18,-,1,2,1,1,-,-,-
Ward T.,PAR,8,6,3,31,-,-,2,2,1,4,1,2,-22,1,5,4,1,-,-,-,-
Hall D.,MON,6,8,-,18,-,-,3,3,-,-,-,2,25,4,4,3,-,-,1,-,-
Jaiteh M.,MON,6,6,1,22,-,-,-,2,-,-,6,10,4,2,4,2,1,1,2,-,-
Kessens M.,PAR,6,2,-,13,-,-,3,3,-,-,-,-,4,1,1,2,-,1,-,-,-
Jantunen M.,PAR,4,4,-,18,-,-,-,1,1,2,1,2,-8,-,4,5,-,-,-,1,-
Kratzer L.,PAR,4,3,-,17,-,-,2,3,-,-,-,-,-21,3,-,3,-,1,-,-,-
Herrera S.,PAR,3,3,2,24,-,-,-,-,1,6,-,-,-19,1,2,3,-,1,-,-,-
Ouattara Y.,MON,3,3,-,15,-,-,-,-,1,3,-,-,5,1,2,1,-,-,-,-,-
Blossomgame J.,MON,2,3,2,19,-,-,1,4,-,1,-,-,-2,2,1,3,-,-,-,-,-
Cornelie P.,MON,2,1,4,15,-,-,1,1,-,1,-,-,26,-,1,-,-,1,-,-,-
Denis G.,PAR,-,-,-,2,-,-,-,-,-,1,-,-,-6,-,-,-,-,-,-,-,-
Ngouama M.,PAR,-,-,-,4,-,-,-,-,-,4,-,-,-6,-,-,-,-,-,-,-,-
Shahrvin E.,PAR,-,1,-,6,-,-,-,2,-,-,-,-,-15,1,-,1,-,-,-,1,-
Sy B.,PAR,-,-,-,5,-,-,-,1,-,-,-,-,-6,-,-,-,1,1,-,-,-
