Home Score,Category,Away Score
62,Field Goals Attempted,66
29,Field Goals Made,28
46.8%,Field Goals %,42.4%
31,2-Point Field G. Attempted,42
18,2-Point Field Goals Made,20
58.1%,2-Point Field Goals %,47.6%
31,3-Point Field G. Attempted,24
11,3-Point Field Goals Made,8
35.5%,3-Point Field Goals %,33.3%
15,Free Throws Attempted,28
12,Free Throws Made,21
80%,Free Throws %,75%
6,Offensive Rebounds,14
28,Defensive Rebounds,28
34,Total Rebounds,42
16,Assists,17
2,Blocks,4
10,Turnovers,9
3,Steals,6
24,Personal Fouls,24
