Home Score,Category,Away Score
67,Field Goals Attempted,70
34,Field Goals Made,28
50.7%,Field Goals %,40%
43,2-Point Field G. Attempted,46
26,2-Point Field Goals Made,23
60.5%,2-Point Field Goals %,50%
24,3-Point Field G. Attempted,24
8,3-Point Field Goals Made,5
33.3%,3-Point Field Goals %,20.8%
23,Free Throws Attempted,25
14,Free Throws Made,19
60.9%,Free Throws %,76%
14,Offensive Rebounds,14
31,Defensive Rebounds,26
45,Total Rebounds,40
13,Assists,13
3,Blocks,2
12,Turnovers,9
4,Steals,7
24,Personal Fouls,20
