Home Score,Category,Away Score
60,Field Goals Attempted,60
24,Field Goals Made,31
40%,Field Goals %,51.7%
34,2-Point Field G. Attempted,41
20,2-Point Field Goals Made,25
58.8%,2-Point Field Goals %,61%
26,3-Point Field G. Attempted,19
4,3-Point Field Goals Made,6
15.4%,3-Point Field Goals %,31.6%
24,Free Throws Attempted,22
21,Free Throws Made,15
87.5%,Free Throws %,68.2%
12,Offensive Rebounds,8
22,Defensive Rebounds,23
34,Total Rebounds,31
15,Assists,14
2,Blocks,1
13,Turnovers,11
7,Steals,7
24,Personal Fouls,23
