Home Score,Category,Away Score
65,Field Goals Attempted,60
31,Field Goals Made,26
47.7%,Field Goals %,43.3%
43,2-Point Field G. Attempted,29
21,2-Point Field Goals Made,14
48.8%,2-Point Field Goals %,48.3%
22,3-Point Field G. Attempted,31
10,3-Point Field Goals Made,12
45.5%,3-Point Field Goals %,38.7%
18,Free Throws Attempted,18
14,Free Throws Made,13
77.8%,Free Throws %,72.2%
14,Offensive Rebounds,11
23,Defensive Rebounds,21
37,Total Rebounds,32
17,Assists,11
2,Blocks,1
12,Turnovers,14
6,Steals,7
17,Personal Fouls,25
