Home Score,Category,Away Score
55,Field Goals Attempted,66
23,Field Goals Made,30
41.8%,Field Goals %,45.5%
29,2-Point Field G. Attempted,42
16,2-Point Field Goals Made,23
55.2%,2-Point Field Goals %,54.8%
26,3-Point Field G. Attempted,24
7,3-Point Field Goals Made,7
26.9%,3-Point Field Goals %,29.2%
32,Free Throws Attempted,17
17,Free Throws Made,10
53.1%,Free Throws %,58.8%
12,Offensive Rebounds,15
23,Defensive Rebounds,28
35,Total Rebounds,43
11,Assists,8
5,Blocks,0
11,Turnovers,13
8,Steals,4
20,Personal Fouls,24
