Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Hifi N.,PAR,24,1,-,29:05,8,15,-,-,5,7,3,4,10,1,-,3,1,5,-,-,-
Shorts T.,PAR,21,6,4,27:25,8,17,-,-,-,4,5,6,8,-,6,2,-,1,-,-,-
Okobo E.,MON,15,1,6,26:19,3,8,-,-,1,4,8,11,4,-,1,3,1,4,-,-,-
Diallo A.,MON,14,4,-,29:36,5,9,-,-,1,2,3,6,-6,2,2,4,2,-,-,-,-
Simon J.,PAR,14,2,-,29:15,6,8,-,-,-,-,2,3,11,1,-,2,1,1,-,-,-
Cornelie P.,MON,11,6,-,19:01,5,6,-,-,1,2,-,-,14,1,5,-,1,1,3,-,-
Ward T.,PAR,11,3,-,28:13,5,16,-,-,1,7,-,-,6,1,2,4,-,1,-,-,-
James M.,MON,10,2,3,23:51,3,12,-,-,1,8,3,4,-13,1,1,3,-,-,-,-,-
Loyd J.,MON,6,3,1,21:07,2,6,-,-,2,5,-,-,4,-,3,3,3,-,-,-,-
Herrera S.,PAR,5,4,2,23:30,2,6,-,-,1,4,-,-,-4,2,2,2,1,-,-,-,-
Strazel M.,MON,5,1,-,15:12,2,5,-,-,1,4,-,-,-16,-,1,1,-,1,-,-,-
Hall D.,MON,3,7,-,26:50,1,2,-,-,-,-,1,3,7,2,5,1,-,2,1,-,-
Jaiteh M.,MON,3,4,-,13:10,1,1,-,-,-,-,1,4,-14,2,2,2,1,1,1,-,-
Jantunen M.,PAR,2,4,1,29:18,1,2,-,-,-,1,-,-,9,-,4,2,1,1,-,-,-
Ouattara Y.,MON,2,1,-,06:46,1,3,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-
Blossomgame J.,MON,1,-,1,18:05,-,3,-,-,-,-,1,4,-18,-,-,-,-,1,-,-,-
Kessens M.,PAR,-,-,-,01:29,-,-,-,-,-,-,-,-,-5,-,-,2,-,1,-,-,-
Kratzer L.,PAR,-,3,-,16:35,-,-,-,-,-,-,-,2,-8,1,2,3,-,2,-,-,-
Shahrvin E.,PAR,-,10,1,15:10,-,2,-,-,-,-,-,2,8,2,8,3,-,1,-,-,-
