Home Score,Category,Away Score
62,Field Goals Attempted,58
26,Field Goals Made,23
41.9%,Field Goals %,39.7%
40,2-Point Field G. Attempted,33
18,2-Point Field Goals Made,13
45%,2-Point Field Goals %,39.4%
22,3-Point Field G. Attempted,25
8,3-Point Field Goals Made,10
36.4%,3-Point Field Goals %,40%
16,Free Throws Attempted,30
11,Free Throws Made,20
68.8%,Free Throws %,66.7%
13,Offensive Rebounds,18
23,Defensive Rebounds,22
36,Total Rebounds,40
11,Assists,14
1,Blocks,1
10,Turnovers,11
6,Steals,3
24,Personal Fouls,22
