Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Mike I.,JLB,22,6,3,29,-,-,4,8,4,7,2,3,-2,1,5,3,-,1,1,-,-
Blossomgame J.,MON,16,5,1,30,-,-,1,3,3,4,5,6,3,1,4,2,-,-,-,-,-
Okobo E.,MON,16,1,1,25,-,-,4,6,2,4,2,2,11,-,1,3,-,5,1,-,-
Massa B.,JLB,13,10,-,24,-,-,5,9,-,-,3,4,-9,6,4,4,-,-,-,-,-
Strazel M.,MON,13,2,1,18,-,-,1,2,2,5,5,5,6,1,1,-,-,2,-,-,-
Benitez H.,JLB,11,1,1,21,-,-,3,5,1,4,2,3,-4,-,1,4,1,1,-,-,-
Diallo A.,MON,9,4,4,25,-,-,2,3,1,3,2,3,4,2,2,3,-,-,-,-,-
Brown B.,JLB,8,2,2,20,-,-,1,3,1,4,3,3,-8,-,2,2,1,-,-,1,-
James M.,MON,8,1,4,24,-,-,3,6,-,3,2,4,4,1,-,1,-,1,-,-,-
Risacher Z.,JLB,8,4,2,29,-,-,1,4,2,6,-,-,1,1,3,1,1,-,-,-,-
Ouattara Y.,MON,6,3,-,16,-,-,-,-,2,4,-,-,1,1,2,3,-,-,-,-,-
Kokila K.,JLB,5,3,-,16,-,-,2,3,-,-,1,2,4,2,1,4,-,1,-,-,-
Julien A.,JLB,4,2,2,20,-,-,2,2,-,1,-,1,3,-,2,2,1,-,-,-,-
Hall D.,MON,3,9,2,22,-,-,1,2,-,-,1,4,-3,4,5,1,-,-,-,1,-
Loyd J.,MON,3,2,1,17,-,-,-,4,-,1,3,4,-5,-,2,4,3,1,-,-,-
Jaiteh M.,MON,2,6,-,14,-,-,1,6,-,-,-,2,7,3,3,3,-,2,-,-,-
Brown J.,MON,-,1,-,3,-,-,-,-,-,-,-,-,-3,1,-,2,-,-,-,-,-
Cornelie P.,MON,-,2,-,6,-,-,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-
Courby M.,JLB,-,3,-,11,-,-,-,2,-,-,-,-,-1,2,1,1,-,-,-,-,-
Lewis J.,JLB,-,-,-,19,-,-,-,2,-,-,-,-,-1,-,-,3,1,1,-,-,-
Rowland E.,JLB,-,1,1,11,-,-,-,2,-,-,-,-,-4,-,1,-,1,3,-,-,-
