Home Score,Category,Away Score
68,Field Goals Attempted,61
28,Field Goals Made,30
41.2%,Field Goals %,49.2%
33,2-Point Field G. Attempted,35
17,2-Point Field Goals Made,22
51.5%,2-Point Field Goals %,62.9%
35,3-Point Field G. Attempted,26
11,3-Point Field Goals Made,8
31.4%,3-Point Field Goals %,30.8%
23,Free Throws Attempted,26
18,Free Throws Made,21
78.3%,Free Throws %,80.8%
11,Offensive Rebounds,14
19,Defensive Rebounds,30
30,Total Rebounds,44
11,Assists,21
1,Blocks,2
10,Turnovers,16
10,Steals,8
23,Personal Fouls,24
