matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_2agIACVl,11.05. 19:15,Ada Blois,Monaco,73,89,15,21,24,13,,22,27,20,20,
g_3_8xfEBhGr,11.05. 19:15,Boulogne-Levallois,Nanterre,80,90,18,24,21,17,,17,22,24,27,
g_3_6T7nGY7R,11.05. 19:15,Cholet,Chalon/Saone,84,77,26,17,22,19,,22,24,16,15,
g_3_A1EwIfwF,11.05. 19:15,Dijon,Le Mans,87,77,29,20,14,24,,24,24,8,21,
g_3_lhDsHEhL,11.05. 19:15,Le Portel,Paris,66,80,17,16,16,17,,20,18,26,16,
g_3_MuYrdDGe,11.05. 19:15,Limoges,JL Bourg,86,90,20,18,21,27,,22,19,26,23,
g_3_GvFZIzO8,11.05. 19:15,Nancy,Gravelines-Dunkerque,69,59,20,19,14,16,,17,9,16,17,
g_3_2yBVJG82,11.05. 19:15,Roanne,Lyon-Villeurbanne,66,69,19,19,13,15,,20,18,11,20,
g_3_0WWneXV1,11.05. 19:15,Saint Quentin,Strasbourg,86,66,26,15,24,21,,18,22,13,13,
g_3_S4Jucg1k,05.05. 19:05,Lyon-Villeurbanne,Le Portel,85,70,28,16,22,19,,17,22,18,13,
g_3_UTw53eOL,05.05. 19:00,Le Mans,Limoges,101,75,20,31,22,28,,14,21,20,20,
g_3_z7v14y9F,05.05. 16:30,Monaco,Cholet,66,79,20,20,16,10,,15,23,20,21,
g_3_dGuc5Hg9,04.05. 20:00AOT,Chalon/Saone,Saint Quentin,97,90,22,20,20,21,14,22,24,19,18,7
g_3_rXs92FwS,04.05. 18:30,Gravelines-Dunkerque,Boulogne-Levallois,106,76,21,36,20,29,,9,19,24,24,
g_3_lEKybZoq,04.05. 18:30,JL Bourg,Nancy,103,78,30,25,15,33,,12,24,25,17,
g_3_nob6rfnd,04.05. 18:30,Nanterre,Dijon,67,87,21,18,19,9,,19,29,19,20,
g_3_0lnl7wPd,04.05. 18:30,Strasbourg,Ada Blois,80,88,22,13,19,26,,20,20,23,25,
g_3_vuoh6cv3,04.05. 16:00,Paris,Roanne,90,61,22,28,20,20,,12,19,18,12,
g_3_hn5cpGHq,30.04. 20:00,Boulogne-Levallois,Strasbourg,85,107,21,22,24,18,,26,29,25,27,
g_3_QXlH4p3b,30.04. 20:00,Chalon/Saone,Paris,73,84,17,20,18,18,,27,19,20,18,
g_3_GMsU1rmH,30.04. 20:00,Cholet,Dijon,79,88,15,16,19,29,,19,26,23,20,
g_3_nmwQ2OXA,30.04. 20:00,Gravelines-Dunkerque,JL Bourg,64,75,19,14,12,19,,16,23,15,21,
g_3_CUpD5Qmh,30.04. 20:00,Nancy,Roanne,84,79,23,21,20,20,,17,20,25,17,
g_3_I7o966Yo,30.04. 20:00,Nanterre,Ada Blois,103,106,30,18,30,25,,24,26,25,31,
g_3_QZJqwvgJ,28.04. 19:05,Paris,JL Bourg,84,80,22,20,18,24,,27,25,7,21,
g_3_8dvM34I4,28.04. 16:30,Lyon-Villeurbanne,Saint Quentin,79,77,22,25,14,18,,22,16,15,24,
g_3_zBf2qzXk,28.04. 14:30,Le Portel,Le Mans,85,76,29,22,14,20,,16,28,19,13,
g_3_zm843z7O,24.04. 20:00,Boulogne-Levallois,JL Bourg,82,101,26,30,18,8,,21,27,25,28,
g_3_tQ804GiI,24.04. 20:00,Dijon,Le Portel,92,80,20,28,17,27,,21,20,19,20,
g_3_SM4d5dxC,24.04. 20:00,Nancy,Lyon-Villeurbanne,58,83,11,18,19,10,,24,16,20,23,
g_3_GINzAKNt,24.04. 20:00AOT,Paris,Cholet,92,90,22,20,18,23,9,22,23,29,9,7
g_3_xYBq8bhg,24.04. 20:00,Strasbourg,Le Mans,71,80,10,18,16,27,,21,23,18,18,
g_3_Ew782fMU,23.04. 20:00AOT,Ada Blois,Chalon/Saone,92,95,20,27,23,10,12,16,23,19,22,15
g_3_pbFi6xN5,23.04. 20:00,Limoges,Gravelines-Dunkerque,88,63,19,23,15,31,,13,13,13,24,
g_3_bsDu9vwm,23.04. 20:00,Saint Quentin,Nanterre,87,82,18,25,19,25,,16,20,18,28,
g_3_CWyBgaw0,21.04. 19:05,Lyon-Villeurbanne,Paris,66,86,17,17,23,9,,14,27,20,25,
g_3_fFH9E0FP,21.04. 16:30,JL Bourg,Strasbourg,77,74,19,20,16,22,,18,18,23,15,
g_3_tCTRkHxP,21.04. 14:30,Monaco,Le Portel,101,67,31,26,23,21,,13,14,15,25,
g_3_ppzJiw8C,20.04. 21:00,Saint Quentin,Dijon,77,73,18,16,21,22,,20,21,20,12,
g_3_2LUNjcNI,20.04. 18:30,Chalon/Saone,Nanterre,89,97,25,12,26,26,,25,33,16,23,
g_3_xEqbd1gs,20.04. 18:30,Gravelines-Dunkerque,Roanne,82,67,20,23,18,21,,19,21,19,8,
g_3_bTX6fuOg,20.04. 18:30,Le Mans,Boulogne-Levallois,110,96,21,29,32,28,,25,26,19,26,
g_3_G4r2eL8m,20.04. 18:30,Limoges,Nancy,102,99,27,25,23,27,,24,22,29,24,
g_3_6gyFhJh6,20.04. 16:00,Cholet,Ada Blois,71,80,25,23,14,9,,20,20,13,27,
g_3_67Gm7I7a,17.04. 20:00,Roanne,Monaco,92,99,23,16,22,31,,25,17,28,29,
g_3_MsNStMgf,14.04. 19:05,Boulogne-Levallois,Chalon/Saone,75,83,17,22,17,19,,26,19,20,18,
g_3_SvbS1NVJ,14.04. 16:30,Roanne,Cholet,82,69,18,22,16,26,,20,14,18,17,
g_3_fRHguOzt,14.04. 14:30,Ada Blois,Lyon-Villeurbanne,72,98,19,24,14,15,,25,22,24,27,
g_3_8ULcvrjn,13.04. 21:00,Dijon,Monaco,72,80,19,21,14,18,,22,23,25,10,
g_3_I9Gyu0O6,13.04. 18:30,Nancy,Le Mans,68,60,22,15,9,22,,13,17,17,13,
g_3_6VdW0soQ,13.04. 18:30,Strasbourg,Gravelines-Dunkerque,68,65,18,22,8,20,,22,9,22,12,
g_3_CWFuvKwD,13.04. 16:00,Nanterre,Limoges,113,77,29,36,22,26,,23,19,19,16,
g_3_vHn57nJu,09.04. 20:00,Monaco,Limoges,94,56,24,23,22,25,,11,13,19,13,
g_3_rk5nXQrJ,07.04. 19:00,Lyon-Villeurbanne,Nanterre,100,76,21,32,16,31,,18,16,20,22,
g_3_riOOs2vl,07.04. 16:30,JL Bourg,Ada Blois,81,66,24,21,17,19,,12,20,23,11,
g_3_4b6rY6TC,07.04. 14:30,Monaco,Nancy,86,100,28,25,19,14,,25,25,26,24,
g_3_hMqpkpnE,06.04. 21:00,Le Mans,Paris,55,88,14,17,14,10,,19,29,18,22,
g_3_46j2Q09D,06.04. 18:30,Chalon/Saone,Roanne,105,86,26,29,25,25,,27,15,16,28,
g_3_lUOKrrPs,06.04. 18:30,Cholet,Gravelines-Dunkerque,72,84,14,16,22,20,,15,26,22,21,
g_3_EyYhmOGQ,06.04. 18:30,Dijon,Strasbourg,80,68,20,17,26,17,,14,17,16,21,
g_3_QFibRtf7,06.04. 18:30,Limoges,Saint Quentin,83,80,19,19,17,28,,25,28,12,15,
g_3_WCrll41K,06.04. 16:00,Le Portel,Boulogne-Levallois,104,79,28,21,27,28,,24,18,12,25,
g_3_UmbkT2Pf,31.03. 19:00,JL Bourg,Dijon,66,60,18,16,19,13,,23,12,13,12,
g_3_bR6DlDe3,31.03. 19:00,Paris,Nanterre,102,68,24,33,24,21,,18,28,14,8,
g_3_zRboUrAl,31.03. 16:30AOT,Gravelines-Dunkerque,Le Portel,77,83,14,24,22,13,4,18,28,12,15,10
g_3_8WCZZSb0,30.03. 21:00,Saint Quentin,Monaco,71,69,18,20,12,21,,11,18,18,22,
g_3_ri2gSMv1,30.03. 18:30,Ada Blois,Le Mans,78,80,24,21,17,16,,22,17,23,18,
g_3_Wv5LniQF,30.03. 18:30,Nancy,Cholet,77,85,18,18,20,21,,16,24,21,24,
g_3_hl6HmXA9,30.03. 18:30,Roanne,Boulogne-Levallois,105,93,25,31,21,28,,27,10,28,28,
g_3_nNBwZnE6,30.03. 18:30,Strasbourg,Lyon-Villeurbanne,82,80,16,32,11,23,,20,19,26,15,
g_3_dz0sVOfr,30.03. 16:00,Limoges,Chalon/Saone,107,88,30,28,23,26,,24,18,19,27,
g_3_vJHXut90,26.03. 20:00,Le Portel,Saint Quentin,85,76,18,23,25,19,,22,16,8,30,
g_3_zgLISVYq,24.03. 19:00,Le Mans,Roanne,90,80,23,16,23,28,,15,21,18,26,
