matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_rcTPvbgK,08.06. 20:30,Bayern,Alba Berlin,79,67,26,20,23,10,,19,24,19,5,
g_3_SpJQK4ZP,06.06. 18:30,Alba Berlin,Chemnitz,97,84,30,18,26,23,,28,25,20,11,
g_3_8WAK1tFU,04.06. 18:30,Chemnitz,Alba Berlin,85,96,28,23,17,17,,27,16,22,31,
g_3_MPDx0d5S,02.06. 17:00,Chemnitz,Alba Berlin,84,72,14,15,24,31,,26,11,24,11,
g_3_WvyRscqp,02.06. 15:00,Wurzburg,Bayern,61,75,18,15,13,15,,12,26,22,15,
g_3_z9kemJLM,31.05. 20:30,Bayern,Wurzburg,99,75,22,26,25,26,,21,23,16,15,
g_3_EaAU1IzG,31.05. 18:30,Alba Berlin,Chemnitz,86,64,27,21,21,17,,17,23,12,12,
g_3_vsdnkuiA,29.05. 20:30,Bayern,Wurzburg,91,76,21,28,25,17,,11,16,23,26,
g_3_hpML3v63,28.05. 20:30,Alba Berlin,Chemnitz,82,95,19,13,27,23,,20,24,28,23,
g_3_tCTysaMr,24.05. 20:30,Ludwigsburg,Bayern,69,76,11,23,23,12,,17,23,21,15,
g_3_nBB3a7xA,24.05. 18:30,Wurzburg,Ulm,75,72,16,20,17,22,,14,17,23,18,
g_3_GbZvX8Ks,23.05. 18:30,Vechta,Chemnitz,67,84,14,12,23,18,,27,17,16,24,
g_3_CI02rn6m,22.05. 20:30,Wurzburg,Ulm,82,79,20,24,20,18,,18,16,23,22,
g_3_GYPrjAAL,22.05. 18:30,Ludwigsburg,Bayern,73,84,18,19,16,20,,26,19,12,27,
g_3_IchzuDae,21.05. 20:30,Vechta,Chemnitz,76,84,24,17,19,16,,17,29,23,15,
g_3_KUxtKJll,21.05. 18:30,Bonn,Alba Berlin,86,93,20,21,27,18,,20,20,28,25,
g_3_tWwV0fME,20.05. 19:00,Ulm,Wurzburg,100,64,22,28,26,24,,22,17,11,14,
g_3_dW9shWu9,20.05. 17:00,Bayern,Ludwigsburg,83,67,21,22,21,19,,19,14,16,18,
g_3_dr4RtZUr,19.05. 19:00,Chemnitz,Vechta,87,96,18,17,28,24,,15,27,27,27,
g_3_0pd9PuRQ,19.05. 17:00,Alba Berlin,Bonn,83,70,23,21,20,19,,21,19,19,11,
g_3_4xNeUSm2,18.05. 20:30AOT,Bayern,Ludwigsburg,98,102,26,17,22,25,8,18,22,15,35,12
g_3_QNerwiU7,18.05. 18:30,Ulm,Wurzburg,65,78,20,18,18,9,,23,17,18,20,
g_3_SSDene7L,17.05. 20:30,Chemnitz,Vechta,83,77,19,23,24,17,,16,18,13,30,
g_3_SWc1R1dE,17.05. 18:30,Alba Berlin,Bonn,94,68,17,24,27,26,,14,17,20,17,
g_3_rLPV5agc,16.05. 20:00,Ludwigsburg,Hamburg,91,78,23,22,21,25,,15,20,10,33,
g_3_CO9IDck5,14.05. 20:30,Bonn,Ludwigsburg,90,69,32,19,17,22,,13,12,28,16,
g_3_hMgHFJKh,14.05. 18:30,Oldenburg,Hamburg,81,93,22,25,17,17,,27,19,28,19,
g_3_AoxD8Red,12.05. 15:30,Basketball Braunschweig,Ulm,72,77,21,11,21,19,,23,22,14,18,
g_3_WE9LVcch,12.05. 15:30,Bayern,Rostock,101,73,24,28,20,29,,19,18,27,9,
g_3_IVBXSesB,12.05. 15:30,Bonn,Ludwigsburg,87,60,20,18,27,22,,16,18,15,11,
g_3_4S7TTyS4,12.05. 15:30,Chemnitz,Wurzburg,79,66,14,24,19,22,,18,6,18,24,
g_3_xKO5AmRq,12.05. 15:30,Crailsheim Merlins,Alba Berlin,83,103,18,25,27,13,,26,23,26,28,
g_3_0f1xSFdH,12.05. 15:30,Hamburg,Gottingen,79,66,18,22,24,15,,8,19,9,30,
g_3_Wfw997tj,12.05. 15:30,Heidelberg,Tubingen,93,78,26,27,18,22,,18,20,22,18,
g_3_A58PUHCb,12.05. 15:30,Oldenburg,Bamberg,107,84,22,24,36,25,,25,19,20,20,
g_3_CjGeXAYd,12.05. 15:30,Vechta,Syntainics MBC,98,69,24,26,23,25,,10,19,19,21,
g_3_lpoK2VhP,10.05. 20:00,Alba Berlin,Bayern,59,53,12,18,9,20,,17,11,20,5,
g_3_niy3DGsO,09.05. 18:30,Gottingen,Syntainics MBC,88,92,18,23,23,24,,23,28,24,17,
g_3_EwFGWwrn,09.05. 17:00,Tubingen,Hamburg,78,93,25,18,16,19,,23,24,28,18,
g_3_4SobEdSH,09.05. 15:35,Ulm,Oldenburg,91,74,19,20,21,31,,18,10,27,19,
g_3_bRv7CzcU,09.05. 15:30,Bamberg,Vechta,94,65,24,21,29,20,,21,24,9,11,
g_3_zmGCXJSu,08.05. 20:00,Alba Berlin,Bonn,90,69,20,30,23,17,,19,12,22,16,
g_3_QymfFxDB,08.05. 20:00,Ludwigsburg,Bayern,80,85,16,25,17,22,,27,22,15,21,
g_3_IBqnHbra,08.05. 18:30,Chemnitz,Basketball Braunschweig,82,68,22,28,13,19,,20,17,19,12,
g_3_d2rjGIc5,08.05. 18:30,Rostock,Crailsheim Merlins,70,85,24,5,25,16,,18,18,27,22,
g_3_zmfsIvTh,08.05. 18:30,Wurzburg,Heidelberg,98,84,24,20,29,25,,17,18,24,25,
g_3_v5dK2aT5,05.05. 18:30,Bonn,Wurzburg,91,100,23,21,20,27,,22,30,22,26,
g_3_QD47OtjP,05.05. 17:00,Bayern,Alba Berlin,77,53,16,30,13,18,,17,5,15,16,
g_3_QLbWacDO,05.05. 15:30,Basketball Braunschweig,Rostock,76,70,15,25,20,16,,22,20,14,14,
g_3_SMjZJ0bt,05.05. 15:30,Syntainics MBC,Ludwigsburg,91,90,22,29,18,22,,29,16,25,20,
g_3_MqjwJKDn,05.05. 15:30,Vechta,Gottingen,81,75,21,16,20,24,,14,20,20,21,
g_3_dt7F3uEa,04.05. 20:00,Hamburg,Chemnitz,79,85,22,17,20,20,,22,22,23,18,
g_3_nVaS0wbI,04.05. 20:00,Heidelberg,Ulm,57,73,17,14,15,11,,24,18,18,13,
g_3_Ik8B4Lbg,04.05. 18:30,Crailsheim Merlins,Bamberg,82,109,16,24,22,20,,30,24,31,24,
g_3_h80O1JrC,04.05. 18:30,Oldenburg,Tubingen,79,63,24,18,23,14,,15,13,26,9,
g_3_6c9XB36J,01.05. 17:00,Chemnitz,Vechta,83,91,20,25,14,24,,29,26,11,25,
g_3_AP436sUt,01.05. 15:30,Gottingen,Oldenburg,87,83,15,23,20,29,,18,24,15,26,
g_3_lG3751qm,01.05. 15:30,Tubingen,Basketball Braunschweig,68,81,22,19,17,10,,17,20,19,25,
g_3_4rSzBNLP,01.05. 15:30,Ulm,Bayern,74,81,20,16,13,25,,19,18,27,17,
g_3_OETYj2Ug,30.04. 20:00,Bamberg,Bonn,79,89,19,22,21,17,,25,21,19,24,
g_3_dSRtkta6,30.04. 20:00,Wurzburg,Syntainics MBC,107,83,25,28,31,23,,23,25,15,20,
g_3_IyTxjMq0,30.04. 18:30,Alba Berlin,Heidelberg,96,89,28,19,22,27,,17,28,24,20,
g_3_E3Mol0EC,30.04. 18:30,Hamburg,Crailsheim Merlins,94,88,16,30,21,27,,24,12,31,21,
g_3_hfLkmKTI,30.04. 18:30,Rostock,Ludwigsburg,91,85,20,22,20,29,,14,18,21,32,
g_3_SnzQhOas,28.04. 18:30,Bayern,Tubingen,92,73,21,22,24,25,,13,27,17,16,
g_3_ABPUirFm,28.04. 17:00,Oldenburg,Hamburg,107,92,26,33,32,16,,24,29,19,20,
