matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_EogL7cDc,25.05. 18:00,Teuta Durres,Beselidhja,67,105,16,20,18,13,,27,27,30,21,
g_3_YkGYqfLj,22.05. 18:00,Beselidhja,Teuta Durres,106,65,28,23,27,28,,17,11,24,13,
g_3_27P2kGcT,18.05. 18:00,Teuta Durres,Beselidhja,75,91,18,17,18,22,,21,21,24,25,
g_3_GdpiYYUI,15.05. 18:00,Beselidhja,Teuta Durres,103,72,17,21,38,27,,22,23,11,16,
g_3_UNzb21Gb,12.05. 19:00,Teuta Durres,Vllaznia,79,70,24,12,21,22,,20,14,19,17,
g_3_z570pBK5,09.05. 19:00,Vllaznia,Teuta Durres,72,71,19,20,18,15,,13,15,22,21,
g_3_t0DH0Bx3,06.05. 19:00,Teuta Durres,Vllaznia,97,95,17,30,23,27,,12,28,23,32,
g_3_2LGnRfjT,01.05. 18:00,Beselidhja,Tirana,99,85,28,21,28,22,,25,18,24,18,
g_3_0UihOwDG,28.04. 19:00,Vllaznia,Teuta Durres,86,81,23,19,18,26,,18,20,16,27,
g_3_8fe0MHsT,27.04. 19:30,Tirana,Beselidhja,63,89,17,18,17,11,,22,27,25,15,
g_3_pdr2ULfU,25.04. 19:00,Teuta Durres,Vllaznia,103,73,25,29,24,25,,18,15,19,21,
g_3_bupfWsQH,24.04. 17:00,Beselidhja,Tirana,94,84,23,25,24,22,,19,30,25,10,
g_3_MJ4QanEO,20.04. 19:00,Kamza Basket,Vllaznia,67,72,18,11,15,23,,14,19,15,24,
g_3_l66I18qC,20.04. 18:00,Apolonia Fier,Tirana,74,97,21,21,9,23,,32,19,23,23,
g_3_0Kh3InqI,17.04. 19:00,Vllaznia,Kamza Basket,83,77,24,13,18,28,,13,20,28,16,
g_3_6HeBGQDU,17.04. 18:00,Tirana,Apolonia Fier,84,83,22,25,18,19,,18,22,30,13,
g_3_4SPp5Cvo,13.04. 17:00,Beselidhja,Tirana,80,58,25,15,20,20,,16,12,20,10,
g_3_fgzBBE1H,12.04. 17:00,Elbasani,Vllaznia,98,113,22,20,24,32,,35,23,31,24,
g_3_8dvFAYGN,11.04. 18:00,PBC Flamurtari,Teuta Durres,59,92,25,17,8,9,,25,22,27,18,
g_3_CUp6CfnB,11.04. 15:00,Partizani Tirana,Fieri,94,70,18,26,24,26,,13,25,17,15,
g_3_2JwJ9hWT,11.04. 12:00,Skenderbeu,Apolonia Fier,64,89,,,,,,,,,,
g_3_nNmfFd2h,07.04. 18:00,Apolonia Fier,Elbasani,144,93,38,40,27,39,,20,26,25,22,
g_3_QDnbEGHb,07.04. 18:00,Tirana,PBC Flamurtari,105,64,40,23,26,16,,21,20,13,10,
g_3_4bbkGxmn,07.04. 16:00,Vllaznia,Partizani Tirana,85,66,23,24,20,18,,21,13,15,17,
g_3_jefoHIXu,07.04. 15:00,Fieri,Kamza Basket,59,98,11,16,21,11,,35,29,13,21,
g_3_Ywn2DzX4,06.04. 13:00,Skenderbeu,Beselidhja,55,117,,,,,,,,,,
g_3_40kRBNe0,04.04. 19:00,Kamza Basket,Teuta Durres,84,101,15,14,26,29,,29,19,24,29,
g_3_rilVAsB6,04.04. 19:00,Partizani Tirana,Apolonia Fier,85,98,18,26,23,18,,24,22,25,27,
g_3_AwjNC3tf,04.04. 17:00,Vllaznia,Fieri,111,72,27,28,32,24,,18,13,15,26,
g_3_vJsv9LuJ,03.04. 19:00,PBC Flamurtari,Skenderbeu,98,79,32,20,20,26,,27,16,19,17,
g_3_0SrzA1QC,03.04. 16:00,Elbasani,Beselidhja,74,148,13,17,25,19,,35,33,45,35,
g_3_ChXJDqRm,24.03. 18:00,PBC Flamurtari,Elbasani,89,71,17,22,35,15,,17,30,14,10,
g_3_SKemJ53Q,24.03. 18:00,Tirana,Kamza Basket,96,73,27,31,19,19,,15,21,18,19,
g_3_KfhuLRYD,24.03. 16:00,Fieri,Teuta Durres,94,125,16,24,27,27,,37,32,31,25,
g_3_UTsFEPBs,23.03. 19:00,Beselidhja,Partizani Tirana,81,61,19,22,24,16,,18,17,19,7,
g_3_boiqKolK,23.03. 18:00,Apolonia Fier,Vllaznia,84,86,27,19,15,23,,15,34,19,18,
g_3_jNfm0Qdl,17.03. 18:00,Apolonia Fier,Fieri,105,69,26,22,25,32,,15,21,17,16,
g_3_APAlb4R0,17.03. 16:00,Vllaznia,Beselidhja,71,86,19,13,19,20,,22,23,22,19,
g_3_IkEddrdD,16.03. 18:00,Partizani Tirana,PBC Flamurtari,76,56,13,17,28,18,,15,15,11,15,
g_3_WYBpapCf,16.03. 18:00,Teuta Durres,Tirana,90,81,26,18,19,27,,31,16,19,15,
g_3_4nAhcOt7,15.03. 16:00,Kamza Basket,Skenderbeu,103,49,29,17,29,28,,10,13,14,12,
g_3_bPF8784E,14.03. 17:30,Beselidhja,Apolonia Fier,101,60,27,22,30,22,,17,14,19,10,
g_3_KYG48lk8,13.03. 18:30,Fieri,Tirana,63,104,21,15,8,19,,29,29,23,23,
g_3_CWeq16sr,13.03. 18:00,Elbasani,Kamza Basket,86,108,21,20,26,19,,24,33,25,26,
g_3_fi9H5nZQ,13.03. 16:30,PBC Flamurtari,Vllaznia,72,90,15,20,26,11,,22,21,22,25,
g_3_tl5D6SJK,13.03. 13:00,Skenderbeu,Teuta Durres,72,115,19,17,17,19,,24,28,31,32,
g_3_A3ZDoRse,10.03. 18:00,Apolonia Fier,PBC Flamurtari,75,70,19,23,9,24,,15,23,11,21,
g_3_hSOIpoc1,09.03. 18:00,Teuta Durres,Elbasani,103,58,38,28,16,21,,6,22,15,15,
g_3_bTV9n7Sl,09.03. 15:00,Tirana,Skenderbeu,151,42,42,43,32,34,,6,5,18,13,
g_3_WINMq5C7,08.03. 19:00,Kamza Basket,Partizani Tirana,82,84,18,21,24,19,,27,20,16,21,
g_3_46W5mmDr,08.03. 17:30,Beselidhja,Fieri,109,51,36,22,28,23,,10,14,15,12,
g_3_C8iRfVK8,03.03. 18:00,PBC Flamurtari,Beselidhja,60,101,13,16,17,14,,27,19,26,29,
g_3_pMkZh9kL,02.03. 17:00,Partizani Tirana,Teuta Durres,76,82,23,23,19,11,,26,19,18,19,
g_3_b5mNeB52,02.03. 16:00,Fieri,Skenderbeu,93,53,21,24,27,21,,13,14,10,16,
g_3_6VjVgkzF,01.03. 19:00,Elbasani,Tirana,100,130,25,23,27,25,,31,23,43,33,
g_3_2cpvhT4R,01.03. 18:00AOT,Kamza Basket,Vllaznia,81,84,14,21,17,19,10,10,23,24,14,13
g_3_I9AzY7De,11.02. 18:00,Apolonia Fier,Kamza Basket,95,70,20,19,34,22,,25,10,18,17,
g_3_v1K0vAzS,11.02. 15:00,PBC Flamurtari,Fieri,86,66,20,24,26,16,,14,20,14,18,
g_3_d09vXRS1,10.02. 18:00,Teuta Durres,Vllaznia,92,73,21,21,25,25,,19,22,19,13,
g_3_OYeXYmbk,10.02. 18:00,Tirana,Partizani Tirana,103,77,26,23,24,30,,10,27,27,13,
g_3_prcTZTrq,10.02. 11:30,Skenderbeu,Elbasani,74,96,16,14,17,27,,22,31,25,18,
g_3_WzHhtW5F,04.02. 18:00,Vllaznia,Tirana,83,77,22,20,13,28,,14,19,26,18,
g_3_dIOuqYLd,03.02. 18:00,Fieri,Elbasani,78,85,20,19,16,23,,18,22,23,22,
g_3_QcGdujLL,03.02. 18:00,Teuta Durres,Apolonia Fier,78,83,17,20,23,18,,24,13,26,20,
g_3_z9Nqrhy3,03.02. 17:00,Partizani Tirana,Skenderbeu,117,83,31,33,27,26,,17,12,22,32,
g_3_hpIlsCj9,02.02. 18:00,Kamza Basket,Beselidhja,61,86,12,16,15,18,,28,18,15,25,
g_3_WvXgLUTk,27.01. 18:00,Beselidhja,Teuta Durres,117,90,38,18,27,34,,19,16,25,30,
g_3_rFzbKlqd,27.01. 18:00,Tirana,Apolonia Fier,95,74,25,22,28,20,,9,17,16,32,
g_3_CjKLwwpH,27.01. 17:00,PBC Flamurtari,Kamza Basket,64,81,11,26,13,14,,19,16,19,27,
g_3_rHFHvJUA,26.01. 19:00,Elbasani,Partizani Tirana,66,77,24,16,14,12,,20,22,21,14,
g_3_lGskMAEq,25.01. 14:00,Skenderbeu,Vllaznia,66,105,,,,,,,,,,
g_3_8bN4sLph,16.12. 19:00,Teuta Durres,PBC Flamurtari,102,80,32,21,22,27,,16,26,14,24,
g_3_EyO0r1Vo,16.12. 18:00,Vllaznia,Elbasani,102,84,25,21,24,32,,21,16,19,28,
g_3_4QGDuaF4,15.12. 19:00,Tirana,Beselidhja,88,96,20,22,15,31,,20,22,31,23,
g_3_zoPdqsGu,15.12. 17:30,Partizani Tirana,Fieri,98,67,24,27,25,22,,9,24,22,12,
g_3_M1R8tu0b,15.12. 15:00,Apolonia Fier,Skenderbeu,111,75,33,29,21,28,,13,16,17,29,
g_3_CIIzRtwC,09.12. 19:00,Partizani Tirana,Vllaznia,72,77,15,14,20,23,,11,17,25,24,
g_3_KrMrPK7O,09.12. 18:00,PBC Flamurtari,Tirana,47,81,7,7,14,19,,22,23,22,14,
g_3_QLMvQ0hI,08.12. 19:00,Elbasani,Apolonia Fier,79,98,20,22,16,21,,23,30,23,22,
g_3_UgTVRMN5,08.12. 18:00,Kamza Basket,Fieri,109,72,27,24,34,24,,17,16,17,22,
g_3_bZKnOvNU,08.12. 17:00,Beselidhja,Skenderbeu,136,62,32,43,31,30,,16,12,11,23,
g_3_rwRJUOwm,02.12. 18:00AOT,Apolonia Fier,Partizani Tirana,93,89,28,16,24,15,10,20,20,23,20,6
g_3_MTPNTrgg,02.12. 18:00,Beselidhja,Elbasani,122,51,33,25,32,32,,15,12,20,4,
g_3_vBVmzoGP,02.12. 17:00,Fieri,Vllaznia,63,83,,,,,,,,,,
