matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_QTMw5ewf,14.06. 03:00,Quimsa,Instituto de Cordoba,84,85,25,22,17,20,,23,23,25,14,
g_3_K2YxlOrC,10.06. 01:00AOT,Instituto de Cordoba,Quimsa,96,91,30,14,19,18,15,11,27,23,20,10
g_3_tCZYl4T5,08.06. 02:00,Instituto de Cordoba,Quimsa,70,91,19,14,19,18,,27,24,23,17,
g_3_bmpUkpEa,03.06. 02:00,Quimsa,Instituto de Cordoba,84,91,15,19,24,26,,27,18,29,17,
g_3_pptQjQbg,01.06. 02:00,Quimsa,Instituto de Cordoba,74,73,25,14,20,15,,20,16,13,24,
g_3_rZEN5PeR,26.05. 00:00,Instituto de Cordoba,San Martin,75,61,22,24,18,11,,17,19,14,11,
g_3_2wWVYQiH,23.05. 01:30,Boca Juniors,Quimsa,75,92,15,20,23,17,,22,28,19,23,
g_3_UkBis4FD,22.05. 02:30,San Martin,Instituto de Cordoba,74,73,15,14,13,32,,20,10,19,24,
g_3_tACablHR,21.05. 02:00,Boca Juniors,Quimsa,79,77,12,22,23,22,,18,18,16,25,
g_3_jLJn1jX8,20.05. 02:00,San Martin,Instituto de Cordoba,97,67,14,35,17,31,,14,11,24,18,
g_3_nmDeaU1L,18.05. 02:30,Quimsa,Boca Juniors,82,66,20,21,19,22,,18,11,14,23,
g_3_CUKr2WH2,17.05. 02:00,Instituto de Cordoba,San Martin,90,84,18,19,29,24,,26,18,19,21,
g_3_8dEi0AnF,16.05. 02:00,Quimsa,Boca Juniors,92,82,21,14,27,30,,18,23,17,24,
g_3_bRW0wmu2,15.05. 01:00,Instituto de Cordoba,San Martin,83,76,14,22,20,27,,11,23,18,24,
g_3_IT46zqnN,12.05. 02:00,Union De Santa Fe,Hispano Americano,83,73,22,24,17,20,,22,17,19,15,
g_3_b1NocX1D,10.05. 02:30,Regatas,Instituto de Cordoba,74,80,22,8,27,17,,22,14,19,25,
g_3_6kqEBbEk,09.05. 03:00,San Martin,Gimnasia,74,67,24,8,22,20,,9,16,20,22,
g_3_UoNUi8Np,08.05. 02:30,Regatas,Instituto de Cordoba,97,91,21,32,25,19,,21,20,26,24,
g_3_G6ecsWxA,08.05. 02:00,Boca Juniors,Penarol,86,77,25,23,17,21,,16,19,23,19,
