matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0KUJSL14,19.12. 19:30,Berazategui W,Corrientes W,65,57,11,20,15,19,,13,12,12,20,
g_3_ngvZQDd1,16.12. 00:30,Corrientes W,Obras Sanitarias W,76,56,21,18,24,13,,21,13,11,11,
g_3_IJZURgse,15.12. 22:00,Rocamora W,Berazategui W,70,89,15,15,19,21,,17,22,22,28,
g_3_vTzRSZRl,15.12. 00:30,Berazategui W,Rocamora W,54,47,17,6,13,18,,7,11,16,13,
g_3_d4oMTFCr,14.12. 22:00,Obras Sanitarias W,Corrientes W,80,74,18,21,22,19,,20,6,24,24,
g_3_YFRseXtp,12.12. 01:00,Rocamora W,Los Indios W,56,45,11,14,15,16,,10,14,9,12,
g_3_bNzGaDYS,11.12. 01:00,Los Indios W,Rocamora W,49,63,7,10,20,12,,10,21,15,17,
g_3_40yC0gJM,10.12. 01:00,Ferro W,Obras Sanitarias W,74,77,11,21,19,23,,21,28,14,14,
g_3_Q9x81Z3G,09.12. 21:00,Quimsa W,Berazategui W,52,84,14,18,14,6,,17,23,22,22,
g_3_8Ys32FlA,09.12. 01:30,Obras Sanitarias W,Ferro W,58,47,19,18,10,11,,12,13,15,7,
g_3_Usqa3eZ3,08.12. 23:00,Berazategui W,Quimsa W,69,60,16,24,17,12,,10,15,20,15,
g_3_McgVq7Id,30.11. 01:00,Union Florida W,Corrientes W,61,64,16,18,13,14,,17,16,17,14,
g_3_OMHxqqId,29.11. 01:00,Union Florida W,Corrientes W,60,58,16,15,13,16,,10,12,12,24,
g_3_231wYh3A,22.11. 23:00,Quimsa W,Obras Sanitarias W,34,66,9,9,8,8,,13,16,18,19,
g_3_KvCYYYm4,21.11. 23:00,Union Florida W,Quimsa W,55,50,12,12,13,18,,12,13,7,18,
g_3_8xzJKMB4,21.11. 18:00,Rocamora W,Berazategui W,56,80,12,21,14,9,,20,21,17,22,
g_3_j1PNJtRA,21.11. 15:00,Obras Sanitarias W,Corrientes W,68,57,12,17,18,21,,9,14,15,19,
g_3_MLX6NORo,20.11. 23:00,Catamarca W,Union Florida W,62,74,22,20,11,9,,14,26,14,20,
g_3_0CWAMrsh,20.11. 20:30,Los Indios W,Rocamora W,69,67,20,19,15,15,,18,9,21,19,
g_3_UoyFL2db,20.11. 18:00,Corrientes W,Berazategui W,56,72,20,5,15,16,,26,19,16,11,
g_3_KGgObuko,20.11. 01:00,Ferro W,Catamarca W,56,58,14,7,14,21,,11,17,10,20,
g_3_6y8UZEYc,16.11. 23:30,Los Indios W,Ferro W,64,53,19,14,11,20,,11,12,22,8,
g_3_A7DIVktN,13.11. 22:45,Corrientes W,Catamarca W,85,67,17,29,14,25,,9,20,20,18,
g_3_ABa4bJ4r,13.11. 18:00AOT,Rocamora W,Ferro W,64,57,10,11,16,15,12,12,10,9,21,5
g_3_GpEEWVQG,13.11. 01:30,Catamarca W,Quimsa W,63,78,23,10,13,17,,14,18,22,24,
g_3_2sAAXBBA,12.11. 01:30,Quimsa W,Corrientes W,48,77,16,8,13,11,,27,18,9,23,
g_3_bDB4WBgp,10.11. 01:30,Berazategui W,Union Florida W,62,57,16,17,18,11,,21,9,18,9,
g_3_x4A8VV8j,09.11. 23:00,Obras Sanitarias W,Ferro W,60,50,13,16,11,20,,13,8,11,18,
g_3_OfFqPKf2,08.11. 01:30,Catamarca W,Los Indios W,42,77,11,10,10,11,,17,4,27,29,
g_3_tj0rpMWR,07.11. 23:00AOT,Rocamora W,Obras Sanitarias W,58,54,16,12,9,13,8,18,10,15,7,4
g_3_nT0vo2HL,07.11. 20:30,Union Florida W,Corrientes W,60,58,15,15,10,20,,10,19,9,20,
