matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_buImh2EE,01.05. 02:30,Union Florida W,Obras Sanitarias W,56,50,8,12,20,16,,7,11,21,11,
g_3_faNhC4qh,29.04. 01:00,Union Florida W,Obras Sanitarias W,62,50,17,14,14,17,,13,12,10,15,
g_3_v33BIJOk,24.04. 01:00,Obras Sanitarias W,Union Florida W,65,76,16,12,17,20,,19,17,26,14,
g_3_8GtvySvH,22.04. 00:00,Obras Sanitarias W,Union Florida W,63,52,22,18,9,14,,9,11,13,19,
g_3_6LFlrKSk,18.04. 02:30,Juventud Ameghino W,Obras Sanitarias W,76,83,14,18,22,22,,23,18,17,25,
g_3_UuMAk2zG,18.04. 02:00,Ferro W,Union Florida W,72,75,19,21,13,19,,23,26,12,14,
g_3_YDS1iO53,15.04. 02:00,Union Florida W,Ferro W,74,49,26,12,20,16,,9,9,8,23,
g_3_MmvImt5S,15.04. 01:00,Obras Sanitarias W,Juventud Ameghino W,57,45,10,20,12,15,,16,8,8,13,
g_3_dC7SpSyh,12.04. 02:00,Union Florida W,Riachuelo W,67,53,13,25,14,15,,14,7,18,14,
g_3_boRxXCIF,11.04. 02:00,Union Florida W,Riachuelo W,68,55,19,17,10,22,,12,9,21,13,
g_3_KfSYXh39,10.04. 01:00,Obras Sanitarias W,Quimsa W,68,58,17,13,22,16,,15,17,23,3,
g_3_nN1IdI3I,07.04. 02:00,Quimsa W,Obras Sanitarias W,56,61,12,16,11,17,,16,12,18,15,
g_3_QD0MexJO,05.04. 23:30,Riachuelo W,Union Florida W,75,66,12,22,17,24,,7,20,17,22,
g_3_tAdOBLJi,31.03. 00:00,Instituto W,Juventud Ameghino W,67,85,9,20,18,20,,20,26,22,17,
g_3_S6hKC14o,31.03. 00:00,Quimsa W,Ciclista Olimpico W,59,51,10,14,20,15,,4,13,17,17,
g_3_ENfW9al4,31.03. 00:00,Riachuelo W,Montmartre W,91,76,28,15,23,25,,19,19,16,22,
g_3_fZBT8J3A,30.03. 21:00,Ferro W,Obras Sanitarias W,69,72,16,20,14,19,,15,21,16,20,
g_3_zXeSAuZc,29.03. 01:00,Berazategui W,Union Florida W,62,72,16,11,16,19,,16,16,27,13,
g_3_UedYVOl2,28.03. 01:00,Rocamora W,Ciclista Olimpico W,76,41,16,25,15,20,,8,13,10,10,
g_3_ILhUW4Ze,27.03. 01:00,Rocamora W,Quimsa W,62,76,13,15,17,17,,22,16,21,17,
g_3_fJN5gv4N,24.03. 01:00,Juventud Ameghino W,Montmartre W,65,62,14,17,21,13,,18,8,7,29,
g_3_Y3Zde0ZA,24.03. 01:00,Rocamora W,Ferro W,63,71,19,17,15,12,,27,17,12,15,
g_3_GSO1fKlH,24.03. 00:00,Ciclista Olimpico W,Union Florida W,61,58,26,13,13,9,,15,11,20,12,
g_3_OhS9hbJT,24.03. 00:00,Quimsa W,Berazategui W,72,61,17,17,18,20,,15,17,14,15,
g_3_Q1EylIRp,23.03. 22:30,Instituto W,Riachuelo W,52,57,14,10,14,14,,15,15,13,14,
g_3_6wPx0OKu,23.03. 02:00,Ciclista Olimpico W,Berazategui W,66,69,16,16,15,19,,18,20,16,15,
g_3_pUNtarzn,23.03. 01:00,Juventud Ameghino W,Riachuelo W,78,46,25,20,15,18,,11,8,11,16,
g_3_25Iob2kh,23.03. 01:00,Quimsa W,Union Florida W,48,60,5,15,19,9,,28,11,8,13,
g_3_tdHkcM4b,23.03. 00:30,Instituto W,Montmartre W,62,48,15,22,7,18,,11,10,14,13,
g_3_zJGgdtK4,23.03. 00:00,Rocamora W,Obras Sanitarias W,72,71,11,20,17,24,,23,18,20,10,
g_3_UHmXvukU,19.03. 00:00,Obras Sanitarias W,Juventud Ameghino W,67,71,21,6,16,24,,19,20,13,19,
g_3_nZeGrNk5,18.03. 00:30,Riachuelo W,Quimsa W,62,57,18,11,15,18,,15,20,14,8,
g_3_GEqTuLZN,18.03. 00:00,Ferro W,Juventud Ameghino W,62,55,23,12,14,13,,21,9,10,15,
g_3_8rcCq3za,18.03. 00:00,Union Florida W,Rocamora W,86,66,26,21,22,17,,20,18,13,15,
g_3_YkfOt1KH,17.03. 23:00,Obras Sanitarias W,Instituto W,86,70,21,25,21,19,,20,13,26,11,
g_3_faeKss5B,17.03. 22:00AOT,Montmartre W,Ciclista Olimpico W,72,70,17,11,23,11,10,14,19,17,12,8
g_3_Ig4an5jt,17.03. 02:00,Ferro W,Instituto W,76,75,19,19,24,14,,7,19,21,28,
g_3_tUtW3XLD,17.03. 02:00,Riachuelo W,Ciclista Olimpico W,83,54,22,11,22,28,,10,10,12,22,
g_3_CG33oP5n,17.03. 01:00,Berazategui W,Rocamora W,60,43,12,16,17,15,,5,11,12,15,
g_3_QJ77pqLh,17.03. 00:00,Montmartre W,Quimsa W,63,64,21,12,16,14,,17,20,13,14,
g_3_OhCodL27,15.03. 01:00,Berazategui W,Obras Sanitarias W,59,54,21,6,12,20,,13,15,14,12,
g_3_Ie9wbsYf,14.03. 01:00AOT,Rocamora W,Riachuelo W,62,57,20,9,14,10,9,9,17,14,13,4
g_3_UVzj7oB8,13.03. 01:00,Rocamora W,Montmartre W,70,61,24,14,11,21,,19,15,15,12,
g_3_QcUb5PuL,12.03. 01:00,Berazategui W,Ferro W,53,74,14,8,19,12,,14,19,20,21,
g_3_rZvf65QE,12.03. 01:00,Union Florida W,Obras Sanitarias W,56,71,14,8,18,16,,24,16,14,17,
g_3_zXJYbNIl,11.03. 01:00,Ciclista Olimpico W,Instituto W,57,71,18,13,14,12,,12,19,20,20,
g_3_2qBkeuID,11.03. 01:00,Union Florida W,Ferro W,49,59,9,7,15,18,,21,11,13,14,
g_3_dtLUa33r,10.03. 01:00,Ciclista Olimpico W,Juventud Ameghino W,34,103,10,9,11,4,,25,19,34,25,
g_3_4lT24qeR,09.03. 21:00,Quimsa W,Instituto W,55,48,16,14,10,15,,17,11,9,11,
g_3_UVCsc1m1,08.03. 20:30,Quimsa W,Juventud Ameghino W,41,52,18,7,6,10,,17,10,10,15,
g_3_GSn8r2Y7,03.03. 22:00,Juventud Ameghino W,Rocamora W,56,40,7,16,15,18,,2,16,9,13,
