matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_2aaFRSjI,30.10. 16:00,Instituto de Cordoba,Gimnasia,80,66,24,17,21,18,,19,10,21,16,
g_3_SCymP2ws,29.10. 02:10,Instituto de Cordoba,San Martin,80,70,19,27,15,19,,26,11,13,20,
g_3_63ziOMhm,28.10. 23:30,Gimnasia,La Union,71,66,21,20,17,13,,25,17,11,13,
g_3_joy5Bku1,28.10. 02:10,Instituto de Cordoba,Obras Sanitarias,89,82,23,17,29,20,,26,15,26,15,
g_3_nDUD9T9D,27.10. 23:30,Gimnasia,Quimsa,73,71,14,20,20,19,,18,19,16,18,
g_3_0GIeYCnE,27.10. 21:00,Boca Juniors,La Union,66,71,18,20,13,15,,26,17,11,17,
g_3_Y9Q9A9f7,27.10. 18:30,San Martin,Ferro,65,57,11,14,11,29,,20,8,18,11,
g_3_I7NywNbb,17.10. 02:00,Platense,Gimnasia,64,78,20,12,19,13,,23,21,18,16,
g_3_0WSWw3qh,17.10. 02:00,San Lorenzo,Ferro,72,71,14,15,24,19,,14,20,17,20,
g_3_MuUSvqUo,17.10. 00:00,Obras Sanitarias,Argentino,77,68,23,26,16,12,,16,17,16,19,
g_3_8xtoGaio,16.10. 16:00,Hispano Americano,Union De Santa Fe,88,86,24,21,21,22,,20,20,24,22,
g_3_WGlJKuqU,16.10. 02:30,Instituto de Cordoba,Olimpico,78,72,22,18,16,22,,12,16,17,27,
g_3_lhaELLTN,16.10. 02:30,Obera TC,Regatas,80,85,21,15,28,16,,11,25,29,20,
g_3_A10AM1EH,16.10. 00:00,Riachuelo,Quimsa,76,80,20,15,25,16,,15,20,24,21,
g_3_GQo7NsaB,16.10. 00:00,San Martin,Comunicaciones Mercedes,92,89,23,19,22,28,,19,20,24,26,
g_3_xzm3ONq5,15.10. 02:30,Boca Juniors,Obras Sanitarias,72,54,17,18,15,22,,14,10,17,13,
g_3_t8gfQqFh,15.10. 02:00,San Lorenzo,Penarol,88,73,23,15,25,25,,17,20,16,20,
g_3_nofjRPan,15.10. 00:00,Argentino,Hispano Americano,95,88,25,27,28,15,,25,24,16,23,
g_3_fBcbP3Ub,15.10. 00:00,Ferro,Gimnasia,72,73,21,15,19,17,,10,26,15,22,
g_3_UTPy82aO,14.10. 02:30,Comunicaciones Mercedes,Regatas,64,89,15,15,16,18,,15,30,21,23,
g_3_8KOu7MEU,14.10. 02:30,Olimpico,Riachuelo,77,71,14,19,14,30,,21,22,12,16,
g_3_8fenS5pt,14.10. 02:30,Union De Santa Fe,Argentino,87,81,27,19,20,21,,14,14,23,30,
g_3_z7QX8rpI,14.10. 02:00,Penarol,Platense,70,75,19,12,19,20,,16,16,23,20,
g_3_t8XOA4F5,14.10. 00:00,Atenas,Instituto de Cordoba,87,78,19,22,23,23,,26,11,19,22,
g_3_OWMT9OUB,14.10. 00:00,Hispano Americano,Boca Juniors,72,78,15,11,33,13,,17,22,20,19,
g_3_2HYKBp0a,14.10. 00:00,La Union,San Martin,72,74,20,20,16,16,,24,9,24,17,
