matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_fq3j8ohe,31.03. 07:00,Melbourne United,Tasmania JackJumpers,81,83,31,13,19,18,,26,18,15,24,
g_3_hMHGN0Gq,28.03. 09:30,Tasmania JackJumpers,Melbourne United,86,88,20,19,27,20,,17,24,26,21,
g_3_fDKvPh4I,24.03. 07:30,Melbourne United,Tasmania JackJumpers,91,93,25,19,25,22,,20,23,19,31,
g_3_0jLzQYlC,22.03. 09:30,Tasmania JackJumpers,Melbourne United,82,77,23,17,20,22,,23,21,19,14,
g_3_MaMWQEZ5,17.03. 06:00,Melbourne United,Tasmania JackJumpers,104,81,26,25,25,28,,24,17,22,18,
g_3_S2zODDmR,13.03. 11:30,Perth,Tasmania JackJumpers,84,100,19,24,21,20,,21,31,25,23,
g_3_8GvZKIgL,13.03. 09:30,Melbourne United,Illawarra Hawks,100,94,30,24,22,24,,24,23,18,29,
g_3_Gb58BMEc,11.03. 09:30,Tasmania JackJumpers,Perth,102,94,21,26,27,28,,29,23,21,21,
g_3_ljCHSS7S,10.03. 05:00AOT,Illawarra Hawks,Melbourne United,113,108,19,31,23,24,16,25,24,26,22,11
g_3_4O14C2ai,08.03. 11:30,Perth,Tasmania JackJumpers,89,81,24,22,16,27,,24,19,15,23,
g_3_fTCDT8hM,07.03. 09:30AOT,Melbourne United,Illawarra Hawks,115,106,25,31,18,26,15,29,28,27,16,6
g_3_AL4CAtU3,04.03. 09:30,Illawarra Hawks,New Zealand Breakers,88,85,31,11,24,22,,17,25,21,22,
g_3_Cd9RuPW5,28.02. 09:30,Sydney,New Zealand Breakers,76,83,22,25,13,16,,15,23,22,23,
g_3_jm8VvqnC,28.02. 07:30,Tasmania JackJumpers,Illawarra Hawks,92,76,29,22,19,22,,17,27,19,13,
g_3_MezbD7DO,18.02. 06:00,Adelaide,New Zealand Breakers,76,70,17,20,21,18,,14,21,12,23,
g_3_x2PuF8RE,18.02. 04:00,Melbourne United,Illawarra Hawks,92,87,23,15,30,24,,17,25,24,21,
g_3_bBQyGlC8,17.02. 10:00,Tasmania JackJumpers,Perth,86,72,22,25,17,22,,22,10,16,24,
g_3_AeXgi5Z7,17.02. 07:30,South East Melbourne,Sydney,67,122,14,25,17,11,,34,29,29,30,
g_3_W4YkhoK1,16.02. 09:30,Cairns Taipans,Melbourne United,97,88,28,29,20,20,,15,20,19,34,
g_3_r5yfEmbI,16.02. 07:30,New Zealand Breakers,Brisbane Bullets,103,87,26,29,20,28,,21,19,23,24,
g_3_ltqogR4e,15.02. 09:30,Illawarra Hawks,Perth,108,92,24,32,28,24,,26,24,21,21,
g_3_zwusf7kk,11.02. 06:00,Sydney,Illawarra Hawks,95,106,17,29,19,30,,31,28,20,27,
g_3_lrxjFTrC,11.02. 04:00,Melbourne United,New Zealand Breakers,94,81,27,28,23,16,,22,17,16,26,
g_3_tGuwemzq,10.02. 10:00,Perth,Cairns Taipans,117,88,30,27,22,38,,30,27,15,16,
g_3_4jI9CF5G,10.02. 07:30,South East Melbourne,Tasmania JackJumpers,67,94,19,11,14,23,,24,25,25,20,
g_3_xUoDDejA,09.02. 09:30,Brisbane Bullets,Adelaide,102,84,22,30,24,26,,20,24,23,17,
g_3_zuYoG9T5,09.02. 07:30,New Zealand Breakers,Illawarra Hawks,88,85,18,23,27,20,,21,21,19,24,
g_3_hGrsHkEa,04.02. 06:00,Perth,New Zealand Breakers,78,89,16,23,24,15,,21,25,25,18,
g_3_bwm9Eyy4,04.02. 04:00,Tasmania JackJumpers,Adelaide,109,86,31,26,26,26,,21,24,24,17,
g_3_4Gm5FHLc,03.02. 10:00,Melbourne United,South East Melbourne,99,83,26,31,31,11,,17,27,15,24,
