matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_YP8naNdA,12.08. 12:30,Forestville Eagles,West Adelaide Bearcats,95,106,33,21,24,17,,26,41,17,22,
g_3_neX1IR6R,05.08. 12:00,West Adelaide Bearcats,Sturt Sabres,96,73,25,29,21,21,,12,25,12,24,
g_3_25WtCevD,30.07. 08:00,Sturt Sabres,South Adelaide Panthers,98,71,22,29,22,25,,19,25,19,8,
g_3_tdVpBFgJ,30.07. 06:30,West Adelaide Bearcats,Forestville Eagles,81,83,19,25,18,19,,12,28,25,18,
g_3_l8qeNuJ5,22.07. 12:00,Forestville Eagles,Sturt Sabres,90,89,27,21,22,20,,20,27,12,30,
g_3_AHpiOL3a,22.07. 11:30,South Adelaide Panthers,Woodville Warriors,92,81,33,16,22,21,,20,25,23,13,
g_3_zws5OzHc,15.07. 12:45,Central Districts Lions,Forestville Eagles,95,107,27,15,22,31,,38,24,23,22,
g_3_I1W9NfW3,15.07. 12:45,Eastern Mavericks,Sturt Sabres,73,123,23,18,12,20,,29,22,41,31,
g_3_dhVDMEoA,15.07. 12:45,North Adelaide Rockets,Norwood Flames,88,90,23,21,24,20,,21,13,19,37,
g_3_QRZHLY0G,15.07. 12:45,South Adelaide Panthers,Woodville Warriors,76,79,18,20,19,19,,23,17,13,26,
g_3_4IYLKhGM,15.07. 12:45,Southern Tigers,West Adelaide Bearcats,81,105,22,24,18,17,,19,26,32,28,
g_3_EkFTOqBt,09.07. 10:00AOT,Central Districts Lions,West Adelaide Bearcats,86,87,32,17,12,16,9,28,16,16,17,10
g_3_IsCpL1A5,09.07. 07:45,Woodville Warriors,Sturt Sabres,96,85,27,28,20,21,,31,12,17,25,
g_3_C4BlKLPB,08.07. 12:45,North Adelaide Rockets,Southern Tigers,92,83,26,24,18,24,,13,23,26,21,
g_3_MZx1PG1i,08.07. 12:45,South Adelaide Panthers,Norwood Flames,95,66,26,19,26,24,,16,16,25,9,
g_3_8WlJ0XOj,08.07. 12:45,Sturt Sabres,Central Districts Lions,91,82,24,17,26,24,,17,27,21,17,
g_3_jeAhJuuI,08.07. 12:45,West Adelaide Bearcats,Eastern Mavericks,120,89,26,18,46,30,,29,25,13,22,
g_3_UujF1D9p,08.07. 12:45,Woodville Warriors,Forestville Eagles,113,115,28,36,23,26,,30,27,37,21,
g_3_rPJXN3Qn,07.07. 12:45,Eastern Mavericks,North Adelaide Rockets,64,94,16,17,19,12,,15,29,24,26,
g_3_MFIyNNug,07.07. 12:45,Norwood Flames,Forestville Eagles,100,98,32,19,24,25,,21,22,28,27,
g_3_4v8tMsea,06.07. 12:45,Southern Tigers,South Adelaide Panthers,74,95,26,18,16,14,,20,28,28,19,
g_3_CtT1TP2P,02.07. 07:45,Sturt Sabres,Southern Tigers,110,54,27,32,26,25,,19,7,7,21,
g_3_vwY77rt6,01.07. 12:45,Central Districts Lions,Eastern Mavericks,86,120,18,23,31,14,,35,25,34,26,
g_3_ITWB62eC,01.07. 12:45,North Adelaide Rockets,South Adelaide Panthers,83,85,16,21,17,29,,19,16,23,27,
g_3_CjWF5MAI,01.07. 12:15,Norwood Flames,Woodville Warriors,110,82,32,25,26,27,,24,25,20,13,
g_3_AykJ4tQO,01.07. 10:45,Forestville Eagles,West Adelaide Bearcats,78,82,24,25,18,11,,24,19,15,24,
g_3_llueApdm,24.06. 12:45,Eastern Mavericks,Woodville Warriors,95,106,20,23,25,27,,23,28,31,24,
g_3_U3bOF6YP,24.06. 12:45,South Adelaide Panthers,Central Districts Lions,86,83,19,21,21,25,,26,21,27,9,
