matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zwu0feeK,10.08. 10:00,Central Districts Lions W,Forestville Eagles W,79,67,19,17,13,30,,21,20,14,12,
g_3_j9NmeO96,03.08. 10:30,Sturt Sabres W,Forestville Eagles W,54,68,19,13,7,15,,20,8,17,23,
g_3_Q7Jrw0Rr,27.07. 10:45,Forestville Eagles W,North Adelaide Rockets W,71,50,18,23,16,14,,18,14,8,10,
g_3_bZWkyvde,27.07. 10:45,Sturt Sabres W,Central Districts Lions W,59,69,16,18,11,14,,19,18,18,14,
g_3_Akb5X5mf,20.07. 11:00,South Adelaide Panthers W,North Adelaide Rockets W,69,72,18,18,11,22,,10,22,20,20,
g_3_2PfcZRIs,20.07. 09:30AOT,Central Districts Lions W,Forestville Eagles W,86,84,24,18,13,22,9,17,20,17,23,7
g_3_IHQ3plrK,13.07. 11:00,Central Districts Lions W,South Adelaide Panthers W,82,74,26,15,14,27,,15,19,18,22,
g_3_niV7q8cQ,13.07. 11:00,Eastern Mavericks W,Sturt Sabres W,75,79,19,14,21,21,,17,19,19,24,
g_3_l0HZvS5s,13.07. 11:00,Southern Tigers W,North Adelaide Rockets W,75,73,21,15,25,14,,8,21,22,22,
g_3_vRRaoUSD,13.07. 10:45,Forestville Eagles W,West Adelaide Bearcats W,70,55,19,21,18,12,,20,13,11,11,
g_3_xMmHMpjD,11.07. 11:30,Norwood Flames W,Woodville Warriors W,69,65,15,29,16,9,,14,18,14,19,
g_3_AgU7QSjl,07.07. 06:00AOT,Central Districts Lions W,Forestville Eagles W,85,82,16,16,25,14,14,12,25,17,17,11
g_3_j5o5Pn6f,07.07. 06:00,South Adelaide Panthers W,Norwood Flames W,96,63,26,31,17,22,,16,15,15,17,
g_3_Uep9O6L0,07.07. 06:00,Southern Tigers W,Eastern Mavericks W,55,48,16,17,9,13,,7,12,7,22,
g_3_OIqDNQz7,07.07. 06:00,West Adelaide Bearcats W,North Adelaide Rockets W,89,75,25,17,27,20,,14,32,9,20,
g_3_0KvYWUDK,06.07. 11:00,Eastern Mavericks W,South Adelaide Panthers W,54,72,14,18,8,14,,20,19,17,16,
g_3_ENrxWlTQ,06.07. 11:00,North Adelaide Rockets W,Central Districts Lions W,58,77,18,16,8,16,,21,18,19,19,
g_3_W2V3R8yr,06.07. 11:00,Sturt Sabres W,Southern Tigers W,73,55,20,22,19,12,,16,14,15,10,
g_3_IekTXAbE,06.07. 10:45,Forestville Eagles W,Woodville Warriors W,87,55,18,27,19,23,,16,11,15,13,
g_3_v5jPYjq8,05.07. 11:00,Norwood Flames W,West Adelaide Bearcats W,56,60,19,14,10,13,,17,13,19,11,
g_3_jkcsA767,30.06. 04:30,Woodville Warriors W,Sturt Sabres W,58,97,9,16,21,12,,17,39,17,24,
