matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_j5ZK8eeo,19.07. 12:15,Sturt Sabres W,Southern Tigers W,55,41,15,14,13,13,,11,5,8,17,
g_3_jsiYHaYb,19.07. 11:00,South Adelaide Panthers W,Norwood Flames W,75,89,22,14,16,23,,21,22,17,29,
g_3_b7ftGw3B,19.07. 11:00,West Adelaide Bearcats W,Eastern Mavericks W,76,40,21,16,21,18,,10,11,9,10,
g_3_fZmkEHXN,19.07. 11:00,Woodville Warriors W,Central Districts Lions W,87,68,21,11,26,29,,20,17,12,19,
g_3_UR2PJL3n,19.07. 10:45,Forestville Eagles W,North Adelaide Rockets W,69,53,15,20,15,19,,14,14,13,12,
g_3_p4U61vlI,12.07. 11:00,Central Districts Lions W,Norwood Flames W,87,76,18,14,22,33,,23,11,17,25,
g_3_tWNFaIIU,12.07. 11:00,Southern Tigers W,Woodville Warriors W,61,76,22,15,13,11,,16,26,24,10,
g_3_GOxj5Mlg,12.07. 10:45,Eastern Mavericks W,North Adelaide Rockets W,48,82,15,10,17,6,,26,15,22,19,
g_3_CjWb30J5,12.07. 10:45,Forestville Eagles W,South Adelaide Panthers W,83,68,18,21,22,22,,16,17,17,18,
g_3_U7vr7rKt,12.07. 10:30,Sturt Sabres W,West Adelaide Bearcats W,69,65,18,19,16,16,,17,20,19,9,
g_3_d0srxOK6,11.07. 11:00,Norwood Flames W,Eastern Mavericks W,86,70,27,24,17,18,,23,15,16,16,
g_3_QgEXnuZO,07.07. 11:00,Woodville Warriors W,Norwood Flames W,84,68,27,15,23,19,,19,22,15,12,
g_3_llJ8hq5m,06.07. 06:00,Central Districts Lions W,Forestville Eagles W,53,62,11,11,13,18,,21,9,10,22,
g_3_M1HGjNZa,06.07. 06:00,Eastern Mavericks W,South Adelaide Panthers W,71,108,26,7,22,16,,30,37,28,13,
g_3_ITAPl14C,06.07. 06:00,North Adelaide Rockets W,Sturt Sabres W,82,69,14,22,21,25,,11,15,13,30,
g_3_pMNxb5sQ,05.07. 11:00,West Adelaide Bearcats W,Central Districts Lions W,94,61,23,21,29,21,,26,8,15,12,
