matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_6gaKitsK,28.08. 05:30,Albury W,Sutherland Sharks W,85,72,24,18,17,26,,13,26,15,18,
g_3_zk74vAc0,27.08. 07:15,Sutherland Sharks W,Manly W. W,88,81,26,22,16,24,,14,18,29,20,
g_3_WG0DxlSC,27.08. 05:15,Albury W,Norths Bears W,85,78,30,12,17,26,,20,19,18,21,
g_3_CxwgrOss,20.08. 09:00,Norths Bears W,Illawarra Hawks W,88,41,23,23,27,15,,6,7,17,11,
g_3_Quscsrcm,20.08. 07:30,Newcastle Falcons W,Manly W. W,75,78,19,20,14,22,,21,12,26,19,
g_3_A5fXWaJa,14.08. 07:00,Maitland Mustangs W,Illawarra Hawks W,73,98,18,15,17,23,,22,26,27,23,
g_3_8bL3BnhF,14.08. 06:00,Sutherland Sharks W,Newcastle Falcons W,64,61,15,19,20,10,,17,14,14,16,
g_3_nkK7A67L,14.08. 05:00,Central Coast W,Inner West Bulls W,67,71,16,15,18,18,,19,20,19,13,
g_3_QZVbCSx9,13.08. 09:00,Albury W,Hills Hornets W,115,50,27,19,35,34,,18,8,14,10,
g_3_Kxu9k5Ve,13.08. 09:00,Maitland Mustangs W,Manly W. W,55,89,14,10,16,15,,26,24,21,18,
g_3_bTwDlPp2,13.08. 09:00,Newcastle Falcons W,Norths Bears W,80,63,27,14,24,15,,12,8,21,22,
g_3_CWRfD8N2,13.08. 09:00,Sutherland Sharks W,Illawarra Hawks W,84,71,27,14,23,20,,18,17,16,20,
g_3_vRNBjoGk,13.08. 08:00,Central Coast W,Canberra W,74,104,27,12,10,25,,22,18,31,33,
g_3_0zP7iR0q,07.08. 05:00,Illawarra Hawks W,Albury W,67,98,9,23,24,11,,24,22,32,20,
g_3_fyczAZGA,06.08. 09:30,Hills Hornets W,Central Coast W,71,62,14,15,25,17,,9,19,16,18,
g_3_8v1v9gWG,06.08. 09:30,Illawarra Hawks W,Norths Bears W,72,70,16,27,14,15,,20,20,12,18,
g_3_CC7VAF14,06.08. 09:00,Sutherland Sharks W,Albury W,89,80,29,26,17,17,,17,22,19,22,
g_3_YL8RBenb,06.08. 08:00,Canberra W,Manly W. W,59,107,12,12,18,17,,29,29,28,21,
g_3_WKrtVwlC,05.08. 10:00,Canberra W,Maitland Mustangs W,78,66,24,15,18,21,,13,15,17,21,
g_3_4n4NCyXi,31.07. 04:00,Norths Bears W,Newcastle Falcons W,71,77,14,28,7,22,,22,17,22,16,
g_3_2mL9gEWT,30.07. 11:00,Maitland Mustangs W,Sutherland Sharks W,55,98,10,6,20,19,,25,29,23,21,
g_3_OjRzkYvo,30.07. 09:30,Hills Hornets W,Norths Bears W,59,81,14,7,21,17,,19,10,27,25,
g_3_Qe5JDHHo,30.07. 09:00,Albury W,Canberra W,90,79,27,16,17,30,,19,13,19,28,
g_3_8QL5ffHN,30.07. 09:00,Inner West Bulls W,Newcastle Falcons W,49,110,10,7,20,12,,40,17,32,21,
g_3_UZM1ez2H,30.07. 06:00,Manly W. W,Illawarra Hawks W,75,76,15,16,24,20,,17,20,24,15,
g_3_CbSddGnB,24.07. 08:00,Central Coast W,Norths Bears W,63,98,7,16,29,11,,16,16,30,36,
g_3_Y7ThcdX4,24.07. 04:00,Sutherland Sharks W,Inner West Bulls W,105,44,35,23,26,21,,11,11,5,17,
g_3_voUlbxIb,23.07. 10:00,Central Coast W,Newcastle Falcons W,53,84,18,13,10,12,,18,24,18,24,
g_3_rJzt0bmn,23.07. 09:30,Illawarra Hawks W,Canberra W,68,97,11,24,18,15,,37,25,18,17,
g_3_QsQpaI2h,23.07. 09:00,Albury W,Maitland Mustangs W,101,43,28,23,33,17,,8,9,11,15,
g_3_4Syx1vYu,23.07. 09:00,Norths Bears W,Inner West Bulls W,92,50,20,26,30,16,,9,14,14,13,
g_3_E30Wue2U,23.07. 06:00,Manly W. W,Sutherland Sharks W,76,94,23,18,22,13,,19,38,13,24,
g_3_hlCNsHXH,17.07. 05:00,Canberra W,Newcastle Falcons W,54,88,7,17,18,12,,24,14,25,25,
g_3_zD1StymO,17.07. 05:00,Maitland Mustangs W,Norths Bears W,60,91,13,19,14,14,,20,22,20,29,
g_3_vo8JrcIB,16.07. 09:30,Hills Hornets W,Maitland Mustangs W,79,72,16,21,25,17,,13,19,18,22,
g_3_ldF6oaYh,16.07. 09:00,Albury W,Newcastle Falcons W,115,88,27,38,27,23,,19,18,16,35,
g_3_6X9BpJma,16.07. 09:00,Inner West Bulls W,Manly W. W,53,88,13,10,14,16,,28,27,19,14,
g_3_pO8Fqw35,16.07. 09:00,Norths Bears W,Sutherland Sharks W,84,72,24,17,27,16,,22,11,19,20,
g_3_A5G2nuJn,16.07. 08:00,Central Coast W,Illawarra Hawks W,92,80,30,24,17,21,,24,16,25,15,
g_3_GrHbmL3t,10.07. 07:00,Canberra W,Inner West Bulls W,101,54,28,27,20,26,,11,16,6,21,
g_3_tjQWi1eP,10.07. 06:00,Norths Bears W,Albury W,78,87,20,21,19,18,,21,21,26,19,
g_3_hUqxWJY5,09.07. 09:00,Manly W. W,Albury W,54,97,10,15,14,15,,32,18,21,26,
g_3_0fmpUc3I,09.07. 09:00,Newcastle Falcons W,Hills Hornets W,64,46,23,12,11,18,,8,13,7,18,
g_3_vonlTHIO,09.07. 09:00,Sutherland Sharks W,Central Coast W,80,59,17,22,26,15,,9,12,20,18,
g_3_d2jTXu4g,03.07. 03:30,Hills Hornets W,Inner West Bulls W,84,65,22,16,24,22,,13,15,19,18,
g_3_2uiPYLlm,02.07. 09:30,Hills Hornets W,Canberra W,55,58,11,17,12,15,,16,13,13,16,
g_3_tGoFGvZI,02.07. 09:00,Inner West Bulls W,Albury W,65,105,17,18,15,15,,31,19,30,25,
g_3_fJZduOBJ,02.07. 09:00,Maitland Mustangs W,Central Coast W,65,80,19,11,16,19,,19,20,26,15,
g_3_Y9Y0vrRP,02.07. 09:00,Newcastle Falcons W,Illawarra Hawks W,101,57,19,30,19,33,,12,14,18,13,
g_3_OlhLZ1Zt,02.07. 09:00,Norths Bears W,Manly W. W,50,57,12,6,15,17,,10,9,22,16,
g_3_plh6I046,25.06. 09:30,Illawarra Hawks W,Hills Hornets W,85,62,26,23,12,24,,25,9,18,10,
g_3_SCsBHKJC,25.06. 09:00,Albury W,Central Coast W,92,87,24,19,28,21,,24,13,29,21,
g_3_bXkfL2Km,25.06. 09:00,Maitland Mustangs W,Inner West Bulls W,84,69,23,19,19,23,,12,14,9,34,
g_3_xOlbKMZg,25.06. 09:00,Newcastle Falcons W,Manly W. W,75,73,19,17,26,13,,23,14,15,21,
g_3_6cg2Jtk0,25.06. 09:00,Sutherland Sharks W,Canberra W,88,71,26,20,20,22,,16,14,24,17,
g_3_G80kMr5s,18.06. 11:00,Inner West Bulls W,Illawarra Hawks W,73,87,12,26,14,21,,17,22,29,19,
g_3_6aYLwBzF,18.06. 09:30,Hills Hornets W,Sutherland Sharks W,54,99,15,10,12,17,,26,27,26,20,
g_3_YozEuX52,18.06. 09:00,Canberra W,Norths Bears W,56,75,16,4,18,18,,17,20,17,21,
g_3_CxZHviL8,18.06. 09:00,Maitland Mustangs W,Newcastle Falcons W,57,80,18,16,11,12,,25,11,18,26,
g_3_dUjVGmT1,18.06. 06:00,Manly W. W,Central Coast W,78,74,22,11,27,18,,16,9,20,29,
g_3_OGhNI9bk,04.06. 09:30,Illawarra Hawks W,Central Coast W,74,65,15,20,22,17,,16,10,14,25,
g_3_IwhRHTDe,04.06. 09:00,Albury W,Sutherland Sharks W,93,82,28,22,11,32,,21,23,23,15,
g_3_4WBjOVzS,04.06. 09:00,Inner West Bulls W,Canberra W,64,104,20,7,16,21,,25,30,23,26,
g_3_ADlJJkqq,04.06. 09:00,Norths Bears W,Hills Hornets W,82,59,17,11,29,25,,19,7,15,18,
g_3_QuDnPBLL,04.06. 06:00,Manly W. W,Maitland Mustangs W,98,57,24,31,18,25,,13,15,9,20,
g_3_IFDrQi6F,29.05. 07:00,Central Coast W,Hills Hornets W,66,70,6,16,30,14,,17,17,19,17,
g_3_vPEvRXj9,29.05. 05:00,Maitland Mustangs W,Albury W,77,112,17,19,23,18,,30,27,27,28,
g_3_rcLVSgMd,29.05. 04:00,Manly W. W,Newcastle Falcons W,69,51,19,15,20,15,,10,13,13,15,
g_3_d0PZRDy3,29.05. 04:00,Sutherland Sharks W,Norths Bears W,55,97,3,17,15,20,,21,19,28,29,
g_3_UgXm4Aqd,28.05. 11:00,Inner West Bulls W,Central Coast W,59,100,12,18,10,19,,23,21,31,25,
g_3_WIiDAC6S,28.05. 09:00,Newcastle Falcons W,Albury W,50,85,6,15,18,11,,16,24,17,28,
g_3_YRwu6WEq,28.05. 09:00,Norths Bears W,Illawarra Hawks W,84,60,20,18,21,25,,14,21,4,21,
g_3_j3Yq5jUk,28.05. 09:00,Sutherland Sharks W,Hills Hornets W,66,62,18,17,19,12,,11,12,20,19,
g_3_xdh9BhiM,28.05. 06:00,Manly W. W,Canberra W,71,68,17,15,17,22,,12,18,20,18,
g_3_vBZ5CYyG,21.05. 11:00,Canberra W,Central Coast W,81,67,20,16,19,26,,18,12,24,13,
g_3_IeocEf73,21.05. 09:30,Illawarra Hawks W,Newcastle Falcons W,87,78,24,23,23,17,,18,24,18,18,
g_3_dnp1DEM9,21.05. 09:00,Albury W,Norths Bears W,85,71,28,13,22,22,,20,16,19,16,
g_3_lMtgFzhc,21.05. 09:00,Sutherland Sharks W,Maitland Mustangs W,82,55,24,22,22,14,,14,12,12,17,
g_3_AVskGGxi,21.05. 06:00,Manly W. W,Hills Hornets W,92,40,26,18,24,24,,15,8,14,3,
g_3_6cH87OYj,15.05. 05:00,Central Coast W,Sutherland Sharks W,78,89,10,26,26,16,,19,21,22,27,
g_3_hfD484Jp,14.05. 09:30,Illawarra Hawks W,Manly W. W,82,70,17,26,22,17,,24,9,23,14,
g_3_dORYDQeN,14.05. 09:00,Inner West Bulls W,Norths Bears W,52,84,10,9,19,14,,14,15,31,24,
g_3_zFQxDpBT,14.05. 09:00,Newcastle Falcons W,Sutherland Sharks W,65,55,16,20,14,15,,12,19,15,9,
g_3_xMBXFnRA,14.05. 08:00,Canberra W,Albury W,81,76,12,17,39,13,,18,15,22,21,
g_3_GCAyF6tH,14.05. 08:00,Central Coast W,Maitland Mustangs W,71,47,13,17,19,22,,13,16,13,5,
g_3_Ue8PH8db,07.05. 10:00,Albury W,Inner West Bulls W,102,50,25,18,33,26,,10,15,13,12,
g_3_raCTGSB4,07.05. 10:00,Canberra W,Hills Hornets W,86,95,23,23,17,23,,13,26,28,28,
g_3_nXIKIlsh,07.05. 09:30,Illawarra Hawks W,Maitland Mustangs W,79,64,16,26,22,15,,13,15,19,17,
g_3_8tKGJURo,07.05. 09:00,Newcastle Falcons W,Central Coast W,61,51,19,15,12,15,,14,15,13,9,
g_3_KQQYfoko,07.05. 06:00,Manly W. W,Norths Bears W,65,77,13,17,20,15,,24,17,17,19,
g_3_IHv7aRtU,01.05. 05:00,Newcastle Falcons W,Canberra W,60,59,14,21,13,12,,18,11,11,19,
g_3_zgk207RN,01.05. 03:00,Hills Hornets W,Illawarra Hawks W,82,106,21,14,23,24,,25,28,25,28,
g_3_OIob1mCH,30.04. 10:00,Albury W,Manly W. W,97,80,21,22,31,23,,17,19,23,21,
g_3_YTho4kSb,30.04. 09:00,Inner West Bulls W,Sutherland Sharks W,45,79,7,11,12,15,,15,21,21,22,
g_3_j5mj39s5,30.04. 09:00,Maitland Mustangs W,Canberra W,70,69,12,21,17,20,,18,13,21,17,
g_3_Uenf2TdB,30.04. 09:00,Norths Bears W,Central Coast W,70,51,15,14,20,21,,16,8,17,10,
g_3_0Gfw6Bcn,24.04. 04:00,Hills Hornets W,Albury W,53,90,13,11,12,17,,23,27,24,16,
g_3_fwfs5VCh,24.04. 04:00,Manly W. W,Inner West Bulls W,78,35,17,19,18,24,,8,11,5,11,
g_3_nDjZ6irt,23.04. 10:00,Central Coast W,Albury W,61,78,10,13,20,18,,20,21,13,24,
g_3_8rkNazyD,23.04. 09:30,Hills Hornets W,Newcastle Falcons W,58,54,21,9,11,17,,13,12,18,11,
g_3_nZmRbfjJ,23.04. 09:30,Illawarra Hawks W,Inner West Bulls W,84,62,16,28,19,21,,12,19,15,16,
g_3_zHyG1d60,23.04. 09:00,Norths Bears W,Maitland Mustangs W,98,63,27,27,22,22,,11,9,16,27,
g_3_E7zK0GL6,23.04. 09:00,Sutherland Sharks W,Manly W. W,79,69,20,21,15,23,,17,13,18,21,
g_3_hhnB2xif,10.04. 06:00,Inner West Bulls W,Maitland Mustangs W,71,76,19,12,17,23,,19,11,27,19,
g_3_vkr73Iyl,10.04. 05:00,Canberra W,Illawarra Hawks W,65,58,17,16,18,14,,18,16,12,12,
g_3_pSr34bMs,10.04. 03:00,Hills Hornets W,Manly W. W,56,84,16,9,15,16,,17,22,23,22,
g_3_YmFpnH6D,09.04. 09:00,Albury W,Illawarra Hawks W,71,82,27,6,17,21,,14,30,17,21,
g_3_ni3SA0qE,09.04. 09:00,Canberra W,Sutherland Sharks W,66,76,14,19,16,17,,25,20,12,19,
g_3_Qs2W9KbK,09.04. 09:00,Maitland Mustangs W,Hills Hornets W,55,74,11,20,9,15,,17,14,14,29,
g_3_rJdy9vEQ,09.04. 09:00,Newcastle Falcons W,Inner West Bulls W,61,45,12,15,17,17,,9,15,16,5,
g_3_MDBtmci7,03.04. 04:00,Norths Bears W,Canberra W,65,62,15,12,18,20,,16,11,15,20,
g_3_vkMylwx1,02.04. 08:30,Illawarra Hawks W,Sutherland Sharks W,49,72,10,10,14,15,,26,24,14,8,
g_3_WOITka7l,02.04. 08:00,Inner West Bulls W,Hills Hornets W,35,83,3,5,9,18,,18,19,19,27,
g_3_0bNXlJMf,02.04. 08:00,Newcastle Falcons W,Maitland Mustangs W,69,39,16,18,19,16,,12,9,9,9,
g_3_hYJPjuhr,02.04. 07:00,Central Coast W,Manly W. W,63,83,22,12,15,14,,16,18,21,28,
