matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_O4lOADd4,20.07. 05:00,BA CoE W,Maitland Mustangs W,48,49,12,5,14,17,,12,24,9,4,
g_3_I3sX8iRG,20.07. 05:00,Newcastle Falcons W,Hills Hornets W,88,68,26,20,25,17,,15,16,20,17,
g_3_GvoGCZRi,20.07. 04:00,Central Coast W,Bankstown Bruins W,70,86,22,13,13,22,,20,16,24,26,
g_3_jHuu7VeT,20.07. 04:00,Sydney Comets W,Albury W,83,92,27,20,20,16,,34,15,19,24,
g_3_40HcfhCN,19.07. 09:30,Inner West Bulls W,Illawarra Hawks W,98,88,14,35,28,21,,17,23,23,25,
g_3_zq8TlWZp,19.07. 09:30,Penrith P. W,Norths Bears W,77,84,16,17,26,18,,26,22,26,10,
g_3_U7ft0drn,19.07. 09:00,Hornsby S. W,Albury W,73,90,24,12,16,21,,23,21,24,22,
g_3_QZmkbzDb,19.07. 09:00,Newcastle Falcons W,Central Coast W,81,52,29,16,14,22,,12,9,14,17,
g_3_bmncdEsB,19.07. 08:30,Canberra W,Maitland Mustangs W,67,74,15,16,14,22,,19,13,24,18,
g_3_vqFWugcU,19.07. 07:00,Manly W. W,BA CoE W,75,71,19,22,21,13,,18,17,15,21,
g_3_G4U6ocTh,18.07. 10:00,Bankstown Bruins W,Manly W. W,78,96,15,19,20,24,,24,21,18,33,
g_3_CWNFqyb5,18.07. 10:00,Norths Bears W,Sydney Comets W,89,55,26,18,24,21,,12,21,4,18,
g_3_ITQNsFSH,18.07. 10:00AOT,Sutherland Sharks W,Inner West Bulls W,110,102,27,16,25,26,16,33,14,23,24,8
g_3_riWbmJbt,13.07. 05:00,Illawarra Hawks W,Hornsby S. W,94,67,20,30,22,22,,18,18,11,20,
g_3_4Q0lTFDO,13.07. 03:00,Hills Hornets W,Canberra W,91,74,24,24,22,21,,18,18,10,28,
g_3_EafkX68r,12.07. 09:30,Albury W,Penrith P. W,104,63,24,33,18,29,,20,15,17,11,
g_3_I92tVyqC,12.07. 09:30,Sydney Comets W,Hills Hornets W,79,77,19,31,20,9,,19,18,19,21,
g_3_fThiiSaE,12.07. 09:00,Bankstown Bruins W,Canberra W,78,63,9,25,19,25,,22,17,13,11,
