matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0pMqhJhU,20.07. 07:15,Newcastle Falcons,Hills Hornets,58,90,25,19,2,12,,18,28,24,20,
g_3_hKIyfuOH,20.07. 07:00,BA CoE,Maitland M.,92,62,20,25,30,17,,13,20,10,19,
g_3_OvRKcNOh,20.07. 06:00,Central Coast Crusaders,Bankstown Bruins,83,102,23,13,27,20,,31,24,27,20,
g_3_W4USe1g5,20.07. 06:00,Sydney Comets,Albury-Wodonga Bandits,75,80,13,21,17,24,,20,19,23,18,
g_3_Sbp9hSnD,19.07. 11:30,Inner West Bulls,Illawarra Hawks 2,80,101,28,19,17,16,,16,40,19,26,
g_3_IReKaqft,19.07. 11:30,Penrith P.,Norths Bears,72,87,16,24,14,18,,20,21,24,22,
g_3_O6mhdAml,19.07. 11:15,Newcastle Falcons,Central Coast Crusaders,111,80,24,40,24,23,,31,17,10,22,
g_3_vZBL1WPQ,19.07. 11:00,Hornsby S.,Albury-Wodonga Bandits,91,87,20,27,19,25,,28,24,19,16,
g_3_WWj0flI0,19.07. 10:30,Canberra,Maitland M.,76,71,19,13,27,17,,12,25,17,17,
g_3_Yy9D3heE,19.07. 09:00AOT,Manly W.,BA CoE,85,77,16,15,19,22,13,27,13,16,16,5
g_3_nLnCaOxq,18.07. 12:00,Bankstown Bruins,Manly W.,96,78,31,15,23,27,,27,29,11,11,
g_3_rmtLc27e,18.07. 12:00,Norths Bears,Sydney Comets,83,64,20,20,20,23,,24,14,16,10,
g_3_G0vTetx8,18.07. 12:00,Sutherland Sharks,Inner West Bulls,82,85,19,22,17,24,,19,24,21,21,
g_3_xn1t5pFL,13.07. 07:00,Illawarra Hawks 2,Hornsby S.,129,110,32,35,36,26,,31,22,27,30,
g_3_GWCX66p9,13.07. 05:00,Hills Hornets,Canberra,69,80,21,16,15,17,,17,20,18,25,
g_3_KWmdYovp,12.07. 11:30,Albury-Wodonga Bandits,Penrith P.,86,82,28,26,15,17,,24,21,24,13,
g_3_lQKoq3h2,12.07. 11:30,Sydney Comets,Hills Hornets,77,87,14,22,22,19,,22,35,16,14,
g_3_GIXbh7VF,12.07. 11:00,Bankstown Bruins,Canberra,104,89,24,28,25,27,,18,18,23,30,
g_3_dSu7jo0S,12.07. 11:00,Illawarra Hawks 2,Sutherland Sharks,112,120,23,25,33,31,,22,46,20,32,
g_3_hbRxoPNk,12.07. 11:00,Maitland M.,Newcastle Falcons,95,116,22,22,26,25,,35,27,25,29,
g_3_8hUjfT03,12.07. 10:00,Norths Bears,Central Coast Crusaders,104,74,28,30,25,21,,23,22,15,14,
g_3_Sdi4WP8d,12.07. 09:00,Manly W.,Inner West Bulls,105,74,26,28,28,23,,12,16,26,20,
g_3_xCpXw8GM,11.07. 12:00,Inner West Bulls,Hornsby S.,84,74,15,34,16,19,,15,16,19,24,
g_3_4bnPuUoA,06.07. 08:00,Norths Bears,Illawarra Hawks 2,101,103,28,21,25,27,,30,24,21,28,
g_3_8WhGsjHc,06.07. 07:00,Sutherland Sharks,Albury-Wodonga Bandits,97,90,22,32,18,25,,30,21,24,15,
g_3_tQ0UJnPj,06.07. 06:00,Hornsby S.,Manly W.,69,96,27,16,10,16,,29,24,20,23,
