matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_xAX11pEk,03.08. 11:00,Mackay Meteors,Brisbane Capitals,102,80,22,22,31,27,,18,18,22,22,
g_3_IPjV66jS,02.08. 11:30,Mackay Meteors,Brisbane Capitals,91,79,30,19,19,23,,19,28,15,17,
g_3_roLFZQKj,27.07. 11:30,Darwin Salties,Brisbane Capitals,76,103,23,26,12,15,,27,29,22,25,
g_3_bg32cUCc,27.07. 11:30,Mackay Meteors,Southern District,100,90,23,29,20,28,,23,24,22,21,
g_3_6TsuBCyG,20.07. 11:30,Logan Thunder,Southern District,69,93,19,14,27,9,,32,14,21,26,
g_3_CUlWCY63,20.07. 11:00,Brisbane Capitals,Rockhampton Rockets,98,81,27,27,24,20,,21,19,17,24,
g_3_ELHEIML2,13.07. 12:30,Darwin Salties,South West Metro Pirates,113,77,28,26,32,27,,20,15,17,25,
g_3_hCGIHty9,13.07. 12:30,Mackay Meteors,Southern District,112,85,32,24,33,23,,32,17,20,16,
g_3_ETBwfwq2,13.07. 12:00,Logan Thunder,Sunshine Coast Phoenix,79,71,22,19,20,18,,20,14,12,25,
g_3_zwDZfJTe,13.07. 11:30,Townsville Heat,Ipswich Force,113,85,27,21,30,35,,23,18,29,15,
g_3_tGDVeaEk,13.07. 11:00,Gold Coast Rollers,North Gold Coast Seahawks,99,83,29,18,29,23,,16,18,23,26,
g_3_nFecE7UG,12.07. 12:30,Cairns Marlins,Ipswich Force,95,87,30,34,16,15,,21,15,14,37,
g_3_SC9Rduaq,12.07. 12:30,Rockhampton Rockets,Southern District,105,97,21,25,27,32,,27,22,26,22,
g_3_8OdgFmFA,12.07. 12:00,Brisbane Capitals,Northside Wizards,91,72,25,24,24,18,,22,19,14,17,
g_3_vkhkGTa4,06.07. 12:30,Darwin Salties,Townsville Heat,100,84,25,22,32,21,,18,23,15,28,
g_3_0bgoH9pb,06.07. 12:00,Logan Thunder,South West Metro Pirates,95,93,31,26,13,25,,27,23,25,18,
g_3_6ocefnwo,06.07. 11:30,Rockhampton Rockets,Cairns Marlins,94,91,30,19,20,25,,31,21,13,26,
g_3_KlowJVFo,06.07. 11:30,Sunshine Coast Phoenix,Northside Wizards,94,86,26,29,8,31,,28,16,24,18,
g_3_IZ3tIkVi,06.07. 11:00,Brisbane Capitals,Gold Coast Rollers,105,98,29,20,25,31,,23,33,19,23,
g_3_4xBTbSUT,06.07. 11:00,North Gold Coast Seahawks,Ipswich Force,76,80,30,15,19,12,,14,27,17,22,
g_3_n1GOa8FN,05.07. 12:30,Mackay Meteors,Cairns Marlins,129,75,29,29,46,25,,21,24,6,24,
g_3_8AHK0l0H,05.07. 12:30,Southern District,Brisbane Capitals,83,78,26,19,17,21,,19,13,25,21,
g_3_EmIG1UpB,05.07. 12:00,South West Metro Pirates,Sunshine Coast Phoenix,100,81,27,28,23,22,,15,18,19,29,
g_3_0pEC2AV4,30.06. 07:00,Logan Thunder,Rockhampton Rockets,90,88,22,31,13,24,,24,17,23,24,
g_3_ILO73jGb,29.06. 13:00,Darwin Salties,Mackay Meteors,101,106,23,30,24,24,,35,23,26,22,
g_3_W4Qa5Con,29.06. 11:30,Sunshine Coast Phoenix,Gold Coast Rollers,77,94,20,24,19,14,,23,33,16,22,
g_3_vVP34W0h,29.06. 11:00,Brisbane Capitals,Townsville Heat,106,79,22,26,32,26,,10,24,18,27,
g_3_EmdonkoO,29.06. 11:00,Ipswich Force,Logan Thunder,90,71,23,23,24,20,,26,11,23,11,
g_3_Sj0ko90U,29.06. 11:00,North Gold Coast Seahawks,Rockhampton Rockets,89,118,19,36,14,20,,29,26,29,34,
g_3_hERe6hWu,29.06. 11:00,Northside Wizards,South West Metro Pirates,117,103,22,33,30,32,,20,28,33,22,
g_3_tzbwlBGB,28.06. 12:30,Cairns Marlins,Mackay Meteors,87,85,16,20,24,27,,25,25,20,15,
g_3_KQdsmVVH,28.06. 12:30,Southern District,Townsville Heat,99,89,18,26,29,26,,26,22,17,24,
g_3_Ob3Yli15,28.06. 12:00,Gold Coast Rollers,Rockhampton Rockets,92,90,23,19,18,32,,22,17,26,25,
g_3_p84UkXoa,22.06. 12:30,Darwin Salties,North Gold Coast Seahawks,121,88,31,27,28,35,,18,10,23,37,
g_3_dnCHhZ1t,22.06. 11:30,Rockhampton Rockets,Mackay Meteors,94,109,29,18,25,22,,32,24,29,24,
