matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_CbAdzz4l,04.08. 06:00,Northside Wizards W,Rockhampton W,59,80,16,20,13,10,,12,24,24,20,
g_3_lpaEAli3,03.08. 10:00,Northside Wizards W,Rockhampton W,76,81,21,20,23,12,,28,20,20,13,
g_3_dxcTnoad,02.08. 10:30,Northside Wizards W,Rockhampton W,80,71,20,19,12,29,,21,19,21,10,
g_3_x4bpYDqn,27.07. 11:00,Rockhampton W,Townsville Flames W,67,55,7,22,18,20,,13,11,15,16,
g_3_pU1hWiEb,27.07. 10:00,Northside Wizards W,North Gold Coast Seahawks W,86,65,16,21,23,26,,17,23,14,11,
g_3_pOdpkVEd,20.07. 09:30,Southern District Spartans W,North Gold Coast Seahawks W,83,91,16,15,20,32,,20,23,22,26,
g_3_O88yiipp,19.07. 11:00,Townsville Flames W,South West Metro Pirates W,97,73,28,19,30,20,,21,9,18,25,
g_3_0zJj1nsJ,13.07. 10:30,Darwin Salties W,South West Metro Pirates W,52,95,24,13,11,4,,25,23,26,21,
g_3_Ew7YPVJJ,13.07. 10:30,Mackay Meteorettes W,Southern District Spartans W,74,99,23,15,14,22,,31,25,20,23,
g_3_MqKn2SRC,13.07. 10:00,Logan Thunder W,Sunshine Coast Phoenix W,87,68,16,32,18,21,,28,16,12,12,
g_3_48Ps38C6,13.07. 09:30,Townsville Flames W,Ipswich Force W,86,60,26,26,20,14,,5,17,15,23,
g_3_QHQw4lc0,13.07. 09:00,Gold Coast Rollers W,North Gold Coast Seahawks W,83,91,22,27,17,17,,14,19,27,31,
g_3_IiNV5ASm,12.07. 10:30,Cairns W,Ipswich Force W,93,98,25,14,31,23,,25,36,20,17,
g_3_WfRZ4Usf,12.07. 10:30,Rockhampton W,Southern District Spartans W,84,75,27,16,18,23,,23,15,21,16,
g_3_zTXQ6jDs,12.07. 10:00,Brisbane Capitals W,Northside Wizards W,75,97,17,19,19,20,,29,30,22,16,
g_3_YJoaBW4Q,06.07. 10:30,Darwin Salties W,Townsville Flames W,52,68,12,10,13,17,,18,12,22,16,
g_3_vqXeCCkK,06.07. 10:00,Logan Thunder W,South West Metro Pirates W,62,57,18,22,11,11,,16,16,11,14,
g_3_ppj5kkr7,06.07. 09:30,Rockhampton W,Cairns W,74,59,26,17,12,19,,17,10,23,9,
g_3_bmf9l9cD,06.07. 09:30,Sunshine Coast Phoenix W,Northside Wizards W,46,95,20,14,8,4,,25,21,26,23,
g_3_0hYiDhzE,06.07. 09:00,Brisbane Capitals W,Gold Coast Rollers W,90,74,29,20,17,24,,14,16,28,16,
g_3_jNj1jVS0,06.07. 09:00,North Gold Coast Seahawks W,Ipswich Force W,86,73,17,23,19,27,,25,22,8,18,
g_3_CWiciBDf,05.07. 10:30,Mackay Meteorettes W,Cairns W,85,96,15,29,24,17,,24,37,19,16,
g_3_fechhibl,05.07. 10:30,Southern District Spartans W,Brisbane Capitals W,88,73,17,19,27,25,,33,15,16,9,
g_3_G4blgXrr,05.07. 10:00,South West Metro Pirates W,Sunshine Coast Phoenix W,82,62,19,19,20,24,,13,23,20,6,
g_3_bPBMcDzR,30.06. 05:00,Logan Thunder W,Rockhampton W,71,89,21,15,11,24,,17,30,26,16,
g_3_nk8IbgLK,29.06. 11:00,Darwin Salties W,Mackay Meteorettes W,75,61,25,16,13,21,,17,19,15,10,
g_3_QZJ90Fj8,29.06. 09:30,Sunshine Coast Phoenix W,Gold Coast Rollers W,75,67,21,15,16,23,,22,12,14,19,
g_3_4QIDaZ5E,29.06. 09:00,Brisbane Capitals W,Townsville Flames W,78,95,19,31,19,9,,19,24,35,17,
g_3_G4xJwhqe,29.06. 09:00,Ipswich Force W,Logan Thunder W,79,74,21,18,14,26,,21,15,20,18,
g_3_bTRNxCb1,29.06. 09:00,North Gold Coast Seahawks W,Rockhampton W,73,84,19,25,13,16,,25,15,26,18,
g_3_xKQRyWD7,29.06. 09:00,Northside Wizards W,South West Metro Pirates W,68,78,13,23,19,13,,21,18,17,22,
g_3_8vZAuEEr,28.06. 10:30,Cairns W,Mackay Meteorettes W,88,92,23,15,26,24,,22,28,17,25,
g_3_21YEvYTl,28.06. 10:30,Southern District Spartans W,Townsville Flames W,83,74,30,18,13,22,,18,18,20,18,
g_3_6Vnqpf6R,28.06. 10:00,Gold Coast Rollers W,Rockhampton W,65,89,17,17,22,9,,17,25,27,20,
g_3_QJVooziL,22.06. 10:30,Darwin Salties W,North Gold Coast Seahawks W,81,83,23,14,25,19,,20,23,19,21,
g_3_v3TZmx72,22.06. 09:30,Rockhampton W,Mackay Meteorettes W,95,65,25,31,22,17,,21,9,22,13,
g_3_h6XwmdM8,22.06. 09:30,Sunshine Coast Phoenix W,Ipswich Force W,74,79,24,19,10,21,,19,23,16,21,
g_3_nTWsnGyF,22.06. 09:30,Townsville Flames W,South West Metro Pirates W,108,64,29,27,29,23,,14,20,12,18,
g_3_b7jmQYEe,22.06. 09:00,Brisbane Capitals W,Logan Thunder W,71,83,19,12,21,19,,26,16,20,21,
g_3_xbkiPhU1,22.06. 09:00,Gold Coast Rollers W,Southern District Spartans W,69,82,15,23,14,17,,27,24,14,17,
g_3_UXoqREak,21.06. 10:30,Cairns W,South West Metro Pirates W,67,71,17,13,13,24,,19,14,18,20,
g_3_jsmuSfpq,21.06. 10:00,Ipswich Force W,Northside Wizards W,74,92,9,21,29,15,,26,22,22,22,
g_3_AqZAqNFG,16.06. 05:00,Rockhampton W,Sunshine Coast Phoenix W,84,39,25,21,24,14,,7,13,9,10,
g_3_CbG7p30A,16.06. 03:00,Brisbane Capitals W,Darwin Salties W,91,80,26,20,23,22,,23,13,25,19,
g_3_voIanPVc,15.06. 10:30,Cairns W,Gold Coast Rollers W,96,79,24,29,23,20,,23,22,21,13,
g_3_IyH3oqo4,15.06. 10:30,Mackay Meteorettes W,Sunshine Coast Phoenix W,88,70,27,23,18,20,,19,18,22,11,
g_3_M9Nfm5Gi,15.06. 10:00,Southern District Spartans W,Darwin Salties W,97,75,25,21,18,33,,23,16,24,12,
g_3_rJOjlo1o,15.06. 09:30,South West Metro Pirates W,Logan Thunder W,75,66,17,16,19,23,,23,12,13,18,
g_3_UFz9P1Op,15.06. 09:00,Northside Wizards W,North Gold Coast Seahawks W,89,74,22,20,32,15,,17,19,22,16,
g_3_AVgxVN0N,14.06. 10:00,North Gold Coast Seahawks W,Southern District Spartans W,71,81,18,20,21,12,,24,17,13,27,
g_3_hfqsUsGT,14.06. 10:00,Townsville Flames W,Gold Coast Rollers W,77,60,23,19,19,16,,22,18,5,15,
g_3_OEeUWqWA,09.06. 08:00,Cairns W,Rockhampton W,86,96,27,17,20,22,,30,19,31,16,
g_3_WveYV3oH,09.06. 05:00,Logan Thunder W,Mackay Meteorettes W,81,71,23,10,29,19,,17,17,14,23,
g_3_Eun5WFKU,08.06. 10:00,Townsville Flames W,Rockhampton W,89,74,28,26,11,24,,13,22,13,26,
g_3_pOdQXPG4,08.06. 09:30,South West Metro Pirates W,Mackay Meteorettes W,83,75,18,26,26,13,,14,19,30,12,
g_3_fZ3DzSWo,08.06. 09:00,Brisbane Capitals W,Southern District Spartans W,66,85,12,22,17,15,,20,20,12,33,
g_3_ld3HZonh,08.06. 09:00,North Gold Coast Seahawks W,Gold Coast Rollers W,76,59,26,15,26,9,,11,18,22,8,
g_3_2a7LY51b,08.06. 09:00,Northside Wizards W,Darwin Salties W,122,91,38,28,29,27,,27,30,24,10,
g_3_Gr59y8Hu,07.06. 10:30,Sunshine Coast Phoenix W,Darwin Salties W,68,90,27,16,16,9,,33,12,22,23,
g_3_tSmcYyjI,07.06. 10:00AOT,Gold Coast Rollers W,Logan Thunder W,100,95,19,22,25,21,13,21,24,15,27,8
