matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_C4VETnLE,14.08. 12:00,Albury-Wodonga Bandits,Bendigo Braves,74,79,19,20,26,9,,21,18,19,21,
g_3_tIbLWCXN,01.08. 06:30,Nunawading,Geelong,85,83,15,24,25,21,,22,22,16,23,
g_3_Cx74zeYb,01.08. 06:30,Sandringham Sabres,Frankston,73,91,17,15,24,17,,22,23,21,25,
g_3_McwO7jt5,01.08. 06:00,Bendigo Braves,Ballarat,84,71,22,29,14,19,,14,18,19,20,
g_3_OILiVKDG,01.08. 06:00,Waverley,Ringwood,89,82,28,25,18,18,,34,11,27,10,
g_3_pj5CYY2B,31.07. 12:00,Ballarat,Eltham,86,76,30,22,18,16,,11,28,20,17,
g_3_0tSPOcZn,31.07. 12:00,Kilsyth,Dandenong,83,71,25,20,15,23,,13,30,17,11,
g_3_l0TvYMTc,31.07. 12:00,Ringwood,Diamond Valley,88,97,20,23,21,24,,23,26,25,23,
g_3_z38LCxO1,31.07. 11:30,Knox,Melbourne Tigers,124,75,32,26,37,29,,16,11,19,29,
g_3_xhz3rkVq,31.07. 11:00,Geelong,Bendigo Braves,90,80,17,24,27,22,,23,22,15,20,
g_3_KjhT4lQN,11.07. 06:30,Frankston,Kilsyth,74,82,18,26,13,17,,17,22,18,25,
g_3_hxM9IMCD,11.07. 06:30,Knox,Hobart Chargers,87,92,22,26,18,21,,33,17,18,24,
g_3_xQwEZKnC,11.07. 06:30AOT,Melbourne Tigers,NW Tasmania,96,100,24,16,28,18,10,15,28,14,29,14
g_3_tMlXmB7M,10.07. 12:30,Mt Gambier,Sandringham Sabres,109,91,19,29,30,31,,19,21,32,19,
g_3_KrrRMy4a,10.07. 12:00,Albury-Wodonga Bandits,Hobart Chargers,90,107,17,23,26,24,,22,34,26,25,
g_3_bwgChZhi,10.07. 12:00,Ballarat,Knox,83,77,32,19,17,15,,20,22,15,20,
g_3_n1bwDoIp,10.07. 12:00,Bendigo Braves,Nunawading,78,69,21,24,18,15,,16,18,18,17,
g_3_SjSrXtq4,10.07. 12:00,Dandenong,NW Tasmania,71,77,20,11,22,18,,22,19,20,16,
g_3_63dKjDN3,10.07. 12:00,Diamond Valley,Frankston,86,111,22,16,22,26,,34,31,23,23,
g_3_vHxOq5AJ,10.07. 12:00,Kilsyth,Ringwood,88,76,24,16,25,23,,17,20,15,24,
g_3_6wDTHkM2,09.07. 12:30,Eltham,Dandenong,70,81,28,15,11,16,,22,20,19,20,
g_3_fs0hs6kE,09.07. 12:00,Albury-Wodonga Bandits,Diamond Valley,83,96,24,22,18,19,,28,26,17,25,
g_3_jZKhBp4f,09.07. 12:00,Geelong,Mt Gambier,90,96,18,24,26,22,,26,22,25,23,
g_3_IuLeUvTM,09.07. 12:00,Nunawading,Hobart Chargers,74,96,25,18,11,20,,25,26,24,21,
g_3_t0gP5UAH,08.07. 12:30,Sandringham Sabres,Waverley,79,104,19,26,20,14,,27,27,28,22,
g_3_04QkMkeb,04.07. 06:30,Nunawading,Mt Gambier,106,97,36,29,18,23,,31,24,21,21,
g_3_zJ4pE7LR,04.07. 06:30,Sandringham Sabres,Melbourne Tigers,83,97,28,21,18,16,,21,30,19,27,
g_3_Io0iWotK,04.07. 06:00,Diamond Valley,Ballarat,69,88,14,23,12,20,,29,18,23,18,
g_3_xCbuLLXI,04.07. 06:00,Eltham,Knox,80,94,19,24,19,18,,22,23,26,23,
g_3_WULoNVuh,04.07. 06:00,Waverley,Frankston,89,71,31,20,24,14,,24,19,21,7,
g_3_jedTNNm0,03.07. 12:00,Ballarat,Nunawading,94,67,26,27,21,20,,15,17,21,14,
g_3_vmFiwclt,03.07. 12:00,Dandenong,Albury-Wodonga Bandits,84,99,22,16,17,29,,21,23,24,31,
g_3_EBlhmvHB,03.07. 12:00,Kilsyth,Mt Gambier,77,87,22,16,26,13,,27,22,22,16,
g_3_Cl919OY6,03.07. 11:30,Frankston,Ringwood,137,102,44,29,30,34,,26,30,24,22,
g_3_veoPzkAi,03.07. 11:30,Knox,Waverley,101,100,27,21,32,21,,28,22,26,24,
g_3_fsrgvqYt,03.07. 11:30,NW Tasmania,Geelong,70,98,20,8,9,33,,34,23,28,13,
g_3_MaGlCQll,02.07. 12:00,Bendigo Braves,Albury-Wodonga Bandits,87,83,,,,,,,,,,
g_3_hvNsOBQo,02.07. 12:00,Hobart Chargers,Geelong,109,96,,,,,,,,,,
g_3_AJiyiMHn,02.07. 12:00,Ringwood,Kilsyth,74,78,,,,,,,,,,
g_3_r9HpD6Zs,30.06. 12:00,Ringwood,Melbourne Tigers,76,60,29,15,15,17,,14,8,20,18,
g_3_6apwKZmI,27.06. 06:30,Melbourne Tigers,Ballarat,77,92,18,21,22,16,,16,26,21,29,
g_3_Sf2Wi22t,27.06. 06:30,Sandringham Sabres,Albury-Wodonga Bandits,83,89,22,22,22,17,,27,21,21,20,
g_3_buSMXbHO,27.06. 06:00,Diamond Valley,Geelong,78,116,18,18,22,20,,31,36,28,21,
g_3_fPEyZ2Ei,27.06. 06:00,Waverley,Eltham,108,94,31,21,26,30,,25,28,22,19,
g_3_MJEbKTPA,26.06. 12:00,Ballarat,Kilsyth,50,61,9,16,13,12,,12,10,20,19,
g_3_hvw6Kls8,26.06. 12:00,Eltham,Geelong,85,93,24,22,21,18,,23,20,25,25,
g_3_tt9HDI8e,26.06. 11:30,Frankston,Diamond Valley,111,93,20,28,28,35,,24,29,23,17,
g_3_QoG4drfP,26.06. 11:30,Knox,Ringwood,103,80,29,16,30,28,,15,24,26,15,
g_3_xnmoHFRk,26.06. 11:30,Nunawading,Waverley,79,88,20,16,20,23,,22,17,19,30,
g_3_KlTIYv2I,26.06. 11:30,NW Tasmania,Bendigo Braves,82,70,24,24,17,17,,16,16,10,28,
g_3_00j21UyM,26.06. 11:00,Geelong,Sandringham Sabres,101,76,25,23,30,23,,14,31,20,11,
g_3_Sx5DEbgk,25.06. 12:00,Hobart Chargers,Bendigo Braves,118,95,34,30,27,27,,23,20,29,23,
g_3_OdUhM4Dl,05.06. 12:00,NW Tasmania,Hobart Chargers,94,81,23,23,21,27,,26,29,13,13,
g_3_UoeXMs36,29.05. 11:30,NW Tasmania,Mt Gambier,94,104,28,17,22,27,,23,20,26,35,
g_3_0lxS6AeB,28.05. 12:00,Hobart Chargers,Mt Gambier,107,79,23,29,35,20,,17,18,17,27,
g_3_063GQP3s,23.05. 06:30,Frankston,Albury-Wodonga Bandits,115,80,45,17,28,25,,13,15,29,23,
g_3_8W6OO3Yg,23.05. 06:30,Melbourne Tigers,Nunawading,69,105,14,22,18,15,,21,25,25,34,
g_3_fT2KPqJm,23.05. 06:30,Sandringham Sabres,Hobart Chargers,89,113,15,21,28,25,,28,22,28,35,
g_3_bcHlV5eQ,23.05. 06:00,Kilsyth,NW Tasmania,63,98,18,12,20,13,,26,17,25,30,
g_3_SzvK8WQb,23.05. 06:00,Waverley,Bendigo Braves,100,89,20,22,28,30,,21,24,20,24,
g_3_EXZF9CBh,22.05. 12:30AOT,Mt Gambier,Ballarat,86,88,19,21,12,16,18,18,15,25,10,20
g_3_2g6ciVeO,22.05. 12:00,Dandenong,Hobart Chargers,105,86,25,28,21,31,,23,23,24,16,
g_3_tp51jkBU,22.05. 12:00,Diamond Valley,Kilsyth,94,66,23,28,29,14,,16,18,13,19,
g_3_hIo7BYtt,22.05. 12:00,Eltham,NW Tasmania,68,94,17,23,14,14,,21,25,33,15,
g_3_W8pBAhdn,22.05. 12:00,Ringwood,Albury-Wodonga Bandits,96,76,31,15,21,29,,15,19,25,17,
g_3_KUGhhBtI,22.05. 11:30,Nunawading,Knox,95,66,19,32,24,20,,15,11,24,16,
g_3_MqbkgiRB,22.05. 11:00,Geelong,Frankston,72,91,19,16,25,12,,25,25,27,14,
g_3_lWaseDda,16.05. 06:30,Frankston,Bendigo Braves,111,82,31,28,27,25,,21,19,18,24,
g_3_SMbofXB5,16.05. 06:30,Melbourne Tigers,Dandenong,85,93,28,14,19,24,,23,24,28,18,
g_3_Wf5xdgsg,16.05. 06:00,Eltham,Sandringham Sabres,105,91,25,22,29,29,,26,28,19,18,
g_3_IPtyvLL7,15.05. 12:30,Mt Gambier,Knox,118,93,28,32,29,29,,13,26,24,30,
g_3_EibhnqER,15.05. 12:00,Albury-Wodonga Bandits,Waverley,94,82,24,22,18,30,,16,19,22,25,
g_3_G0pKs3Mr,15.05. 12:00,Bendigo Braves,Eltham,92,78,21,22,21,28,,20,22,17,19,
g_3_pzkOtNyk,15.05. 12:00,Dandenong,Frankston,96,104,27,24,21,24,,22,25,17,40,
g_3_OQmSusie,15.05. 12:00,Kilsyth,Nunawading,72,61,16,17,21,18,,15,10,17,19,
