matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_MseEQ8Tg,10.08. 08:00,Keilor Thunder W,Waverley W,82,87,29,19,13,21,,21,29,20,17,
g_3_rkDWUCwB,03.08. 11:30,Mt. Gambier W,Waverley W,73,92,23,14,18,18,,27,19,28,18,
g_3_jFGvTj8N,03.08. 09:30,Keilor Thunder W,Ballarat W,96,75,21,23,26,26,,21,18,19,17,
g_3_hdIb4xQs,27.07. 10:00,Dandenong Rangers W,Waverley W,86,96,19,26,20,21,,18,31,27,20,
g_3_CbYa2Gff,27.07. 09:30,Knox W,Ballarat W,73,77,21,24,13,15,,17,18,17,25,
g_3_6iQR18b2,20.07. 11:30,Keilor Thunder W,Dandenong Rangers W,68,59,20,17,14,17,,15,21,18,5,
g_3_vstm9j6S,20.07. 11:00,Knox W,Mt. Gambier W,78,86,19,19,18,22,,26,25,17,18,
g_3_bRMJ3UTk,20.07. 10:00,Ballarat W,Eltham W,97,83,29,19,32,17,,25,23,26,9,
g_3_8MLPFSD8,20.07. 09:00,Sandringham W,Waverley W,69,95,14,17,20,18,,26,16,25,28,
g_3_4dasvX2c,14.07. 04:00,Dandenong Rangers W,Launceston W,103,57,23,26,36,18,,13,14,17,13,
g_3_MXgnwiI3,14.07. 04:00,Diamond Valley W,Kilsyth W,83,68,39,18,7,19,,18,16,21,13,
g_3_ba8iH9ep,13.07. 10:00,Diamond Valley W,Geelong W,95,84,33,19,23,20,,17,23,23,21,
g_3_C2CeGTAj,13.07. 10:00,Eltham W,Ballarat W,77,94,37,11,21,8,,23,28,17,26,
g_3_Q50wuDmi,13.07. 10:00,Knox W,Keilor Thunder W,73,64,14,16,18,25,,15,11,22,16,
g_3_KjIHNBIG,13.07. 09:30,Casey Cavaliers W,Melbourne Tigers W,109,84,18,30,24,37,,22,29,8,25,
g_3_ERWKMVXM,13.07. 09:30,Kilsyth W,Bendigo Braves W,67,90,20,15,11,21,,28,20,26,16,
g_3_hIVOLkmT,13.07. 09:30,Nunawading W,Launceston W,76,77,24,17,13,22,,20,20,10,27,
