matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_0Y3JI8g0,12.08. 13:00,Geraldton Buccaneers,Joondalup Wolves,86,80,24,15,19,28,,19,29,18,14,
g_3_SjAyF05o,05.08. 13:00,Geraldton Buccaneers,Perth Redbacks,119,83,38,28,27,26,,32,15,13,23,
g_3_QoWhjHSp,05.08. 13:00AOT,Rockingham Flames,Joondalup Wolves,94,97,25,19,18,22,10,19,27,23,15,13
g_3_l4LNwPKT,03.08. 13:30,Perry Lakes Hawks,Perth Redbacks,78,89,25,17,14,22,,14,26,28,21,
g_3_jD7kZrTp,03.08. 13:00,Willetton Tigers,Joondalup Wolves,94,99,22,27,19,26,,20,21,28,30,
g_3_OEcHJi0r,29.07. 13:00,Geraldton Buccaneers,Willetton Tigers,87,86,26,21,19,21,,21,27,19,19,
g_3_rHqmyKVF,29.07. 13:00,Joondalup Wolves,Warwick Senators,93,85,19,31,23,20,,26,27,11,21,
g_3_zituwt13,28.07. 13:00,Perth Redbacks,Lakeside Lightning,98,81,26,25,17,30,,22,17,17,25,
g_3_UDuqx0G9,28.07. 13:00,Rockingham Flames,Perry Lakes Hawks,94,85,24,27,21,22,,20,26,14,25,
g_3_tj0MKvtc,22.07. 07:00,Perth Redbacks,Goldfields Giants,132,83,35,32,30,35,,12,17,23,31,
g_3_voMwde3d,22.07. 06:00,Willetton Tigers,Geraldton Buccaneers,81,89,32,9,21,19,,24,25,20,20,
g_3_WKIVcHYq,21.07. 14:30,Beeliar Boodjar,Kalamunda Eastern Suns,84,65,23,18,22,21,,11,18,15,21,
g_3_Yqwe4JeG,21.07. 14:30,East Perth Eagles,Geraldton Buccaneers,96,115,28,18,22,28,,34,29,27,25,
g_3_Czxa3wBM,21.07. 14:30,Mandurah Magic,Lakeside Lightning,75,102,27,13,20,15,,28,21,25,28,
g_3_QsIZdylj,21.07. 14:30AOT,Perry Lakes Hawks,Joondalup Wolves,96,97,27,24,23,16,6,20,28,23,19,7
g_3_UBW32cQS,21.07. 14:30,Warwick Senators,Rockingham Flames,87,110,21,24,24,18,,33,32,23,22,
g_3_vNwi5atA,21.07. 12:30,South West Slammers,Willetton Tigers,83,108,21,19,21,22,,32,34,23,19,
g_3_Snzm6uR3,15.07. 14:30,Kalamunda Eastern Suns,East Perth Eagles,48,98,10,13,11,14,,24,22,19,33,
g_3_pOpr7LBc,15.07. 13:30,Goldfields Giants,Rockingham Flames,74,105,16,17,19,22,,24,35,21,25,
