matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_S20GhMRD,02.09. 13:30,Warwick Senators W,Willetton Tigers W,87,61,28,18,23,18,,16,14,19,12,
g_3_rcwWYi7b,27.08. 13:00,Warwick Senators W,Mandurah Magic W,79,66,18,24,17,20,,14,16,17,19,
g_3_QLSzYBM4,27.08. 12:00,Joondalup Wolves W,Willetton Tigers W,81,92,26,20,14,21,,36,14,21,21,
g_3_IorbloRO,25.08. 13:00,Willetton Tigers W,Cockburn Cougars W,103,98,29,25,32,17,,22,23,30,23,
g_3_Ma888lCt,25.08. 12:30,Mandurah Magic W,Rockingham Flames W,77,72,25,11,23,18,,14,17,20,21,
g_3_WvPOajDE,20.08. 13:00,Lakeside Lightning W,Rockingham Flames W,73,76,25,14,19,15,,24,15,21,16,
g_3_hlQK0Wc8,20.08. 11:00,Cockburn Cougars W,Perry Lakes Hawks W,75,65,29,6,21,19,,18,13,20,14,
g_3_niwZxT51,20.08. 11:00,Warwick Senators W,Willetton Tigers W,96,84,31,17,22,26,,21,21,27,15,
g_3_QsxwxmL7,19.08. 13:00,Joondalup Wolves W,Mandurah Magic W,81,70,23,19,19,20,,21,17,19,13,
g_3_MPuJ8fjf,13.08. 05:00,Perth Redbacks W,Goldfields Giants W,70,79,23,16,10,21,,17,19,26,17,
g_3_GnJihZ5D,12.08. 12:30,Cockburn Cougars W,Willetton Tigers W,91,81,22,17,22,30,,19,14,31,17,
g_3_h42zHIrE,12.08. 12:30AOT,Joondalup Wolves W,East Perth Eagles W,94,87,21,20,21,17,15,21,25,18,15,8
g_3_Wf1vGxbK,12.08. 12:30,Lakeside Lightning W,Rockingham Flames W,78,97,20,22,19,17,,25,25,22,25,
g_3_QH0rFdDQ,12.08. 12:30,Mandurah Magic W,South West Slammers W,90,68,17,27,20,26,,16,26,8,18,
g_3_0AiAAGLs,12.08. 12:30,Perry Lakes Hawks W,Kalamunda Eastern Suns W,106,41,36,17,30,23,,14,13,6,8,
g_3_rZtF9zyl,12.08. 12:30,Warwick Senators W,Perth Redbacks W,90,69,24,32,14,20,,18,13,13,25,
g_3_rZKqfey1,06.08. 12:00,Lakeside Lightning W,Willetton Tigers W,69,64,15,17,14,23,,16,19,10,19,
g_3_xdKmgFj7,06.08. 12:00,Rockingham Flames W,Perth Redbacks W,101,60,29,21,18,33,,14,14,14,18,
g_3_UVGueyMf,06.08. 11:30,Goldfields Giants W,Cockburn Cougars W,85,89,22,22,11,30,,29,18,19,23,
g_3_8GSWdcir,06.08. 11:00,Mandurah Magic W,Joondalup Wolves W,93,70,24,29,19,21,,25,13,20,12,
g_3_n7RzdH6l,06.08. 11:00,South West Slammers W,East Perth Eagles W,65,105,23,14,16,12,,30,17,29,29,
g_3_CWR12JTK,05.08. 12:30,Joondalup Wolves W,Kalamunda Eastern Suns W,110,58,30,31,25,24,,18,15,23,2,
g_3_jNQ51wqR,05.08. 12:30,Perry Lakes Hawks W,Lakeside Lightning W,72,82,21,11,18,22,,28,13,19,22,
g_3_U7xc3aEE,31.07. 05:00,Kalamunda Eastern Suns W,Goldfields Giants W,55,67,16,15,16,8,,17,18,18,14,
g_3_21pBudM7,30.07. 12:00,Lakeside Lightning W,Warwick Senators W,72,93,30,16,12,14,,23,23,26,21,
g_3_G4Yh4ua8,30.07. 12:00,Perry Lakes Hawks W,East Perth Eagles W,85,64,21,20,25,19,,15,18,16,15,
g_3_6Zj2sIie,30.07. 11:30,Cockburn Cougars W,South West Slammers W,93,60,24,27,19,23,,11,16,19,14,
g_3_OAo7tx71,30.07. 11:30,Mandurah Magic W,Goldfields Giants W,48,35,4,11,15,18,,5,8,13,9,
g_3_Srhbrbxk,30.07. 11:00,Willetton Tigers W,Rockingham Flames W,95,92,19,21,29,26,,28,17,26,21,
g_3_bT1SmKER,29.07. 12:30,Perth Redbacks W,Perry Lakes Hawks W,73,79,14,26,20,13,,29,14,13,23,
g_3_YLhfqvNr,29.07. 12:30,Warwick Senators W,Cockburn Cougars W,99,63,22,18,31,28,,16,20,19,8,
g_3_G4CNl0aL,23.07. 12:30,Kalamunda Eastern Suns W,Cockburn Cougars W,74,98,21,16,20,17,,32,32,17,17,
