matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_vJssDDy2,19.07. 12:00,Goldfields Giants W,Perth Redbacks W,81,103,21,23,19,18,,28,23,27,25,
g_3_lYzAKeqS,19.07. 11:00,East Perth Eagles W,Kalamunda Eastern Suns W,114,83,36,27,26,25,,21,21,23,18,
g_3_WhvZEZ6k,19.07. 11:00,South West Slammers W,Warwick Senators W,78,83,11,22,16,29,,21,21,14,27,
g_3_GKx2MHEF,18.07. 12:30,Joondalup Wolves W,South West Slammers W,86,72,18,23,20,25,,17,20,14,21,
g_3_hni70zhd,18.07. 12:30,Rockingham Flames W,Willetton Tigers W,107,54,19,28,37,23,,21,10,12,11,
g_3_KhqgOwp3,18.07. 12:30,Warwick Senators W,Perry Lakes Hawks W,83,97,24,27,17,15,,24,25,29,19,
g_3_WW2b2dNq,17.07. 12:30,Kalamunda Eastern Suns W,Lakeside Lightning W,85,71,26,20,26,13,,19,18,12,22,
g_3_2HCS7IaM,15.07. 11:00,Rockingham Flames W,Mandurah Magic W,90,63,20,26,20,24,,20,13,17,13,
g_3_6kJJ9vV9,13.07. 05:00,Joondalup Wolves W,Goldfields Giants W,101,73,27,30,27,17,,18,11,21,23,
g_3_YyLBB00c,12.07. 12:30,Kalamunda Eastern Suns W,Warwick Senators W,86,66,25,21,23,17,,20,18,18,10,
g_3_ITxPmc8j,12.07. 12:00,Rockingham Flames W,Goldfields Giants W,95,72,31,27,22,15,,17,15,24,16,
g_3_nT0h65OH,12.07. 11:30,Lakeside Lightning W,Perry Lakes Hawks W,76,81,29,18,12,17,,14,24,17,26,
g_3_Im9yAmPh,12.07. 11:00,Willetton Tigers W,South West Slammers W,101,89,28,26,26,21,,23,24,18,24,
g_3_69uJi69O,11.07. 12:30,East Perth Eagles W,Lakeside Lightning W,79,87,18,19,11,31,,22,22,18,25,
g_3_MLFSB9ft,11.07. 12:30,Perth Redbacks W,Mandurah Magic W,95,102,25,23,22,25,,30,22,27,23,
g_3_CAnAgSvC,10.07. 12:00,Perry Lakes Hawks W,Cockburn Cougars W,81,93,27,15,21,18,,25,26,24,18,
g_3_4pq2elAa,05.07. 12:00AOT,Goldfields Giants W,East Perth Eagles W,116,112,23,21,19,21,32,25,14,24,21,28
g_3_rVfgcAum,05.07. 11:30,Cockburn Cougars W,South West Slammers W,129,67,48,23,31,27,,11,19,21,16,
g_3_Cn4N2WHP,05.07. 11:00,Joondalup Wolves W,Kalamunda Eastern Suns W,116,85,35,25,25,31,,18,32,18,17,
g_3_bNExctU6,05.07. 11:00,Perth Redbacks W,Perry Lakes Hawks W,78,72,22,30,11,15,,20,15,17,20,
g_3_WzDpeKbJ,05.07. 11:00,Warwick Senators W,Willetton Tigers W,89,40,19,29,21,20,,11,9,13,7,
g_3_fVHL0OUs,04.07. 12:30,Kalamunda Eastern Suns W,Rockingham Flames W,68,87,21,21,9,17,,21,22,18,26,
g_3_Actk6p7K,04.07. 12:30,South West Slammers W,Mandurah Magic W,74,85,27,15,21,11,,20,26,21,18,
g_3_2eLTb2af,04.07. 12:30,Willetton Tigers W,Joondalup Wolves W,65,94,15,21,12,17,,21,12,25,36,
g_3_b9Z3rsFD,29.06. 05:00,Mandurah Magic W,Goldfields Giants W,102,64,24,28,28,22,,12,22,19,11,
g_3_2step3p1,28.06. 12:30,Kalamunda Eastern Suns W,Perth Redbacks W,66,82,15,17,15,19,,9,27,22,24,
g_3_Aq1GiohR,28.06. 12:00,Rockingham Flames W,Warwick Senators W,68,104,22,8,16,22,,22,30,31,21,
g_3_UTsmnPFl,28.06. 11:30,Lakeside Lightning W,East Perth Eagles W,64,80,20,12,20,12,,24,18,27,11,
g_3_z7MDXP0e,27.06. 12:30,Cockburn Cougars W,Lakeside Lightning W,111,32,27,31,26,27,,7,11,10,4,
g_3_rXPLV3V7,27.06. 12:30,East Perth Eagles W,Perry Lakes Hawks W,58,104,23,18,13,4,,23,31,23,27,
g_3_OS28g7NE,27.06. 12:30,Joondalup Wolves W,Rockingham Flames W,65,88,21,21,16,7,,16,32,19,21,
g_3_vuT4ZoWr,21.06. 11:30,Cockburn Cougars W,East Perth Eagles W,107,72,31,27,20,29,,23,14,23,12,
g_3_8h6XifnA,21.06. 11:00,Joondalup Wolves W,Perry Lakes Hawks W,65,96,8,18,20,19,,32,31,13,20,
g_3_nmLxWCPj,21.06. 11:00,Perth Redbacks W,Rockingham Flames W,80,79,21,15,22,22,,25,24,15,15,
g_3_EgDOgGHc,21.06. 11:00,Willetton Tigers W,Mandurah Magic W,84,73,31,17,14,22,,17,16,21,19,
g_3_GOCkswYi,20.06. 12:30,East Perth Eagles W,Perth Redbacks W,96,84,18,29,21,28,,23,21,22,18,
g_3_lxBcuH24,20.06. 12:30,Lakeside Lightning W,Willetton Tigers W,88,92,28,26,19,15,,27,25,21,19,
g_3_2Fq6yZ1T,20.06. 12:30,South West Slammers W,Cockburn Cougars W,66,118,21,14,17,14,,36,28,34,20,
g_3_fktbweXG,20.06. 12:30,Warwick Senators W,Kalamunda Eastern Suns W,119,74,32,38,19,30,,17,30,14,13,
g_3_0GU2JZuo,14.06. 12:00,Goldfields Giants W,Warwick Senators W,69,81,17,11,21,20,,19,25,14,23,
g_3_8IkOQHmB,14.06. 11:00,Perry Lakes Hawks W,Joondalup Wolves W,102,67,24,29,29,20,,19,15,18,15,
g_3_UXwXOeIN,14.06. 11:00AOT,Willetton Tigers W,East Perth Eagles W,92,84,11,20,28,19,14,20,16,18,24,6
g_3_6gg7Ualn,13.06. 12:30,Lakeside Lightning W,Cockburn Cougars W,65,84,19,22,4,20,,17,23,20,24,
g_3_2LnGSwJb,13.06. 12:30,Perth Redbacks W,Kalamunda Eastern Suns W,97,83,21,31,21,24,,27,16,20,20,
g_3_jsJcAd3U,13.06. 12:30,Rockingham Flames W,South West Slammers W,98,83,33,20,30,15,,15,15,19,34,
g_3_fFPlCIYH,07.06. 12:00,Goldfields Giants W,Willetton Tigers W,69,80,19,23,17,10,,18,22,19,21,
g_3_0h4FcJJO,07.06. 12:00,Rockingham Flames W,Perry Lakes Hawks W,98,92,24,22,23,29,,23,28,25,16,
g_3_vJZPHM4t,07.06. 11:00AOT,Mandurah Magic W,Lakeside Lightning W,101,87,25,18,22,18,18,24,22,19,18,4
g_3_8bRtEv45,07.06. 11:00,South West Slammers W,Perth Redbacks W,64,116,14,17,12,21,,27,28,35,26,
g_3_nqwYF0Zh,07.06. 11:00,Warwick Senators W,East Perth Eagles W,113,96,30,33,26,24,,20,25,25,26,
g_3_nVca11Ka,06.06. 12:30,Cockburn Cougars W,Kalamunda Eastern Suns W,103,64,31,24,29,19,,19,12,11,22,
g_3_Sv67aukC,06.06. 12:30,Perry Lakes Hawks W,Mandurah Magic W,105,106,29,27,33,16,,22,25,34,25,
g_3_v5fi3Nkm,01.06. 08:00AOT,Kalamunda Eastern Suns W,Joondalup Wolves W,78,81,25,14,22,11,6,18,9,20,25,9
g_3_KGsJLV5E,01.06. 05:00,East Perth Eagles W,Goldfields Giants W,97,64,30,24,20,23,,19,13,16,16,
g_3_hAkXcSD7,31.05. 12:00,Warwick Senators W,Goldfields Giants W,110,82,31,38,21,20,,22,15,21,24,
g_3_Y7ZValqe,31.05. 11:30,Cockburn Cougars W,Willetton Tigers W,104,73,33,18,27,26,,20,21,14,18,
g_3_0fyO1AEr,31.05. 11:00,Perry Lakes Hawks W,South West Slammers W,94,70,35,24,19,16,,18,24,14,14,
g_3_Yqiq9hM8,30.05. 12:30,Mandurah Magic W,Rockingham Flames W,86,95,19,17,30,20,,25,32,17,21,
g_3_tAfi7WjL,30.05. 12:30,Perth Redbacks W,East Perth Eagles W,95,78,26,15,21,33,,20,28,21,9,
g_3_hlEdokU1,24.05. 12:30,Kalamunda Eastern Suns W,Perry Lakes Hawks W,82,71,17,24,24,17,,16,18,26,11,
g_3_niBlmBak,24.05. 12:00,Goldfields Giants W,Lakeside Lightning W,69,78,15,23,16,15,,25,22,7,24,
