matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tvAxWY2C,04.03. 09:30,Canberra Capitals W,Southside W,71,68,16,19,21,15,,24,21,9,14,
g_3_Sz6YWEm6,01.03. 07:00,Southside W,Canberra Capitals W,80,82,20,27,22,11,,22,21,20,19,
g_3_6HRqQBiN,26.02. 09:30,Canberra Capitals W,Geelong United W,77,64,22,15,22,18,,16,12,22,14,
g_3_IVLvhOr9,23.02. 08:00,Geelong United W,Canberra Capitals W,88,76,23,26,15,24,,18,16,16,26,
g_3_QePnj2DL,22.02. 09:30,Adelaide Lightning W,Southside W,79,82,26,17,20,16,,27,24,15,16,
g_3_ChLrirbF,18.02. 09:30,Southside W,Adelaide Lightning W,68,65,17,17,22,12,,25,14,7,19,
g_3_vuNzg4T2,16.02. 07:30,Canberra Capitals W,Geelong United W,84,70,23,16,18,27,,22,17,16,15,
g_3_ficNPZKt,01.02. 09:05,Geelong United W,Perth Lynx W,104,75,32,22,26,24,,14,17,21,23,
g_3_l6MglTQc,01.02. 09:05,Southside W,Sydney W,78,61,22,18,27,11,,16,14,10,21,
g_3_dACC0cGK,01.02. 09:05,Townsville W,Bendigo W,69,89,16,11,25,17,,22,17,26,24,
g_3_6uWfDz0Q,01.02. 07:05,Canberra Capitals W,Adelaide Lightning W,73,71,19,18,17,19,,21,15,16,19,
g_3_fBsVHoN2,30.01. 09:35,Adelaide Lightning W,Perth Lynx W,75,74,21,20,16,18,,18,21,18,17,
g_3_buCwlKWE,30.01. 09:05,Sydney W,Bendigo W,78,68,25,12,21,20,,17,19,24,8,
g_3_l4yjEGpK,26.01. 07:05,Canberra Capitals W,Sydney W,82,66,19,21,19,23,,22,12,13,19,
g_3_ttNkk9Bi,25.01. 09:05,Southside W,Adelaide Lightning W,81,69,31,21,15,14,,16,19,17,17,
g_3_2mD81w1E,25.01. 09:05,Townsville W,Geelong United W,68,79,20,21,14,13,,21,18,12,28,
g_3_M3jHGdrQ,24.01. 09:05,Bendigo W,Perth Lynx W,66,89,23,13,11,19,,27,31,22,9,
g_3_dAl4jDhD,22.01. 09:05,Canberra Capitals W,Perth Lynx W,89,75,27,25,25,12,,17,29,14,15,
g_3_6BrcxD4n,19.01. 07:05,Perth Lynx W,Townsville W,95,62,23,19,16,37,,17,12,19,14,
g_3_2kOojkdo,19.01. 07:05,Southside W,Canberra Capitals W,74,98,20,20,14,20,,30,28,21,19,
g_3_rDiDHxTJ,18.01. 09:05,Bendigo W,Southside W,76,91,15,18,17,26,,24,25,24,18,
g_3_GGMYl0H8,18.01. 07:05,Sydney W,Geelong United W,62,76,22,14,18,8,,25,18,18,15,
g_3_Igbng2p2,17.01. 09:35,Adelaide Lightning W,Townsville W,77,60,22,18,21,16,,22,11,14,13,
g_3_ADxnFdVD,17.01. 09:05AOT,Canberra Capitals W,Geelong United W,76,75,20,19,12,15,10,14,20,16,16,9
g_3_IV5eUFCP,12.01. 07:05AOT,Geelong United W,Southside W,73,75,20,15,18,14,6,16,14,17,20,8
g_3_SKqgwgkt,12.01. 06:05,Perth Lynx W,Bendigo W,100,81,32,19,28,21,,21,14,25,21,
g_3_4tJUkt22,12.01. 03:05,Sydney W,Townsville W,76,83,22,25,19,10,,23,14,27,19,
g_3_OdE42Jo8,10.01. 10:05,Townsville W,Canberra Capitals W,102,69,23,26,19,34,,19,17,19,14,
