matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_ABFBQ2L8,09.03. 05:00,Townsville W,Bendigo W,55,63,21,13,7,14,,20,13,13,17,
g_3_dWXO2aT1,05.03. 09:00,Bendigo W,Townsville W,70,60,16,12,13,29,,23,10,8,19,
g_3_nXvuflf2,27.02. 09:00,Sydney W,Bendigo W,74,91,31,13,23,7,,23,30,20,18,
g_3_Wbw81W1S,26.02. 09:30,Townsville W,Perth Lynx W,106,76,26,28,24,28,,21,19,13,23,
g_3_SUOwdAPk,23.02. 05:30,Bendigo W,Sydney W,76,67,27,24,16,9,,15,13,21,18,
g_3_zXqa3hXF,22.02. 10:00,Perth Lynx W,Townsville W,87,92,16,20,30,21,,27,16,26,23,
g_3_rPu7wB1M,16.02. 05:00AOT,Townsville W,Perth Lynx W,86,87,26,16,16,17,11,15,22,18,20,12
g_3_2RXDZ10l,16.02. 02:30,Adelaide Lightning W,Geelong United W,87,70,27,15,27,18,,27,19,14,10,
g_3_rwLuhAGF,15.02. 07:30,Sydney W,Southside W,67,83,23,15,19,10,,18,22,24,19,
g_3_zDHXgWo3,15.02. 05:30,Canberra Capitals W,Bendigo W,83,74,17,22,21,23,,17,21,21,15,
g_3_niywYlPq,12.02. 09:00,Sydney W,Townsville W,50,83,15,11,12,12,,27,21,23,12,
g_3_OxSnBn6e,09.02. 05:00,Canberra Capitals W,Sydney W,71,86,17,19,14,21,,16,22,16,32,
g_3_hfqYHxZo,09.02. 02:30,Southside W,Adelaide Lightning W,84,78,22,27,21,14,,18,27,18,15,
g_3_K4ZpWSgd,07.02. 12:00,Perth Lynx W,Geelong United W,95,77,24,28,25,18,,18,12,20,27,
g_3_WO6VL3KD,05.02. 09:30,Adelaide Lightning W,Townsville W,63,90,13,18,13,19,,29,20,14,27,
g_3_zaxauXW9,02.02. 02:30,Bendigo W,Southside W,92,73,30,21,25,16,,22,13,13,25,
g_3_nwd4JkAj,01.02. 09:30,Geelong United W,Canberra Capitals W,77,91,25,16,13,23,,28,18,24,21,
g_3_Eqljsg2c,01.02. 07:30,Adelaide Lightning W,Perth Lynx W,87,69,28,18,16,25,,15,24,19,11,
g_3_4IhuPBnT,31.01. 09:00,Southside W,Townsville W,85,90,21,21,21,22,,32,16,26,16,
g_3_W4fXQXHG,30.01. 08:30AOT,Canberra Capitals W,Sydney W,88,92,30,15,19,16,8,28,16,19,17,12
g_3_zw1OSgm4,29.01. 09:00,Geelong United W,Bendigo W,60,81,18,22,15,5,,17,30,17,17,
g_3_SCcGUFIi,25.01. 10:00,Townsville W,Geelong United W,89,70,23,23,21,22,,20,19,20,11,
g_3_nHKT6CQp,25.01. 07:30,Sydney W,Perth Lynx W,83,105,24,23,10,26,,28,24,39,14,
g_3_I1UcCY2N,25.01. 05:00,Canberra Capitals W,Southside W,94,79,24,24,21,25,,20,20,19,20,
g_3_MZzkEfYA,24.01. 08:30,Bendigo W,Adelaide Lightning W,65,59,20,14,18,13,,11,20,17,11,
g_3_lMxsGG3b,22.01. 09:30,Townsville W,Sydney W,89,75,25,33,13,18,,14,20,15,26,
g_3_xUgPcZmU,19.01. 06:00,Bendigo W,Geelong United W,95,73,25,16,25,29,,22,15,13,23,
g_3_GE5GaeJH,19.01. 02:00,Sydney W,Adelaide Lightning W,84,60,30,15,23,16,,9,18,19,14,
g_3_8l281Hl5,18.01. 12:30,Perth Lynx W,Southside W,86,78,18,23,18,27,,21,33,12,12,
g_3_CM8a3wKh,18.01. 10:00,Townsville W,Canberra Capitals W,105,71,30,23,31,21,,27,13,18,13,
