matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_fwnz6MgT,21.01. 15:30,Traiskirchen Lions,Wels,66,71,18,15,20,13,,20,10,23,18,
g_3_ILUZP22H,10.12. 18:00AOT,Klosterneuburg Dukes,Wels,78,81,18,21,16,13,10,15,20,16,17,13
g_3_UeYwPMHN,10.12. 14:45,Traiskirchen Lions,Graz UBSC,85,66,21,22,23,19,,26,14,11,15,
g_3_zXNLzpE5,01.12. 19:00,Kapfenberg Bulls,Wels,74,91,26,20,19,9,,9,27,31,24,
g_3_S6KDx6qg,01.12. 19:00,Klosterneuburg Dukes,Vienna Basket,58,48,11,11,18,18,,8,13,13,14,
g_3_lGL9wnUn,01.12. 19:00,Oberwart Gunners,Graz UBSC,79,94,19,24,16,20,,22,19,27,26,
g_3_MTJHyQba,01.12. 18:30,Traiskirchen Lions,St. Polten,77,69,23,21,16,17,,18,15,19,17,
g_3_xdKtEaWA,29.10. 17:00,Kapfenberg Bulls,Swans Gmunden,93,75,16,15,29,33,,20,12,20,23,
g_3_tUQXFL1b,28.10. 19:00,Worthersee Piraten,Traiskirchen Lions,46,102,23,11,4,8,,36,25,14,27,
g_3_2wSTG1nh,28.10. 18:30,Dornbirn Lions,Vienna Basket,64,111,16,13,15,20,,39,26,28,18,
g_3_rgNlCw1N,28.10. 18:30,Graz UBSC,Furstenfeld,98,77,24,23,24,27,,22,14,22,19,
g_3_b5LxFuH4,28.10. 18:30,Salzburg,St. Polten,54,94,23,9,11,11,,12,30,30,22,
g_3_8GSPHsXo,28.10. 17:30,Oberwart Gunners,BBC Nord,101,73,17,30,21,33,,14,14,23,22,
g_3_WIJpDJoH,28.10. 17:00,Wagram,Klosterneuburg Dukes,64,95,20,8,22,14,,17,33,20,25,
g_3_fDOLINHu,28.10. 15:30,Vienna Timberwolves,Wels,63,88,15,22,6,20,,19,25,19,25,
g_3_Mw9HJeYt,01.10. 18:00,Salzburg,Mistelbach,73,67,20,11,18,24,,18,15,13,21,
g_3_ttPIHZ2g,30.09. 18:00,Gussing Blackbirds,Dornbirn Lions,64,69,14,19,13,18,,14,22,11,22,
g_3_0U7LIFmm,30.09. 18:00,Raiders Tirol,Worthersee Piraten,75,76,18,14,19,24,,19,16,24,17,
g_3_KWNMGgIa,30.09. 14:00,ATSE Graz,Wagram,56,80,,,,,,,,,,
g_3_buKWxFKF,24.09. 18:00,Kufstein,Gussing Blackbirds,56,59,22,15,9,10,,17,14,12,16,
g_3_QkSJuHzc,24.09. 15:00,Baskets Feldkirch,Salzburg,45,80,,,,,,,,,,
g_3_4tRNvyj3,24.09. 15:00,Wagram,Mattersburg,82,53,25,18,22,17,,8,21,11,13,
g_3_xzZyHXcd,24.09. 13:00,Basket Flames,Dornbirn Lions,70,81,11,18,16,25,,19,22,20,20,
g_3_n5GSwe59,23.09. 19:00,Eisenstadt,ATSE Graz,54,100,,,,,,,,,,
g_3_jyr0Lnkr,23.09. 18:00,Celovec,Raiders Tirol,72,77,13,21,14,24,,25,18,19,15,
g_3_bqzYHDrj,23.09. 18:00,Vienna United,Mistelbach,57,63,26,12,10,9,,17,15,15,16,
