matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_ja2C2Aq9,19.01. 19:15,Wels,Klosterneuburg Dukes,60,62,12,13,12,23,,9,15,23,15,
g_3_lOHWch16,18.01. 20:15,Klosterneuburg Dukes,Traiskirchen Lions,71,59,14,19,17,21,,13,10,17,19,
g_3_nVZIJZNP,18.01. 14:45,Wels,BBC Nord,81,68,17,22,15,27,,19,12,19,18,
g_3_MZM7iHwI,03.01. 19:00,Graz UBSC,BBC Nord,75,80,17,19,18,21,,23,13,23,21,
g_3_2X66gw95,03.01. 19:00,Traiskirchen Lions,Oberwart Gunners,76,62,15,26,26,9,,20,9,14,19,
g_3_UJ8beavg,02.01. 19:00,Kapfenberg Bulls,Klosterneuburg Dukes,70,90,19,23,13,15,,22,26,26,16,
g_3_UaQFke8U,02.01. 19:00,Wels,Swans Gmunden,76,71,15,24,16,21,,22,17,16,16,
g_3_lY4rcOrp,13.12. 19:00,Kapfenberg Bulls,Vienna Basket,92,70,23,26,20,23,,24,13,19,14,
g_3_IkEC2pLM,13.12. 19:00,Traiskirchen Lions,St. Polten,68,61,9,19,18,22,,21,8,19,13,
g_3_rXcie2Dd,13.12. 18:00,BBC Nord,Furstenfeld,84,71,21,12,19,32,,16,21,17,17,
