matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_AZW27HWt,06.06. 00:00,Swans Gmunden,Oberwart Gunners,88,81,,,,,,,,,,
g_3_Iw9ZOq2E,03.06. 00:00,Oberwart Gunners,Swans Gmunden,60,69,,,,,,,,,,
g_3_vmAVPPn8,30.05. 00:00,Swans Gmunden,Oberwart Gunners,86,76,,,,,,,,,,
g_3_bD2v1tA7,25.05. 00:00,Oberwart Gunners,Kapfenberg Bulls,88,80,,,,,,,,,,
g_3_Qa4W22ue,22.05. 00:00,Kapfenberg Bulls,Oberwart Gunners,55,87,,,,,,,,,,
g_3_KM3z2Mf1,22.05. 00:00,Worthersee Piraten,Swans Gmunden,65,79,,,,,,,,,,
g_3_UXAN4OAr,19.05. 00:00,Oberwart Gunners,Kapfenberg Bulls,82,94,,,,,,,,,,
g_3_Cd0S3rQl,19.05. 00:00,Swans Gmunden,Worthersee Piraten,81,75,,,,,,,,,,
g_3_Gt1qApmL,15.05. 00:00,Kapfenberg Bulls,Oberwart Gunners,81,76,,,,,,,,,,
g_3_O60m942R,15.05. 00:00,Worthersee Piraten,Swans Gmunden,76,75,,,,,,,,,,
g_3_xj2uBQXE,12.05. 00:00,Oberwart Gunners,Kapfenberg Bulls,96,84,,,,,,,,,,
g_3_fRCzC6I8,12.05. 00:00,Swans Gmunden,Worthersee Piraten,69,66,,,,,,,,,,
g_3_O2dtl3Q1,08.05. 00:00,Furstenfeld,Traiskirchen Lions,96,89,,,,,,,,,,
g_3_Sz3XkPek,08.05. 00:00,Kapfenberg Bulls,Swans Gmunden,80,48,,,,,,,,,,
g_3_pCcxkqBe,08.05. 00:00,Wels,Oberwart Gunners,78,60,,,,,,,,,,
g_3_tO8WCn32,08.05. 00:00,Worthersee Piraten,Klosterneuburg Dukes,92,82,,,,,,,,,,
g_3_W4H1eoYR,05.05. 00:00,Klosterneuburg Dukes,Furstenfeld,72,99,,,,,,,,,,
g_3_MFHbb73F,05.05. 00:00,Oberwart Gunners,Kapfenberg Bulls,80,77,,,,,,,,,,
g_3_4v73cRIL,05.05. 00:00,Swans Gmunden,Worthersee Piraten,86,58,,,,,,,,,,
g_3_lp4Tj5tq,05.05. 00:00,Wels,Traiskirchen Lions,91,92,,,,,,,,,,
g_3_EkEj0TY2,30.04. 00:00,Kapfenberg Bulls,Furstenfeld,102,92,,,,,,,,,,
g_3_S8QchHFd,30.04. 00:00,Oberwart Gunners,Swans Gmunden,78,87,,,,,,,,,,
g_3_zaFn19Jd,30.04. 00:00,Traiskirchen Lions,Worthersee Piraten,85,77,,,,,,,,,,
g_3_rPIfaml9,30.04. 00:00,Wels,Klosterneuburg Dukes,93,101,,,,,,,,,,
g_3_KrNkfwop,24.04. 00:00,Klosterneuburg Dukes,Kapfenberg Bulls,72,95,,,,,,,,,,
g_3_E5Mggc0j,24.04. 00:00,Swans Gmunden,Wels,90,71,,,,,,,,,,
g_3_IZzObJxT,23.04. 00:00,Furstenfeld,Worthersee Piraten,77,98,,,,,,,,,,
g_3_xOJQaaNM,23.04. 00:00,Oberwart Gunners,Traiskirchen Lions,93,100,,,,,,,,,,
g_3_0hcA1LhA,17.04. 00:00,Furstenfeld,Swans Gmunden,90,95,,,,,,,,,,
g_3_fFdE0u8G,17.04. 00:00,Kapfenberg Bulls,Wels,90,78,,,,,,,,,,
g_3_nkg621w4,17.04. 00:00,Traiskirchen Lions,Klosterneuburg Dukes,81,82,,,,,,,,,,
g_3_4Q313sOc,17.04. 00:00,Worthersee Piraten,Oberwart Gunners,67,77,,,,,,,,,,
g_3_Y1m7uvWj,15.04. 00:00,Oberwart Gunners,Furstenfeld,93,77,,,,,,,,,,
g_3_QZ4c4N8i,15.04. 00:00,Swans Gmunden,Klosterneuburg Dukes,97,76,,,,,,,,,,
g_3_fBl3tKGp,15.04. 00:00,Wels,Worthersee Piraten,80,82,,,,,,,,,,
g_3_lUBzo08T,14.04. 00:00,Kapfenberg Bulls,Traiskirchen Lions,106,76,,,,,,,,,,
g_3_xf8WotgN,10.04. 00:00,Klosterneuburg Dukes,Oberwart Gunners,66,70,,,,,,,,,,
g_3_rmiBlr94,09.04. 00:00,Furstenfeld,Wels,101,89,,,,,,,,,,
g_3_rX8SnMwH,09.04. 00:00,Traiskirchen Lions,Swans Gmunden,87,82,,,,,,,,,,
g_3_0OoGm2OA,09.04. 00:00,Worthersee Piraten,Kapfenberg Bulls,76,69,,,,,,,,,,
g_3_4dh7kOgb,03.04. 00:00,Klosterneuburg Dukes,Worthersee Piraten,76,83,,,,,,,,,,
g_3_AZh3j4vh,03.04. 00:00,Swans Gmunden,Kapfenberg Bulls,70,62,,,,,,,,,,
g_3_j9n8S0no,02.04. 00:00,Oberwart Gunners,Wels,100,90,,,,,,,,,,
g_3_dWlaipPo,02.04. 00:00,Traiskirchen Lions,Furstenfeld,96,103,,,,,,,,,,
g_3_EqPvpTHI,28.03. 00:00,Traiskirchen Lions,Wels,86,87,,,,,,,,,,
g_3_K8Ayo92C,28.03. 00:00,Worthersee Piraten,Swans Gmunden,74,94,,,,,,,,,,
g_3_tIBXokm6,27.03. 00:00,Kapfenberg Bulls,Oberwart Gunners,58,72,,,,,,,,,,
g_3_bgMSnVXa,26.03. 00:00,Furstenfeld,Klosterneuburg Dukes,94,98,,,,,,,,,,
g_3_bPAYYB30,19.03. 00:00,Swans Gmunden,Furstenfeld,87,58,,,,,,,,,,
g_3_nBfCli3m,14.03. 00:00,Klosterneuburg Dukes,Wels,101,92,,,,,,,,,,
g_3_tYgGmBIg,14.03. 00:00,Swans Gmunden,Oberwart Gunners,77,68,,,,,,,,,,
g_3_8Ke8kXms,13.03. 00:00,Furstenfeld,Kapfenberg Bulls,82,70,,,,,,,,,,
g_3_SQDufDuQ,13.03. 00:00,Worthersee Piraten,Traiskirchen Lions,88,81,,,,,,,,,,
g_3_lzFyegQJ,07.03. 00:00,Kapfenberg Bulls,Klosterneuburg Dukes,78,57,,,,,,,,,,
g_3_KvasXkYC,06.03. 00:00,Traiskirchen Lions,Oberwart Gunners,103,99,,,,,,,,,,
g_3_WE2oW9mJ,06.03. 00:00,Wels,Swans Gmunden,79,105,,,,,,,,,,
g_3_xG9xYVI6,06.03. 00:00,Worthersee Piraten,Furstenfeld,90,84,,,,,,,,,,
g_3_Uk6UZilf,04.03. 00:00,Klosterneuburg Dukes,Traiskirchen Lions,71,82,,,,,,,,,,
g_3_4IgDyEJs,04.03. 00:00,Oberwart Gunners,Worthersee Piraten,69,75,,,,,,,,,,
g_3_nsqIzYYm,04.03. 00:00,Wels,Kapfenberg Bulls,85,89,,,,,,,,,,
g_3_Sd2otfBQ,27.02. 00:00,Klosterneuburg Dukes,Swans Gmunden,91,90,,,,,,,,,,
g_3_fq4wrGtE,26.02. 00:00,Furstenfeld,Oberwart Gunners,85,71,,,,,,,,,,
g_3_YZ2sszdK,26.02. 00:00,Traiskirchen Lions,Kapfenberg Bulls,81,77,,,,,,,,,,
g_3_QB67KW3D,25.02. 00:00,Worthersee Piraten,Wels,110,112,,,,,,,,,,
g_3_nL73LCl7,20.02. 00:00,Kapfenberg Bulls,Worthersee Piraten,86,60,,,,,,,,,,
g_3_hb8aMhZ0,20.02. 00:00,Swans Gmunden,Traiskirchen Lions,77,59,,,,,,,,,,
g_3_dWEjOE4l,19.02. 00:00,Oberwart Gunners,Klosterneuburg Dukes,92,89,,,,,,,,,,
g_3_ve4eNYJf,19.02. 00:00,Wels,Furstenfeld,92,78,,,,,,,,,,
g_3_ENivPfkr,13.02. 00:00,Dornbirn Lions,Furstenfeld,75,88,,,,,,,,,,
g_3_pAtA7gK7,13.02. 00:00,Kapfenberg Bulls,Klosterneuburg Dukes,83,74,,,,,,,,,,
g_3_0GB3VdCE,13.02. 00:00,Oberwart Gunners,Skala Comets,123,84,,,,,,,,,,
g_3_ru18UGRK,13.02. 00:00,Swans Gmunden,St. Polten,84,67,,,,,,,,,,
g_3_2Vh0Wxc8,13.02. 00:00,Traiskirchen Lions,Wels,71,96,,,,,,,,,,
g_3_MVaCTzsR,13.02. 00:00,Worthersee Piraten,VIVA 49ers,83,71,,,,,,,,,,
g_3_pYf3yVwC,09.02. 00:00,VIVA 49ers,Kapfenberg Bulls,69,91,,,,,,,,,,
g_3_6Js68Z41,07.02. 00:00,Wels,Kapfenberg Bulls,56,61,,,,,,,,,,
g_3_GUlgByLr,06.02. 00:00,Dornbirn Lions,Traiskirchen Lions,73,88,,,,,,,,,,
g_3_AilcAezk,06.02. 00:00,Klosterneuburg Dukes,Oberwart Gunners,69,96,,,,,,,,,,
g_3_lrm19Fke,06.02. 00:00,Skala Comets,St. Polten,104,93,,,,,,,,,,
g_3_hSqEGccL,06.02. 00:00,VIVA 49ers,Furstenfeld,74,92,,,,,,,,,,
g_3_ziZIFHCR,06.02. 00:00,Worthersee Piraten,Swans Gmunden,74,72,,,,,,,,,,
g_3_6Bo6IJS8,04.02. 00:00,Kapfenberg Bulls,Traiskirchen Lions,83,73,,,,,,,,,,
g_3_McpBfGz2,04.02. 00:00,Oberwart Gunners,Wels,92,88,,,,,,,,,,
g_3_SKn2JaD2,04.02. 00:00,Skala Comets,Worthersee Piraten,82,84,,,,,,,,,,
g_3_EyoAHwrF,04.02. 00:00,St. Polten,Klosterneuburg Dukes,82,87,,,,,,,,,,
g_3_8ft7edLe,04.02. 00:00,VIVA 49ers,Dornbirn Lions,85,77,,,,,,,,,,
g_3_EXt3dx6k,03.02. 00:00,Furstenfeld,Swans Gmunden,82,97,,,,,,,,,,
g_3_KWOUEpMG,30.01. 00:00,Furstenfeld,Skala Comets,80,101,,,,,,,,,,
g_3_zsracIjq,30.01. 00:00,Swans Gmunden,VIVA 49ers,121,73,,,,,,,,,,
g_3_r12EG6i4,29.01. 00:00,Kapfenberg Bulls,Dornbirn Lions,102,49,,,,,,,,,,
g_3_xO1IFQ6A,29.01. 00:00,Klosterneuburg Dukes,Worthersee Piraten,60,74,,,,,,,,,,
g_3_WQbAHnxb,29.01. 00:00,Traiskirchen Lions,Oberwart Gunners,79,93,,,,,,,,,,
g_3_l295ISMi,29.01. 00:00,Wels,St. Polten,87,75,,,,,,,,,,
g_3_IwgBfPUp,26.01. 00:00,Klosterneuburg Dukes,Furstenfeld,82,75,,,,,,,,,,
g_3_GU6qa5MT,26.01. 00:00,Oberwart Gunners,Kapfenberg Bulls,68,61,,,,,,,,,,
g_3_K2Dz1RiH,26.01. 00:00,Skala Comets,VIVA 49ers,107,91,,,,,,,,,,
g_3_Y5Hv0o7N,26.01. 00:00,St. Polten,Traiskirchen Lions,88,87,,,,,,,,,,
g_3_ABA1J87o,26.01. 00:00,Worthersee Piraten,Wels,95,88,,,,,,,,,,
g_3_QuEW17xB,23.01. 00:00,Swans Gmunden,Skala Comets,109,84,,,,,,,,,,
g_3_rXjK2mN4,23.01. 00:00,VIVA 49ers,Klosterneuburg Dukes,79,90,,,,,,,,,,
g_3_rcMF5kwn,22.01. 00:00,Kapfenberg Bulls,St. Polten,87,70,,,,,,,,,,
g_3_GAKN3T7b,22.01. 00:00,Oberwart Gunners,Dornbirn Lions,104,64,,,,,,,,,,
g_3_xKLJ49hh,22.01. 00:00,Traiskirchen Lions,Worthersee Piraten,82,87,,,,,,,,,,
g_3_UgIB6VNu,22.01. 00:00,Wels,Furstenfeld,88,75,,,,,,,,,,
g_3_EcQpll8B,16.01. 00:00,Furstenfeld,Traiskirchen Lions,65,74,,,,,,,,,,
g_3_MNThnSxO,16.01. 00:00,Klosterneuburg Dukes,Swans Gmunden,63,92,,,,,,,,,,
g_3_0ESdonhU,16.01. 00:00,St. Polten,Oberwart Gunners,77,100,,,,,,,,,,
g_3_hlPlm8NH,16.01. 00:00,VIVA 49ers,Wels,79,96,,,,,,,,,,
g_3_WYztkUh5,15.01. 00:00,Skala Comets,Dornbirn Lions,86,72,,,,,,,,,,
g_3_jJusiAwa,15.01. 00:00,Worthersee Piraten,Kapfenberg Bulls,75,83,,,,,,,,,,
g_3_ddtwhjOh,10.01. 00:00,Traiskirchen Lions,VIVA 49ers,85,75,,,,,,,,,,
g_3_0UnUgCgt,09.01. 00:00,Klosterneuburg Dukes,Skala Comets,84,87,,,,,,,,,,
g_3_I5sZhW8n,09.01. 00:00,Oberwart Gunners,Worthersee Piraten,83,79,,,,,,,,,,
g_3_bL02bhoP,08.01. 00:00,Dornbirn Lions,St. Polten,82,63,,,,,,,,,,
g_3_t0lCZ88O,08.01. 00:00,Kapfenberg Bulls,Furstenfeld,77,86,,,,,,,,,,
g_3_Sdp8zkgI,08.01. 00:00,Wels,Swans Gmunden,65,85,,,,,,,,,,
g_3_G8ZrvXgg,06.01. 00:00,Dornbirn Lions,Klosterneuburg Dukes,90,94,,,,,,,,,,
g_3_bHdewi9a,06.01. 00:00,Skala Comets,Wels,100,94,,,,,,,,,,
g_3_6sdaxBO5,06.01. 00:00,Swans Gmunden,Traiskirchen Lions,90,71,,,,,,,,,,
