matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zybeSP9i,13.04. 19:00,Vienna United W,Duches Klosterneuburg W,90,48,17,24,27,22,,10,13,9,16,
g_3_QiRv1E8O,12.04. 16:00,Basket Flames W,Vienna 87 W,62,79,17,12,12,21,,18,17,25,19,
g_3_rsB94MHp,10.04. 20:00,Vienna 87 W,Basket Flames W,77,56,10,30,21,16,,22,14,7,13,
g_3_vD6l929T,09.04. 18:15,Duches Klosterneuburg W,Vienna United W,62,98,13,17,14,18,,24,25,28,21,
g_3_tGR1Ztln,06.04. 19:00,Vienna United W,Duches Klosterneuburg W,91,39,28,29,22,12,,12,8,6,13,
g_3_biM6Y03h,05.04. 20:00,Basket Flames W,Vienna 87 W,71,69,17,20,20,14,,18,21,16,14,
g_3_KA6S8M2t,23.03. 18:00,Vienna 87 W,Vienna United W,51,78,17,8,15,11,,20,22,20,16,
g_3_Qkb05mdl,20.03. 19:00,Vienna United W,Vienna 87 W,92,61,24,19,23,26,,15,15,12,19,
g_3_IJsvrEaG,19.03. 20:15,Basket Flames W,Duches Klosterneuburg W,70,82,13,9,23,25,,18,16,23,25,
g_3_zehZrfpA,15.03. 19:00,Duches Klosterneuburg W,Basket Flames W,79,64,15,22,10,32,,17,15,14,18,
g_3_Yk6Tie65,23.02. 12:30,Stara Tura W,Duches Klosterneuburg W,48,74,10,7,17,14,,18,22,21,13,
g_3_hvoNJAfM,22.02. 18:00,Vienna 87 W,UBI Graz W,86,54,15,29,19,23,,15,9,15,15,
g_3_EmnJKjuG,16.02. 19:00,Vienna United W,UBI Graz W,94,53,20,27,19,28,,12,9,17,15,
g_3_KQnFLWP9,15.02. 18:00,Basket Flames W,Vienna 87 W,61,60,16,16,14,15,,8,14,18,20,
g_3_f5fxjZzI,15.02. 17:30,Zvolen W,Petrzalka Bratislava W,63,47,17,23,18,5,,8,7,16,16,
g_3_OvatkgjO,13.02. 19:00,Stara Tura W,Basket Flames W,63,86,15,17,18,13,,24,25,22,15,
g_3_6NrBMCA3,09.02. 19:00,Vienna United W,Vienna 87 W,74,54,18,27,10,19,,12,12,15,15,
g_3_2VcplD5U,09.02. 14:00,Slavia Banska Bystrica W,Petrzalka Bratislava W,69,37,26,23,8,12,,7,14,8,8,
g_3_GEeYjFLB,09.02. 11:30,Slavia Banska Bystrica W,Filozof Bratislava W,65,49,20,14,21,10,,9,17,9,14,
g_3_Obg6Nhec,08.02. 19:15,UBI Graz W,Basket Flames W,63,81,15,16,15,17,,28,18,20,15,
g_3_ShPj9dyt,08.02. 14:00,Zvolen W,Filozof Bratislava W,76,51,16,17,23,20,,17,16,8,10,
g_3_Sh3LgHyg,02.02. 17:30,Filozof Bratislava W,Vienna 87 W,74,66,20,18,18,18,,19,17,13,17,
g_3_l24HfcMn,02.02. 15:30,Petrzalka Bratislava W,Vienna United W,41,88,12,11,10,8,,19,19,25,25,
g_3_MF2Phyia,02.02. 11:30,Zvolen W,Stara Tura W,76,57,,,,,,,,,,
g_3_p8f2OYui,01.02. 19:15,UBI Graz W,Duches Klosterneuburg W,60,73,18,11,22,9,,7,26,22,18,
g_3_UHNp0JbP,01.02. 16:00,Filozof Bratislava W,Vienna United W,48,86,12,8,13,15,,30,11,23,22,
g_3_GEZ2yzMO,01.02. 14:00,Petrzalka Bratislava W,Vienna 87 W,51,84,15,12,7,17,,24,22,19,19,
g_3_WQ9Cew7t,01.02. 13:30,Slavia Banska Bystrica W,Stara Tura W,80,38,19,19,24,18,,9,9,4,16,
g_3_2BVbxG6I,19.01. 19:30,Duches Klosterneuburg W,Petrzalka Bratislava W,81,32,17,23,25,16,,4,7,10,11,
g_3_KntfwdiC,19.01. 16:00,Basket Flames W,Filozof Bratislava W,65,55,23,17,14,11,,10,16,16,13,
