matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_zkaK8xtU,25.05. 17:00,St. Polten,Villach,80,96,23,15,21,21,,24,16,34,22,
g_3_UXuzb7nn,21.05. 17:00,Villach,St. Polten,91,77,,,,,,,,,,
g_3_dd1u7wIr,19.05. 19:00,St. Polten,Villach,58,94,14,14,10,20,,22,21,19,32,
g_3_l470NHo4,13.05. 17:30,Villach,St. Polten,71,74,21,16,20,14,,19,20,25,10,
g_3_AD8dOcWc,07.05. 17:00,St. Polten,Villach,76,63,20,26,19,11,,11,15,22,15,
g_3_zJAM0GI7,01.05. 17:00,St. Polten,Mattersburg,67,59,29,11,13,14,,9,15,18,17,
g_3_8QmBR07p,29.04. 18:00,Mattersburg,St. Polten,79,46,19,16,31,13,,13,7,12,14,
g_3_jo1qWtaT,29.04. 17:30,Villach,Mistelbach,79,77,22,19,20,18,,19,7,30,21,
g_3_xrcuXMqN,23.04. 17:00,St. Polten,Mattersburg,81,50,21,28,21,11,,20,12,4,14,
g_3_fJ7zY2UG,22.04. 17:00,Mistelbach,Villach,74,88,25,19,14,16,,20,16,28,24,
g_3_pUNYhgG6,15.04. 18:30,Dornbirn Lions,Villach,74,79,18,24,9,23,,29,6,21,23,
g_3_ny9TeeWm,15.04. 18:30,Salzburg,Mistelbach,80,98,17,20,20,23,,29,24,21,24,
g_3_QR7XfFof,15.04. 18:00,Celovec,St. Polten,62,76,20,12,16,14,,13,23,19,21,
g_3_6wPUgZ00,14.04. 19:00,Vienna Timberwolves,Mattersburg,70,82,17,18,14,21,,17,20,20,25,
g_3_GhIc1H8Q,09.04. 17:00,Mattersburg,Vienna Timberwolves,73,67,19,14,19,21,,21,24,15,7,
g_3_YTSh2cgK,09.04. 17:00,St. Polten,Celovec,75,54,15,19,28,13,,12,16,14,12,
g_3_hE9PdyHs,09.04. 17:00AOT,Villach,Dornbirn Lions,81,72,19,18,9,19,16,12,25,18,10,7
