matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_M3KUmzEb,18.04. 18:00,Al Muharraq,Al Manama,74,81,24,19,18,13,,19,11,22,29,
g_3_rDLQlGbh,10.04. 15:00,Al Manama,Al Muharraq,63,61,8,25,13,17,,8,15,24,14,
g_3_QyRLkdqn,05.04. 15:00,Al Muharraq,Al Manama,74,83,16,21,25,12,,18,26,21,18,
g_3_f9dvVXm6,29.03. 18:00,Al Manama,Al Hala,79,61,17,18,19,25,,18,12,13,18,
g_3_EBxxnErB,27.03. 15:00,Bahrain Club,Al Najma,92,73,,,,,,,,,,
g_3_GQJYnfT4,27.03. 15:00,Nuwaidrad,Sitra Club,62,57,,,,,,,,,,
g_3_YqRU1bza,25.03. 17:00,Al Ahli,Al Muharraq,58,89,10,10,19,19,,29,17,15,28,
g_3_G8WP2vLh,24.03. 17:00,Al Hala,Al Manama,58,68,11,13,12,22,,20,18,16,14,
g_3_QiZy6uke,21.03. 17:00,Bahrain Club,Nuwaidrad,71,82,,,,,,,,,,
g_3_8GOt5a41,21.03. 17:00,Sitra Club,Al Najma,71,65,,,,,,,,,,
g_3_xIXL3K5n,20.03. 17:00,Al Muharraq,Al Ahli,83,79,23,20,22,18,,18,17,29,15,
g_3_reYH40jt,19.03. 17:00,Al Manama,Al Hala,82,84,19,15,18,30,,18,23,21,22,
g_3_ClVX6LZl,13.03. 17:00,Al Najma,Sitra Club,69,92,,,,,,,,,,
g_3_IRVT71Kr,13.03. 17:00,Nuwaidrad,Bahrain Club,82,70,,,,,,,,,,
g_3_8A3d1Gu7,08.03. 17:45,Al Manama,Nuwaidrad,96,64,32,19,21,24,,17,15,17,15,
g_3_QoEi2dQ0,08.03. 15:00,Al Najma,Al Hala,73,94,21,17,20,15,,17,21,31,25,
g_3_CrAm3xBf,07.03. 16:30,Al Ahli,Al Muharraq,78,93,21,22,18,17,,27,17,22,27,
g_3_n1200zeD,06.03. 18:45,Al Ittihad,ISSA Town,71,62,25,6,16,24,,20,9,19,14,
g_3_E7jrPJXD,06.03. 17:00,Samaheej,Bahrain Club,74,122,18,18,19,19,,38,26,32,26,
g_3_byUC9vYQ,01.03. 15:30,Nuwaidrad,Al Ahli,59,79,15,10,15,19,,16,14,22,27,
g_3_ILAq4Iel,28.02. 17:45,Al Hala,Al Manama,76,98,28,16,16,16,,23,19,27,29,
g_3_vVBu5btr,28.02. 16:00,Al Najma,Al Muharraq,59,106,,,,,,,,,,
g_3_tM6O4kna,27.02. 18:45,Samaheej,Al Ittihad,76,92,,,,,,,,,,
g_3_na7K5VWh,27.02. 17:00,ISSA Town,Sitra Club,62,68,,,,,,,,,,
g_3_KpV8AKIK,22.02. 17:45,Al Muharraq,Al Hala,112,64,22,31,34,25,,18,22,14,10,
g_3_QNV4B03E,22.02. 16:00,Nuwaidrad,Al Najma,73,66,14,14,18,27,,14,13,22,17,
g_3_SxD1Ctl8,21.02. 16:30,Al Ahli,Al Manama,65,81,15,10,21,19,,17,17,22,25,
g_3_Ye3G6BHn,20.02. 18:45,Bahrain Club,Sitra Club,61,64,,,,,,,,,,
g_3_jXDB7i2t,20.02. 17:00,Samaheej,ISSA Town,65,83,,,,,,,,,,
g_3_xl0X2TGB,16.02. 17:00,Al Ittihad,Sitra Club,71,75,,,,,,,,,,
g_3_QXYImcB7,15.02. 17:45,Al Najma,Al Ahli,75,99,21,16,17,21,,28,27,20,24,
g_3_nszFlwd1,15.02. 16:00AOT,Al Hala,Nuwaidrad,89,88,16,21,15,25,12,18,15,19,25,11
g_3_I7VAkJte,14.02. 16:30AOT,Al Manama,Al Muharraq,85,80,20,21,16,14,14,17,15,18,21,9
g_3_KC5S3915,13.02. 18:45,ISSA Town,Bahrain Club,65,67,,,,,,,,,,
g_3_Sz4qHXRh,09.02. 17:45,Al Ahli,Al Hala,84,77,23,19,22,20,,21,20,28,8,
g_3_EXauIDCn,09.02. 16:00,Al Muharraq,Nuwaidrad,86,71,15,23,22,26,,18,14,20,19,
g_3_ljhhFBd5,08.02. 17:45,Bahrain Club,Al Ittihad,60,58,14,10,15,21,,9,14,17,18,
g_3_KA0yJgct,08.02. 16:00,Al Najma,Al Manama,61,76,15,8,21,17,,19,23,14,20,
g_3_AaglGisa,06.02. 17:00,Sitra Club,Samaheej,91,56,19,25,22,25,,5,20,14,17,
g_3_I1xLPbim,21.12. 17:30,Al Ahli,Al Manama,71,72,19,26,13,13,,28,8,16,20,
g_3_4bYGQvxs,20.12. 17:45,Bahrain Club,Sitra Club,54,79,14,11,12,17,,25,20,18,16,
g_3_bHelVKTP,20.12. 16:00,ISSA Town,Nuwaidrad,71,79,15,23,19,14,,23,14,16,26,
g_3_KQdpW0EJ,19.12. 17:45,Al Ittihad,Al Najma,80,89,18,17,29,16,,27,8,26,28,
g_3_WA327HyJ,19.12. 16:00,Samaheej,Al Muharraq,60,94,17,16,15,12,,24,22,29,19,
g_3_hK4b8cMC,14.12. 17:45,ISSA Town,Bahrain Club,77,64,15,20,20,22,,19,12,14,19,
g_3_AeFg9w76,14.12. 16:00,Sitra Club,Al Ittihad,65,66,10,26,15,14,,16,10,21,19,
g_3_CAdjAJi0,13.12. 17:45,Al Muharraq,Al Ahli,63,68,15,21,18,9,,26,16,13,13,
g_3_ImcnBaxf,13.12. 16:00,Nuwaidrad,Samaheej,73,57,16,19,15,23,,17,9,13,18,
g_3_vcbrCuNm,12.12. 17:30,Al Manama,Al Hala,109,70,26,29,32,22,,21,16,22,11,
g_3_ML3wDL7s,07.12. 17:45,Bahrain Club,Samaheej,61,77,25,8,14,14,,23,25,12,17,
g_3_KCHBH1aQ,07.12. 16:00AOT,Al Ittihad,ISSA Town,75,80,16,13,20,21,5,16,20,14,20,10
g_3_QkI7IspK,06.12. 17:45,Al Hala,Al Najma,82,68,26,20,16,20,,19,21,15,13,
g_3_CnE3JNUD,06.12. 16:00,Al Ahli,Nuwaidrad,65,74,17,16,14,18,,21,16,20,17,
g_3_AszLfvhD,05.12. 16:00,Al Muharraq,Al Manama,81,84,23,20,19,19,,16,22,25,21,
g_3_UwubRax5,01.12. 17:45,Samaheej,Al Ittihad,68,86,,,,,,,,,,
g_3_C2pgSuNb,01.12. 16:00,Al Ahli,Bahrain Club,73,61,,,,,,,,,,
g_3_lKTiyFko,30.11. 17:45,Al Manama,Al Najma,90,83,20,22,21,27,,31,8,25,19,
g_3_ERxQuesU,30.11. 16:00,Al Hala,Sitra Club,74,71,14,15,23,22,,15,20,8,28,
g_3_fquRcFNk,27.11. 17:30,Nuwaidrad,Al Muharraq,79,80,14,23,17,25,,20,21,18,21,
g_3_EevrIcW2,24.11. 16:30,Al Ittihad,Al Manama,74,97,13,21,18,22,,27,21,29,20,
g_3_ngEdKUpC,23.11. 17:45,ISSA Town,Al Hala,85,101,15,27,20,23,,33,18,23,27,
g_3_82FhLAV5,23.11. 16:00,Al Najma,Sitra Club,87,81,29,14,22,22,,15,17,23,26,
g_3_pKlQkss8,22.11. 17:45,Bahrain Club,Al Muharraq,67,96,14,15,13,25,,19,20,25,32,
g_3_tnOqskw8,22.11. 16:00,Al Manama,Nuwaidrad,70,51,21,17,16,16,,8,13,15,15,
g_3_2kdMWK9A,18.11. 17:30,Al Hala,Samaheej,83,71,19,18,21,25,,15,14,22,20,
