matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_lhRMveAl,18.05. 13:00,Svisloch,Gomel,86,88,22,19,25,20,,25,24,23,16,
g_3_OOpRJtmp,17.05. 17:00,Grodno,Minsk,66,74,18,5,24,19,,21,24,11,18,
g_3_IopVI02j,17.05. 17:00,Svisloch,Gomel,79,77,19,17,15,28,,22,16,17,22,
g_3_ULmZHKHd,17.05. 17:00,Rubon,Impuls,103,62,33,15,25,30,,13,18,14,17,
g_3_YgEFQCLd,16.05. 17:00,Borisfen,Minsk 2,61,68,16,10,17,18,,9,15,23,21,
g_3_QRLvXXAm,12.05. 13:00,Impuls,Rubon,68,96,19,23,10,16,,22,25,29,20,
g_3_tfp8xfmQ,11.05. 17:00,Impuls,Rubon,56,103,16,9,19,12,,16,32,28,27,
g_3_nyNzYDes,11.05. 12:00,Minsk 2,Borisfen,81,67,18,24,19,20,,15,10,20,22,
g_3_EmhMEjeJ,11.05. 11:00,Gomel,Svisloch,85,75,29,17,13,26,,21,19,9,26,
g_3_zcgIFWuD,10.05. 17:00,Gomel,Svisloch,83,70,19,23,16,25,,14,20,13,23,
g_3_4zfPYeKR,10.05. 16:00,Minsk,Grodno,101,79,23,31,24,23,,12,19,24,24,
g_3_Sjt4wzYJ,10.05. 13:00,Minsk 2,Borisfen,86,70,18,25,27,16,,17,18,14,21,
g_3_MB4KZy5L,09.05. 18:30,Minsk,Grodno,99,75,14,25,29,31,,16,10,24,25,
g_3_A7ssHuC8,07.05. 17:00,Minsk 2,Impuls,60,63,19,13,9,19,,15,20,19,9,
g_3_ITO4Em02,04.05. 13:00,Impuls,Minsk 2,58,87,12,14,20,12,,19,27,21,20,
g_3_2wnD8cCq,03.05. 17:00,Svisloch,Minsk,68,88,14,24,16,14,,20,16,25,27,
g_3_z5aK6ysd,03.05. 17:00,Borisfen,Rubon,76,86,20,18,21,17,,26,22,18,20,
g_3_EebO5ed2,03.05. 17:00,Impuls,Minsk 2,94,79,22,22,29,21,,23,18,19,19,
g_3_tUpH7HRk,02.05. 17:00,Gomel,Grodno,53,87,11,14,10,18,,22,19,24,22,
g_3_OQBTsdoi,27.04. 16:00,Grodno,Gomel,96,79,19,13,32,32,,17,23,15,24,
g_3_MLXpJC8j,27.04. 14:00,Minsk,Svisloch,118,69,30,28,31,29,,25,16,18,10,
g_3_b36hxhFS,27.04. 13:00,Rubon,Borisfen,80,74,21,21,19,19,,27,22,14,11,
g_3_0ChKXBNq,27.04. 11:30,Minsk 2,Impuls,68,76,16,16,15,21,,27,18,20,11,
g_3_4t7lwYaM,26.04. 18:00,Minsk 2,Impuls,80,75,18,21,15,26,,16,21,19,19,
g_3_8ITtKhgp,26.04. 17:00,Grodno,Gomel,91,55,17,25,29,20,,6,16,18,15,
g_3_h63pvEpG,26.04. 17:00,Rubon,Borisfen,90,78,30,17,23,20,,15,22,20,21,
g_3_GM5DyLOH,26.04. 15:30,Minsk,Svisloch,100,61,23,27,25,25,,13,10,13,25,
g_3_tSmUFCgL,23.04. 17:00,Svisloch,Rubon,86,84,19,25,23,19,,27,20,15,22,
g_3_jBOQFrdD,19.04. 17:00,Minsk 2,Gomel,62,66,10,21,12,19,,22,11,19,14,
