matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tIMEqRcT,14.04. 14:00,Gomel W,Horizont Minsk 2 W,59,62,17,12,10,20,,15,14,22,11,
g_3_rVGmEHor,13.04. 15:30,Olimpia Grodno W,Minsk W,67,85,18,15,15,19,,30,13,25,17,
g_3_2RNAp7rN,13.04. 15:00,Rguor Minsk W,Victoria Brest W,72,82,24,15,15,18,,31,17,21,13,
g_3_MLFiDy1l,13.04. 13:00,Victoria Grodno W,Horizont Minsk W,65,83,13,18,22,12,,16,16,25,26,
g_3_WIggzPdR,07.04. 14:30,Victoria Brest W,Rguor Minsk W,64,60,20,16,15,13,,13,13,10,24,
g_3_lbtLVr5r,07.04. 14:00,Horizont Minsk 2 W,Gomel W,67,66,20,16,18,13,,14,19,14,19,
g_3_OpzHJwOK,07.04. 13:00,Minsk W,Olimpia Grodno W,93,53,24,27,27,15,,13,19,9,12,
g_3_2yZKIcwR,07.04. 11:00,Horizont Minsk W,Victoria Grodno W,78,51,21,19,23,15,,13,6,14,18,
g_3_GKW8Lag8,06.04. 16:00,Minsk W,Olimpia Grodno W,98,66,30,26,29,13,,12,17,10,27,
g_3_UNzDKJ8E,06.04. 13:00,Horizont Minsk W,Victoria Grodno W,107,46,32,31,19,25,,7,16,11,12,
g_3_2NixCq7f,03.04. 17:30,Rguor Minsk W,Horizont Minsk 2 W,74,66,18,23,12,21,,22,15,20,9,
g_3_tEjtB3M0,03.04. 16:30,Gomel W,Victoria Brest W,63,67,16,20,14,13,,17,21,15,14,
g_3_EX3HqSK7,31.03. 12:00,Horizont Minsk W,Olimpia Grodno W,77,78,24,15,19,19,,23,22,18,15,
g_3_Eaz0VX7F,30.03. 14:00,Horizont Minsk W,Olimpia Grodno W,71,70,13,12,21,25,,14,15,20,21,
g_3_z9ydWDh9,30.03. 14:00,Victoria Grodno W,Minsk W,36,69,4,12,4,16,,18,16,19,16,
g_3_Kb2XCPil,24.03. 14:00,Victoria Brest W,Gomel W,81,64,29,18,16,18,,14,22,15,13,
g_3_6ebTD5xr,24.03. 13:00,Horizont Minsk 2 W,Rguor Minsk W,46,59,16,7,17,6,,15,18,11,15,
g_3_IXtiXgw3,24.03. 11:00,Olimpia Grodno W,Horizont Minsk W,64,58,16,13,16,19,,15,10,16,17,
g_3_vsrmYZNd,24.03. 10:00,Minsk W,Victoria Grodno W,79,60,22,12,23,22,,15,25,11,9,
g_3_Qwf59jod,23.03. 14:00,Olimpia Grodno W,Horizont Minsk W,71,53,24,14,14,19,,18,10,13,12,
g_3_E3j1AWVk,23.03. 12:00,Minsk W,Victoria Grodno W,100,48,34,23,26,17,,7,23,7,11,
g_3_vewHKvSB,17.03. 13:00,Horizont Minsk W,Victoria Brest W,100,50,25,29,21,25,,4,16,11,19,
g_3_WUZ8M0ca,17.03. 13:00,Horizont Minsk 2 W,Victoria Grodno W,64,67,19,17,17,11,,11,19,22,15,
g_3_ALYCLKC5,16.03. 10:30,Gomel W,Olimpia Grodno W,51,84,5,16,21,9,,15,24,22,23,
g_3_KY4TtVrE,14.03. 15:30,Victoria Grodno W,Horizont Minsk 2 W,69,61,10,16,25,18,,13,12,21,15,
g_3_l6p4Ntrg,13.03. 16:30,Rguor Minsk W,Minsk W,42,61,8,13,9,12,,19,12,13,17,
g_3_jLR0OMSn,13.03. 15:00,Victoria Brest W,Horizont Minsk W,60,102,14,10,12,24,,25,20,32,25,
g_3_dbSdP2Dt,10.03. 12:30,Olimpia Grodno W,Gomel W,110,47,32,25,27,26,,8,11,8,20,
g_3_rHLpIo6D,10.03. 11:00,Minsk W,Rguor Minsk W,96,34,23,22,26,25,,8,12,8,6,
g_3_WraFPoT5,03.03. 14:00,Horizont Minsk 2 W,Victoria Brest W,80,53,18,26,16,20,,7,17,18,11,
g_3_IchaXxVE,03.03. 13:00,Minsk W,Olimpia Grodno W,88,54,17,25,28,18,,16,16,11,11,
