matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_W4rQQTxS,19.05. 18:30,Horizont Minsk W,Minsk W,52,45,14,10,17,11,,10,15,9,11,
g_3_YF3OJPoC,14.05. 16:45,Minsk W,Horizont Minsk W,55,53,12,11,20,12,,15,7,11,20,
g_3_jPmlNWM7,13.05. 16:00,Horizont Minsk 2 W,Olimpia Grodno W,62,80,21,11,18,12,,21,20,14,25,
g_3_025GLoHa,12.05. 17:00AOT,Minsk W,Horizont Minsk W,65,68,18,20,13,8,6,14,24,10,11,9
g_3_U9auPhhe,10.05. 12:00,Olimpia Grodno W,Horizont Minsk 2 W,86,45,26,17,23,20,,15,18,8,4,
g_3_4zC7N7nm,08.05. 17:00,Horizont Minsk W,Minsk W,72,57,23,21,13,15,,21,11,12,13,
g_3_MqdXQENr,08.05. 16:00,Olimpia Grodno W,Horizont Minsk 2 W,78,44,14,24,18,22,,7,14,19,4,
g_3_f1QyTTOP,06.05. 17:00,Horizont Minsk W,Minsk W,64,65,20,12,13,19,,14,19,14,18,
g_3_CzxEFsLr,03.05. 14:30,Olimpia Grodno W,Minsk W,66,70,15,15,18,18,,12,27,10,21,
g_3_K6GdVVA7,03.05. 12:00,Gomel W,BC Minsk Youth W,78,64,12,16,24,26,,17,19,15,13,
g_3_6196Wy0D,01.05. 13:00,Minsk W,Olimpia Grodno W,59,61,10,13,18,18,,18,15,5,23,
g_3_jV4tsFUg,30.04. 16:00,Horizont Minsk 2 W,Horizont Minsk W,67,96,7,16,28,16,,27,28,21,20,
g_3_fofyLew3,29.04. 16:00,Minsk W,Olimpia Grodno W,56,61,15,8,16,17,,15,19,14,13,
g_3_UFGXry0s,27.04. 13:00,Horizont Minsk W,Horizont Minsk 2 W,95,48,28,21,24,22,,14,12,6,16,
g_3_CtDlXite,26.04. 14:30,BC Minsk Youth W,Gomel W,63,77,15,17,14,17,,14,21,21,21,
g_3_tdeHtoJD,26.04. 13:00,Olimpia Grodno W,Minsk W,47,61,13,9,14,11,,26,8,18,9,
g_3_bXP1lcxK,25.04. 16:00,Horizont Minsk W,Horizont Minsk 2 W,89,32,17,32,25,15,,12,6,6,8,
g_3_8rc9r7l1,24.04. 17:00,Olimpia Grodno W,Minsk W,47,68,16,15,10,6,,18,16,15,19,
g_3_Y1GXdoyB,19.04. 12:00,BC Minsk Youth W,Horizont Minsk 2 W,60,63,15,16,16,13,,22,4,18,19,
g_3_QaeCk3Tp,19.04. 10:30,Gomel W,Minsk W,60,96,14,21,10,15,,37,19,23,17,
g_3_tfbQb76b,16.04. 16:00,Horizont Minsk 2 W,BC Minsk Youth W,43,39,5,16,11,11,,14,7,8,10,
g_3_fH4teP5N,16.04. 14:30,Minsk W,Gomel W,90,52,25,24,20,21,,18,9,15,10,
g_3_06D4aGHG,13.04. 11:00,Victoria Brest W,Gomel W,64,53,27,10,23,4,,8,18,12,15,
g_3_K8T5cfnT,13.04. 09:30,Victoria Grodno W,Gomel 2 W,71,32,15,23,14,19,,6,11,6,9,
g_3_ShFd1xm4,12.04. 13:00,Olimpia Grodno W,Horizont Minsk 2 W,74,47,21,16,21,16,,11,11,10,15,
g_3_WQLm3bIi,11.04. 16:00,Minsk W,Horizont Minsk W,48,68,17,10,9,12,,15,19,18,16,
g_3_4KT1ueQp,09.04. 16:00,Horizont Minsk 2 W,Minsk W,32,71,3,8,13,8,,21,20,10,20,
g_3_KnhVpH2N,09.04. 15:00,BC Minsk Youth W,Horizont Minsk W,40,90,14,11,7,8,,25,20,26,19,
g_3_SvzOnwYA,06.04. 12:00,Gomel 2 W,Victoria Brest W,51,81,18,11,15,7,,24,23,18,16,
g_3_WCtFla3b,06.04. 11:00,Victoria Grodno W,Gomel W,72,51,17,24,15,16,,14,8,20,9,
g_3_rkkcae0J,05.04. 14:30,Minsk W,Olimpia Grodno W,53,56,9,10,21,13,,11,11,14,20,
g_3_bar7jLYo,05.04. 11:30,BC Minsk Youth W,Horizont Minsk 2 W,42,52,12,11,8,11,,15,10,18,9,
g_3_dYjk1HV6,02.04. 16:30,Olimpia Grodno W,BC Minsk Youth W,97,43,26,21,30,20,,14,8,4,17,
g_3_zJ2t3w1f,02.04. 16:00,Horizont Minsk 2 W,Horizont Minsk W,58,79,12,20,13,13,,20,22,16,21,
g_3_ShaY4aWs,30.03. 12:00,Victoria Brest W,Victoria Grodno W,62,78,13,18,17,14,,19,15,19,25,
g_3_GEVFnIGD,29.03. 12:00,Horizont Minsk W,Olimpia Grodno W,69,66,15,12,23,19,,19,19,17,11,
g_3_MFx7lvn1,29.03. 11:00,BC Minsk Youth W,Minsk W,38,90,10,11,8,9,,16,25,28,21,
g_3_EkZbj0Hl,28.03. 14:00,Gomel W,Gomel 2 W,85,43,28,14,30,13,,4,13,7,19,
g_3_AsCbN1m2,25.03. 15:30,Olimpia Grodno W,Minsk W,75,57,26,20,14,15,,13,14,10,20,
g_3_IqXJUqeS,25.03. 14:00,Horizont Minsk 2 W,BC Minsk Youth W,53,47,13,13,14,13,,12,15,11,9,
g_3_UHcSeMgR,23.03. 08:30AOT,Gomel W,Victoria Brest W,72,77,24,9,12,15,12,19,5,19,17,17
g_3_MifKcrPE,22.03. 11:00,Horizont Minsk W,Minsk W,70,68,19,17,18,16,,21,21,13,13,
g_3_OpxYy12e,22.03. 10:00,Gomel 2 W,Victoria Grodno W,65,56,19,10,24,12,,27,15,10,4,
g_3_dbztzuX7,21.03. 14:00,Horizont Minsk 2 W,Olimpia Grodno W,41,79,14,11,10,6,,19,24,21,15,
g_3_SIrPwNXr,19.03. 15:00,Horizont Minsk W,BC Minsk Youth W,92,46,23,20,24,25,,9,20,12,5,
