matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_tS7iI6iT,31.05. 11:00,Grodno,Minsk,69,66,22,14,11,22,,19,17,11,19,
g_3_MTT1myD5,28.05. 17:00,Borisfen,Rubon,90,98,17,27,17,29,,25,28,21,24,
g_3_2F1Z105c,25.05. 14:00,Rubon,Borisfen,78,71,20,18,14,26,,15,13,18,25,
g_3_6mpJXdCO,24.05. 10:30,Minsk,Grodno,63,81,14,14,23,12,,21,16,28,16,
g_3_QH0CrTYH,23.05. 17:00,Rubon,Borisfen,79,99,23,18,11,27,,29,17,25,28,
g_3_CEIwalJb,22.05. 16:45,Minsk,Grodno,78,75,20,15,18,25,,17,20,16,22,
g_3_8Ov0zgTb,21.05. 17:00,Impuls,SDUSHOR Minsk,84,70,15,22,23,24,,16,24,16,14,
g_3_UJbogrhB,21.05. 16:00,Gomel,Grodno GrSU,53,79,13,12,17,11,,20,24,16,19,
g_3_Iic4pk45,18.05. 14:00,Borisfen,Rubon,71,87,12,23,14,22,,20,21,23,23,
g_3_84Axe4Nb,18.05. 12:00,Grodno GrSU,Gomel,93,68,22,29,17,25,,26,15,11,16,
g_3_0v7UdQhn,17.05. 12:00,SDUSHOR Minsk,Impuls,93,69,19,18,25,31,,16,22,17,14,
g_3_GnPU0Aln,17.05. 11:00,Grodno,Minsk,63,66,17,18,13,15,,14,16,13,23,
g_3_MP3enBZh,16.05. 17:00,Borisfen,Rubon,96,90,26,27,28,15,,40,21,12,17,
g_3_nXlLt73U,15.05. 17:00,Grodno,Minsk,89,74,21,15,28,25,,20,18,16,20,
g_3_MDyKxN7U,14.05. 17:00,Impuls,SDUSHOR Minsk,88,77,24,19,22,23,,20,16,22,19,
g_3_2Fk02QJt,13.05. 16:30,Grodno,Rubon,86,61,20,22,20,24,,13,20,14,14,
g_3_SOVd3sY8,10.05. 12:00,Rubon,Grodno,74,63,15,18,20,21,,13,19,18,13,
g_3_ljA1PQnC,08.05. 17:30,Minsk,Borisfen,81,78,24,24,11,22,,26,20,16,16,
g_3_zmSSunXh,08.05. 17:00,Rubon,Grodno,81,69,17,28,21,15,,13,22,20,14,
g_3_4taIj3oB,07.05. 17:30,Gomel,Impuls,67,87,19,2,18,28,,17,33,15,22,
g_3_KE0kqLwo,06.05. 16:30,Grodno GrSU,SDUSHOR Minsk,69,76,18,25,11,15,,28,16,17,15,
g_3_tQ6gRnIa,04.05. 14:00,Borisfen,Minsk,54,92,14,10,19,11,,19,18,33,22,
g_3_vLYJs82t,04.05. 12:00,Grodno,Rubon,90,72,17,31,17,25,,15,21,22,14,
g_3_xfcQlsGN,03.05. 14:00,SDUSHOR Minsk,Grodno GrSU,80,50,,,,,,,,,,
g_3_8E59hPGb,03.05. 12:00,Impuls,Gomel,92,56,20,20,37,15,,17,13,15,11,
g_3_pbDpT8mm,02.05. 18:00,Borisfen,Minsk,62,82,14,19,18,11,,22,22,22,16,
g_3_A5bAN4HO,02.05. 16:30,Grodno,Rubon,103,64,31,21,22,29,,19,13,9,23,
g_3_EijdvbdM,26.04. 13:00,Gomel,Grodno,43,119,8,12,7,16,,29,37,30,23,
g_3_0IVChh6E,26.04. 13:00,Impuls,Rubon,64,90,12,13,19,20,,26,25,17,22,
g_3_hGAioAbl,26.04. 12:00,SDUSHOR Minsk,Minsk,62,100,17,17,17,11,,19,26,28,27,
g_3_h2VIWAqe,26.04. 10:30,Grodno GrSU,Borisfen,61,98,12,17,18,14,,26,23,30,19,
g_3_KlXAYWEr,22.04. 17:30,Borisfen,Grodno GrSU,86,64,21,25,24,16,,22,17,14,11,
g_3_lUORUlE7,22.04. 17:00AOT,Rubon,Impuls,104,96,25,25,23,18,13,32,16,21,22,5
g_3_tvhltKR9,22.04. 16:30,Grodno,Gomel,108,52,28,27,30,23,,17,14,10,11,
g_3_MXJLjWzR,22.04. 15:00,Minsk,SDUSHOR Minsk,92,61,29,28,15,20,,20,11,1,29,
g_3_trSiPLfc,19.04. 13:00,Gomel,Brest,85,69,19,28,15,23,,19,15,12,23,
g_3_6c7Rk7mL,15.04. 18:00,Brest,Rguor Minsk,76,62,13,13,26,24,,16,28,4,14,
g_3_OjHoa18B,15.04. 17:30,Minsk,Grodno,68,77,16,15,16,21,,19,21,12,25,
g_3_Iwno1Nwa,15.04. 17:00,Borisfen,Impuls,80,57,21,24,22,13,,7,17,13,20,
g_3_neiQiTI8,13.04. 12:00,Grodno GrSU,Gomel,83,51,20,12,26,25,,14,15,13,9,
g_3_Qu7685oP,12.04. 14:00,Minsk,Borisfen,93,76,23,24,29,17,,13,19,24,20,
g_3_ADrw3q9n,12.04. 13:00AOT,Rubon,Impuls,87,82,20,21,18,12,16,22,15,19,15,11
g_3_6VCQBmB0,06.04. 13:00,Borisfen 2,Gomel,75,95,17,15,20,23,,27,19,29,20,
g_3_EXXoJVIQ,06.04. 13:00,Rubon II,Grodno GrSU,58,124,12,13,15,18,,23,33,35,33,
g_3_YHEID9tl,06.04. 12:00,Rguor Minsk,SDUSHOR Minsk,60,71,17,18,15,10,,20,21,12,18,
g_3_4zMBnOO5,05.04. 12:00,Grodno,Rubon,91,74,23,24,20,24,,15,23,12,24,
g_3_bZEKp2gI,04.04. 17:00,Impuls,Minsk,58,71,13,13,12,20,,13,19,19,20,
g_3_IRP1nXsk,01.04. 17:00,Rguor Minsk,Rubon II,82,71,28,16,22,16,,13,19,18,21,
g_3_QBiicld7,01.04. 12:00,Grodno GrSU,Borisfen 2,103,47,29,27,29,18,,7,16,12,12,
g_3_hpvpaARf,30.03. 13:00,SDUSHOR Minsk,Brest,93,65,13,22,24,34,,13,15,15,22,
g_3_67UwLilE,30.03. 12:00,Gomel,Rguor Minsk,85,82,27,19,20,19,,24,21,13,24,
g_3_zeUfj6Pt,29.03. 13:00AOT,Rubon,Minsk,97,90,24,18,25,15,15,18,19,33,12,8
g_3_WMN3lpfg,29.03. 11:00,Grodno,Borisfen,78,60,13,23,19,23,,11,18,20,11,
g_3_dIpy1Wdr,26.03. 16:30,Rguor Minsk,Grodno GrSU,58,69,10,19,10,19,,23,26,7,13,
g_3_4K5d8E48,26.03. 16:00,Rubon II,Borisfen 2,73,80,14,29,16,14,,12,19,24,25,
g_3_0na56hZK,26.03. 14:00,Brest,Gomel,95,76,27,21,30,17,,27,17,14,18,
g_3_4CwPeS1J,25.03. 16:00,Borisfen,Rubon,90,92,25,24,16,25,,12,17,34,29,
g_3_MmEvlGrD,25.03. 16:00,Impuls,Grodno,51,100,10,8,19,14,,20,25,23,32,
g_3_nqZVigKR,23.03. 11:00,Gomel,SDUSHOR Minsk,98,104,22,26,29,21,,28,23,22,31,
