matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_27Lcdsyq,10.03. 15:30,Spirou Charleroi,Limburg,58,70,20,14,17,7,,16,16,19,19,
g_3_booVFIAr,21.01. 15:30,Leuven Bears,Limburg,47,71,12,15,9,11,,13,24,18,16,
g_3_Kj2sD9YF,21.01. 15:30,Spirou Charleroi,Mechelen,74,66,18,24,18,14,,21,20,13,12,
g_3_dxa3Kb2R,19.01. 20:30,Limburg,Leuven Bears,77,64,23,23,12,19,,11,23,17,13,
g_3_t03wEkJ9,19.01. 20:30,Mechelen,Spirou Charleroi,67,88,13,17,19,18,,19,25,22,22,
g_3_r7SJfym2,13.12. 20:00,Antwerp Giants,Mechelen,77,79,17,17,19,24,,25,17,18,19,
g_3_U1Xw0WOs,11.12. 20:30,Liege,Leuven Bears,94,93,23,23,26,22,,23,19,25,26,
g_3_z1F5Ivu9,10.12. 16:00,Oostende,Limburg,70,78,26,15,16,13,,10,23,20,25,
g_3_Cv2qoHWh,10.12. 16:00,Spirou Charleroi,Circus Brussels,47,43,11,10,15,11,,5,16,10,12,
g_3_pM9GeHXe,09.12. 20:30,Mechelen,Antwerp Giants,90,69,20,23,22,25,,16,22,20,11,
g_3_Ym3uncHn,08.12. 20:30,Circus Brussels,Spirou Charleroi,68,68,18,21,19,10,,9,21,22,16,
g_3_hxAAHbfF,08.12. 20:30,Leuven Bears,Liege,90,70,23,20,23,24,,17,18,20,15,
g_3_dAG1JKP2,08.12. 20:30,Limburg,Oostende,64,66,12,19,22,11,,17,28,11,10,
g_3_z7pxrOX8,28.10. 20:00,BC Ninane,Spirou Charleroi,69,98,,,,,,,,,,
g_3_UmKRJBoJ,22.10. 15:00,Circus Brussels,Okapi Aalst,85,66,26,20,19,20,,13,13,16,24,
g_3_MNGJLXG6,22.10. 15:00,Leuven Bears,Belfius Mons,67,57,17,15,18,17,,16,14,14,13,
g_3_rT1EsFwQ,22.10. 15:00,Liege,Kortrijk,81,80,18,19,21,23,,21,18,19,22,
g_3_08SANgnf,21.10. 20:30,LDP Donza,Limburg,61,76,21,19,11,10,,17,17,22,20,
g_3_GI1ZtrmF,21.10. 20:00,Ciney,Antwerp Giants,67,100,24,19,14,10,,28,20,30,22,
g_3_hrP2PFHs,20.10. 21:00,BCCA Neufchateau,Mechelen,80,101,27,14,21,18,,27,21,25,28,
g_3_rXHFMD10,20.10. 20:30,Belfius Mons,Leuven Bears,68,75,,,,,,,,,,
g_3_WhbAreOJ,20.10. 20:30,Kortrijk,Liege,73,73,,,,,,,,,,
g_3_jcLNKiWC,20.10. 20:30,Okapi Aalst,Circus Brussels,75,67,26,15,12,22,,22,12,22,11,
g_3_n5O6OZWm,20.10. 20:00,Mailleux Comblain,Oostende,64,101,,,,,,,,,,
