matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_QgldEIb3,03.06. 20:30,Antwerp Giants,Oostende,71,74,16,13,18,24,,18,17,24,15,
g_3_bBrjBKyI,31.05. 20:30,Oostende,Antwerp Giants,82,69,29,20,19,14,,19,24,14,12,
g_3_2qksDt75,29.05. 20:30,Antwerp Giants,Oostende,87,66,17,18,36,16,,18,19,12,17,
g_3_UVjZE2xg,27.05. 20:30,Oostende,Antwerp Giants,93,89,27,23,20,23,,26,14,21,28,
g_3_naq2KawP,24.05. 20:00,Antwerp Giants,Limburg,76,64,18,17,26,15,,15,17,13,19,
g_3_UmjBGjC4,22.05. 20:30,Limburg,Antwerp Giants,71,70,17,21,18,15,,18,8,25,19,
g_3_GnHQWVkI,22.05. 20:00,Liege,Oostende,63,83,20,14,20,9,,14,22,20,27,
g_3_IVc66aFd,19.05. 20:30,Oostende,Liege,89,95,24,24,14,27,,33,20,15,27,
g_3_rwF7ATXR,19.05. 15:00,Antwerp Giants,Limburg,90,68,26,21,26,17,,12,22,21,13,
g_3_nBLbCk3F,17.05. 20:30,Limburg,Antwerp Giants,66,77,18,20,11,17,,26,19,18,14,
g_3_d2fOGMO8,17.05. 20:00,Liege,Oostende,72,77,14,20,14,24,,28,15,14,20,
g_3_487xgJW1,15.05. 20:30,Oostende,Liege,82,64,27,19,17,19,,14,13,14,23,
g_3_0fNjEBY2,15.05. 20:00,Antwerp Giants,Limburg,76,81,18,17,16,25,,15,24,19,23,
g_3_C0JLRJ6L,12.05. 15:00,Limburg,Mechelen,81,69,17,21,25,18,,22,14,18,15,
g_3_6Pm79mpg,10.05. 20:30,Belfius Mons,Antwerp Giants,71,86,17,22,14,18,,21,23,20,22,
g_3_CQfbB9Ft,10.05. 20:30,Leuven Bears,Oostende,69,80,20,17,21,11,,25,18,20,17,
g_3_z5uO55qI,10.05. 20:30,Mechelen,Limburg,75,70,22,21,7,25,,16,12,20,22,
g_3_nq9tOnan,10.05. 20:00,Liege,Spirou Charleroi,82,64,23,23,20,16,,19,17,16,12,
g_3_vwnF7RE5,08.05. 20:30,Limburg,Mechelen,90,84,20,25,17,28,,29,19,16,20,
g_3_M1Fli6UO,08.05. 20:30,Oostende,Leuven Bears,83,64,26,26,18,13,,15,20,15,14,
g_3_rVrW3qEU,08.05. 20:30AOT,Spirou Charleroi,Liege,93,98,17,23,11,32,10,19,22,26,16,15
g_3_0nRugSaC,08.05. 20:00,Antwerp Giants,Belfius Mons,80,64,23,20,19,18,,19,12,18,15,
