matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_8tvqf5KU,08.03. 11:15,Kortrijk W,Namur W,60,72,14,16,17,13,,16,16,20,20,
g_3_Ukuueo5O,07.03. 20:30,Antwerp W,Phantoms W,86,107,17,20,27,22,,25,28,29,25,
g_3_0GzydRkI,07.03. 20:30,Lummen W,Braine W,55,89,18,9,14,14,,20,25,21,23,
g_3_MPyXd7zC,07.03. 20:30AOT,Mechelen W,Liege W,94,90,27,16,20,9,22,16,16,25,15,18
g_3_v1nScmL5,07.03. 20:00,Pepinster W,Sint-Katelijne-Waver W,53,81,,,,,,,,,,
g_3_re68oJVr,05.03. 20:30,Sint-Katelijne-Waver W,Braine W,83,76,14,24,24,21,,17,19,20,20,
g_3_AT6dJ0nj,04.03. 21:00,Kortrijk W,Lummen W,60,61,12,14,17,17,,12,12,14,23,
g_3_zXimacHu,03.03. 21:00,Charleroi W,Laarne W,64,69,,,,,,,,,,
g_3_z95kJciE,03.03. 20:30,Namur W,Mechelen W,70,60,21,23,11,15,,21,11,16,12,
g_3_hppG0kym,02.03. 20:30,Braine W,Kortrijk W,94,65,28,26,20,20,,9,11,16,29,
g_3_QcrObT5a,01.03. 15:00,Sint-Katelijne-Waver W,Antwerp W,84,65,13,21,25,25,,17,11,19,18,
g_3_WzqKa9jg,29.02. 21:00,Phantoms W,Charleroi W,74,62,10,24,22,18,,24,6,16,16,
g_3_CYSI1VLt,29.02. 20:30,Laarne W,Pepinster W,67,70,,,,,,,,,,
g_3_M5H7fEED,29.02. 18:00,Liege W,Lummen W,71,62,22,17,22,10,,15,18,15,14,
g_3_QJeDpwok,26.02. 20:30,Charleroi W,Mechelen W,61,82,22,11,9,19,,13,31,20,18,
g_3_vNLnax0r,23.02. 15:00,Namur W,Charleroi W,90,70,21,18,36,15,,23,15,22,10,
g_3_82D3efa7,23.02. 15:00,Sint-Katelijne-Waver W,Lummen W,71,40,21,14,16,20,,10,9,8,13,
g_3_nmPfcGUf,22.02. 21:00,Phantoms W,Kortrijk W,88,50,18,28,19,23,,14,12,8,16,
g_3_QwObdzp1,22.02. 20:30,Antwerp W,Mechelen W,75,92,15,21,17,22,,23,29,26,14,
g_3_IDKjbdFl,22.02. 20:30,Laarne W,Braine W,59,107,20,6,17,16,,29,29,27,22,
g_3_YuqK3IiR,22.02. 18:00,Liege W,Pepinster W,72,64,12,19,21,20,,24,20,3,17,
g_3_CzbPsyV7,19.02. 20:30,Lummen W,Namur W,51,78,9,12,15,15,,13,27,19,19,
g_3_8K6ZiLhF,18.02. 21:00,Laarne W,Liege W,54,93,16,15,16,7,,32,12,17,32,
g_3_d0Xt8wrK,18.02. 20:30,Charleroi W,Phantoms W,63,82,23,13,16,11,,25,8,24,25,
g_3_M5uG4bxL,16.02. 16:00,Charleroi W,Antwerp W,73,61,18,20,20,15,,9,14,19,19,
g_3_SrtC5vNE,16.02. 15:00,Pepinster W,Phantoms W,72,77,20,19,12,21,,17,16,19,25,
g_3_lhs86K78,16.02. 11:15,Kortrijk W,Sint-Katelijne-Waver W,51,86,6,13,15,17,,24,20,18,24,
g_3_vNaHqc0e,15.02. 17:00,Mechelen W,Laarne W,92,58,18,31,24,19,,10,12,14,22,
g_3_YqaLrHF1,12.02. 20:30,Braine W,Liege W,65,57,25,8,10,22,,12,9,24,12,
g_3_nB5wiu8L,01.02. 20:30,Antwerp W,Kortrijk W,76,81,21,25,11,19,,15,18,22,26,
g_3_hhWBfKDK,01.02. 20:30,Laarne W,Charleroi W,78,81,24,22,11,21,,18,16,28,19,
g_3_ChDQgsO2,26.01. 16:00,Charleroi W,Kortrijk W,47,65,12,13,15,7,,18,14,18,15,
g_3_bkPrVco2,26.01. 15:00,Sint-Katelijne-Waver W,Liege W,66,57,23,12,18,13,,10,15,22,10,
g_3_KbQvWwWe,25.01. 21:00AOT,Phantoms W,Mechelen W,92,88,22,17,25,19,9,25,15,21,22,5
g_3_OWWVXa1q,25.01. 20:30AOT,Laarne W,Lummen W,75,71,9,17,24,12,13,17,11,14,20,9
g_3_6ip4xtgS,25.01. 20:30,Namur W,Braine W,59,74,10,15,18,16,,17,16,26,15,
