matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_QaunSIB4,22.04. 20:30,Braine W,Mechelen W,81,69,17,22,20,22,,21,19,11,18,
g_3_SjrvpuyH,20.04. 15:00AOT,Braine W,Mechelen W,82,77,12,23,21,13,13,16,14,21,18,8
g_3_KQvWo164,18.04. 16:00,Mechelen W,Braine W,77,69,19,13,24,21,,17,15,14,23,
g_3_W6PIaWj4,13.04. 15:15,Mechelen W,Namur W,77,69,22,16,17,22,,22,17,26,4,
g_3_SjKay8YR,13.04. 15:00,Braine W,Phantoms W,85,73,18,15,26,26,,26,13,18,16,
g_3_AiyA1hMi,11.04. 20:30,Namur W,Mechelen W,67,82,16,15,14,22,,23,24,23,12,
g_3_6yWjwU3F,11.04. 20:30,Phantoms W,Braine W,61,96,16,19,12,14,,28,19,30,19,
g_3_63fCP1Li,06.04. 19:30,Namur W,Kortrijk W,99,42,33,28,25,13,,12,3,12,15,
g_3_hzonxu5c,06.04. 18:00AOT,Waregem W,Phantoms W,93,100,34,20,13,21,5,19,18,30,21,12
g_3_Ei82HIsT,06.04. 17:00,Jeugd Gentson W,Liege W,69,75,,,,,,,,,,
g_3_ETcKNuj4,06.04. 17:00,Mechelen W,Charleroi W,88,53,23,21,25,19,,6,11,22,14,
g_3_r9kyKckT,06.04. 15:00,Braine W,Donza W,90,64,23,29,19,19,,15,17,17,15,
g_3_QTh0EyDj,04.04. 20:30,Phantoms W,Waregem W,74,63,19,13,27,15,,18,16,17,12,
g_3_AeiTLJKG,04.04. 19:00,Donza W,Braine W,62,110,21,11,22,8,,28,24,33,25,
g_3_WIoIqZmA,03.04. 20:30Awrd,Jeugd Gentson W,Brunehaut W,20,0,,,,,,,,,,
g_3_vqkQsDIM,03.04. 20:30,Liege W,Lummen W,72,54,18,22,25,7,,17,18,10,9,
g_3_MyjhK6qC,03.04. 20:30,Kortrijk W,Namur W,73,79,25,14,12,22,,24,18,20,17,
g_3_Q7HP1bTp,03.04. 20:00,Charleroi W,Mechelen W,73,99,19,16,20,18,,21,22,32,24,
g_3_QHvXUYad,29.03. 20:30,Kortrijk W,Mechelen W,58,84,7,13,17,21,,23,26,26,9,
g_3_WIoOWfVq,29.03. 20:30,Namur W,Phantoms W,73,57,14,24,19,16,,12,22,10,13,
g_3_QJJjk3oB,29.03. 20:15,Charleroi W,Brunehaut W,114,59,33,28,29,24,,13,16,11,19,
g_3_44VsiPGb,29.03. 18:15,Liege W,Jeugd Gentson W,70,73,22,15,17,16,,14,27,14,18,
g_3_dvSZhonn,29.03. 18:00,Waregem W,Donza W,95,72,20,21,33,21,,17,12,23,20,
g_3_fwzXYs1U,28.03. 20:00,Braine W,Lummen W,142,43,42,36,28,36,,4,12,15,12,
g_3_dIjat82t,22.03. 20:30,Jeugd Gentson W,Braine W,52,103,10,13,13,16,,36,24,23,20,
g_3_IXv8vnXh,22.03. 20:30,Lummen W,Waregem W,48,91,9,15,14,10,,29,17,14,31,
g_3_MPyPz4WH,22.03. 20:30,Phantoms W,Kortrijk W,87,66,24,20,19,24,,15,14,22,15,
g_3_MBdjM4HO,22.03. 20:00,Brunehaut W,Namur W,37,115,10,4,15,8,,33,29,29,24,
g_3_Qq3sOQnC,22.03. 18:15,Donza W,Liege W,81,59,25,21,15,20,,11,11,13,24,
g_3_QcrGxQ15,21.03. 18:30,Mechelen W,Charleroi W,112,62,34,32,23,23,,15,12,20,15,
g_3_hW4ZPnIa,15.03. 20:30,Braine W,Mechelen W,76,61,21,17,18,20,,19,9,15,18,
g_3_nVPfXUPP,15.03. 20:30,Kortrijk W,Lummen W,100,37,21,26,28,25,,7,12,11,7,
g_3_d4BQR8mm,15.03. 20:30,Namur W,Jeugd Gentson W,94,64,14,28,30,22,,17,16,21,10,
g_3_6Zn89RXI,15.03. 20:00,Brunehaut W,Donza W,56,88,16,14,5,21,,25,18,19,26,
g_3_b9q0Bm36,15.03. 18:15,Liege W,Phantoms W,81,75,23,14,15,29,,18,23,16,18,
g_3_2sjiD9Yg,15.03. 18:00,Waregem W,Charleroi W,93,72,26,28,17,22,,18,16,11,27,
g_3_bgJpEyVG,01.03. 20:30,Kortrijk W,Braine W,70,89,18,18,18,16,,20,26,20,23,
g_3_QuLxGc04,01.03. 20:30,Namur W,Donza W,81,75,21,20,20,20,,19,20,27,9,
g_3_fLCgCFaT,01.03. 20:30,Phantoms W,Jeugd Gentson W,83,62,23,25,21,14,,12,5,28,17,
g_3_pWCUHJVi,01.03. 20:15,Charleroi W,Lummen W,64,77,12,13,16,23,,15,17,24,21,
g_3_YiqCaxGN,01.03. 18:15,Liege W,Waregem W,63,67,25,6,19,13,,20,17,13,17,
g_3_QRu41boB,28.02. 20:30,Brunehaut W,Mechelen W,34,117,11,11,7,5,,31,29,32,25,
g_3_GUTvxr7D,23.02. 15:15,Mechelen W,Namur W,83,70,22,20,19,22,,20,16,16,18,
g_3_nkxOuQ7l,22.02. 20:30,Jeugd Gentson W,Charleroi W,59,72,11,22,8,18,,16,22,17,17,
g_3_hlKkbYNF,22.02. 20:30,Lummen W,Liege W,58,65,10,11,19,18,,17,13,12,23,
g_3_fFuWw4x1,22.02. 20:30,Phantoms W,Brunehaut W,107,47,33,21,26,27,,8,21,11,7,
g_3_KzMs0fg3,22.02. 18:15,Donza W,Kortrijk W,82,84,21,17,22,22,,16,27,20,21,
g_3_6evexi1d,22.02. 18:00,Waregem W,Braine W,67,97,16,13,14,24,,30,21,26,20,
g_3_M1BBZGQr,15.02. 20:30,Kortrijk W,Charleroi W,83,72,31,15,12,25,,17,23,21,11,
g_3_jJKuuw3L,15.02. 20:30,Namur W,Lummen W,112,62,28,35,22,27,,25,13,13,11,
g_3_rHaKXfee,15.02. 20:30,Phantoms W,Mechelen W,55,72,9,15,15,16,,21,18,15,18,
g_3_fiRWtaY8,15.02. 20:00,Brunehaut W,Waregem W,44,92,4,12,9,19,,17,24,28,23,
g_3_2cvoJet2,15.02. 18:15,Donza W,Jeugd Gentson W,86,42,12,31,23,20,,10,9,14,9,
g_3_8boxLHBk,15.02. 18:15,Liege W,Braine W,34,76,9,8,12,5,,23,21,20,12,
g_3_d81u2npe,26.01. 15:15,Mechelen W,Liege W,85,42,32,25,17,11,,6,15,9,12,
g_3_4AM09UiL,26.01. 15:00,Donza W,Phantoms W,63,92,18,15,15,15,,11,29,24,28,
g_3_r5y6mmV1,25.01. 20:30,Braine W,Charleroi W,86,53,16,24,29,17,,9,14,12,18,
g_3_j7dRfVxS,25.01. 20:30,Jeugd Gentson W,Kortrijk W,65,62,18,22,17,8,,17,18,18,9,
g_3_dQfBbDw3,25.01. 20:30,Lummen W,Brunehaut W,66,53,18,15,21,12,,12,19,10,12,
g_3_UJ2PzAod,25.01. 18:00,Waregem W,Namur W,84,76,22,23,18,21,,23,11,21,21,
g_3_fPz5Wsq4,19.01. 15:15,Mechelen W,Lummen W,101,47,28,24,21,28,,5,7,12,23,
g_3_4z8CQieo,18.01. 20:30,Jeugd Gentson W,Waregem W,64,80,17,25,15,7,,16,25,21,18,
g_3_EgRuq0BC,18.01. 20:30,Namur W,Liege W,68,40,20,22,15,11,,12,13,8,7,
g_3_naXdY3Ei,18.01. 20:30,Phantoms W,Braine W,74,94,15,25,23,11,,29,20,24,21,
g_3_IRXWpMt0,18.01. 20:00,Brunehaut W,Kortrijk W,59,87,22,13,12,12,,17,21,25,24,
g_3_QThhh4lQ,18.01. 18:15,Donza W,Charleroi W,74,67,21,16,17,20,,21,11,13,22,
g_3_EiIgWs8j,11.01. 20:30,Braine W,Donza W,83,59,25,22,18,18,,14,15,14,16,
g_3_r9RNy4pT,11.01. 20:30,Kortrijk W,Namur W,65,72,22,13,20,10,,19,17,14,22,
g_3_O6BMwQFG,11.01. 20:30,Lummen W,Jeugd Gentson W,44,54,8,14,10,12,,10,21,9,14,
g_3_jgDEuno4,11.01. 20:15,Charleroi W,Phantoms W,80,94,22,21,13,24,,24,26,23,21,
g_3_fRJ5s8Gi,11.01. 18:15,Liege W,Brunehaut W,111,65,25,37,31,18,,15,9,17,24,
g_3_SKRJJ4Op,11.01. 18:00,Waregem W,Mechelen W,62,78,13,22,16,11,,24,15,18,21,
g_3_UPD2ZNbf,05.01. 15:15,Mechelen W,Donza W,99,52,22,26,27,24,,18,11,16,7,
g_3_MaAfypUs,04.01. 20:30,Braine W,Namur W,69,46,12,19,20,18,,14,8,12,12,
g_3_2BcMghp9,04.01. 20:30,Lummen W,Phantoms W,86,97,17,26,25,18,,25,20,26,26,
g_3_z55zWlh2,04.01. 20:15,Charleroi W,Liege W,72,64,14,19,17,22,,14,20,18,12,
g_3_UizzYANk,04.01. 20:15,Jeugd Gentson W,Brunehaut W,76,46,22,19,19,16,,6,9,11,20,
g_3_YLl4wXaS,04.01. 18:00,Waregem W,Kortrijk W,72,68,14,20,18,20,,14,20,15,19,
g_3_xfeeugVF,22.12. 13:00,Phantoms W,Waregem W,75,84,19,21,17,18,,20,9,29,26,
g_3_UTimsF03,21.12. 20:30,Jeugd Gentson W,Mechelen W,44,78,10,11,16,7,,25,17,23,13,
g_3_lYE0JB8d,21.12. 20:30,Namur W,Charleroi W,63,42,21,15,16,11,,10,10,12,10,
g_3_OO6BX1T6,21.12. 20:00,Brunehaut W,Braine W,47,106,11,10,15,11,,28,25,27,26,
g_3_ryChLXwp,21.12. 18:15,Donza W,Lummen W,69,65,14,12,20,23,,14,15,20,16,
g_3_OjVLQgGM,21.12. 18:15,Liege W,Kortrijk W,59,75,18,19,8,14,,17,24,16,18,
g_3_dp7Wd2ye,15.12. 15:15,Mechelen W,Kortrijk W,94,62,22,25,22,25,,13,16,14,19,
g_3_UVjjHWM9,14.12. 20:30,Jeugd Gentson W,Liege W,74,64,13,17,25,19,,20,14,13,17,
g_3_6cJcBtZj,14.12. 20:30,Lummen W,Braine W,59,122,14,20,6,19,,27,38,37,20,
g_3_lK3ObO6r,14.12. 20:30,Phantoms W,Namur W,81,90,23,22,17,19,,23,15,26,26,
g_3_ARXRG2BT,14.12. 20:00,Brunehaut W,Charleroi W,66,85,18,18,15,15,,22,26,18,19,
g_3_EavJIOtH,14.12. 18:15,Donza W,Waregem W,55,57,16,9,17,13,,10,16,16,15,
g_3_z3zmblt9,07.12. 20:30,Braine W,Jeugd Gentson W,97,40,20,15,32,30,,12,13,12,3,
g_3_A9G8zol2,07.12. 20:30,Namur W,Brunehaut W,74,53,16,16,19,23,,10,10,15,18,
g_3_xdI0x7Jk,07.12. 18:15,Liege W,Donza W,61,72,7,15,22,17,,17,18,12,25,
g_3_re0SfFZG,07.12. 18:00,Waregem W,Lummen W,80,59,25,16,25,14,,17,20,4,18,
g_3_zVdKdy54,07.12. 17:00,Kortrijk W,Phantoms W,70,63,16,35,12,7,,16,15,16,16,
g_3_EF8Bbczh,05.12. 20:00,Charleroi W,Mechelen W,62,95,19,18,14,11,,19,33,25,18,
g_3_KdRHMrBk,01.12. 15:00,Charleroi W,Waregem W,73,70,15,20,17,21,,23,17,17,13,
g_3_SbnwUQIF,30.11. 20:30,Lummen W,Kortrijk W,61,82,21,11,6,23,,15,27,15,25,
g_3_lEznS4mS,30.11. 20:30,Phantoms W,Liege W,88,61,30,18,27,13,,12,14,14,21,
g_3_n1vpQHHs,30.11. 20:15,Jeugd Gentson W,Namur W,52,84,10,17,13,12,,29,19,20,16,
g_3_h0MBrQX8,30.11. 20:00,Mechelen W,Braine W,69,54,10,22,19,18,,13,21,8,12,
g_3_KYrVVnl3,30.11. 18:15,Donza W,Brunehaut W,70,49,15,20,17,18,,10,12,15,12,
g_3_tjvj8qdd,23.11. 20:30,Braine W,Waregem W,91,60,20,17,23,31,,19,16,9,16,
g_3_8xtrA5Rq,23.11. 20:30,Kortrijk W,Donza W,77,80,21,20,30,6,,16,25,19,20,
g_3_06ZPKMu2,23.11. 20:30,Namur W,Mechelen W,58,80,20,14,13,11,,14,27,23,16,
g_3_lhaBFR3M,23.11. 20:15,Charleroi W,Jeugd Gentson W,89,61,24,24,21,20,,12,21,15,13,
g_3_tSe3HmZ9,23.11. 20:00,Brunehaut W,Phantoms W,46,116,13,11,12,10,,22,22,32,40,
g_3_KC7fJ94c,23.11. 18:15,Liege W,Lummen W,64,49,17,23,12,12,,15,7,14,13,
g_3_xGbUqPX1,17.11. 15:15,Mechelen W,Brunehaut W,129,56,36,30,41,22,,19,9,13,15,
g_3_tl5Loo3k,16.11. 20:30,Braine W,Kortrijk W,93,51,32,15,25,21,,13,11,20,7,
g_3_pIJki7uS,16.11. 20:30,Lummen W,Charleroi W,64,83,12,11,17,24,,15,26,22,20,
g_3_GOCZfkt3,16.11. 20:15,Jeugd Gentson W,Phantoms W,62,79,11,13,15,23,,21,22,16,20,
g_3_zTZnXold,16.11. 18:15,Donza W,Namur W,57,67,9,23,17,8,,18,17,19,13,
g_3_8Ik8vUeM,16.11. 18:00,Waregem W,Liege W,83,68,25,26,13,19,,14,13,22,19,
g_3_pvwQ1lLH,14.11. 20:00,Liege W,Mechelen W,36,77,8,9,8,11,,17,17,23,20,
g_3_lArtxf6N,02.11. 18:00,Donza W,Mechelen W,69,101,15,15,14,25,,29,22,21,29,
g_3_MNOjIll1,26.10. 20:30,Kortrijk W,Jeugd Gentson W,75,72,20,15,24,16,,12,21,11,28,
g_3_UmSbGSID,26.10. 20:30,Namur W,Waregem W,83,79,11,20,26,26,,16,25,16,22,
g_3_pbL87hit,26.10. 20:30,Phantoms W,Donza W,90,56,20,22,21,27,,13,12,9,22,
g_3_IBJG5WLh,26.10. 20:15,Charleroi W,Braine W,60,104,14,14,18,14,,29,35,23,17,
g_3_xEZH3Aj5,26.10. 20:00,Brunehaut W,Lummen W,72,66,15,21,19,17,,17,16,16,17,
g_3_lnYncKmS,19.10. 20:30,Braine W,Liege W,88,60,23,22,20,23,,14,21,17,8,
g_3_hKvvatJF,19.10. 20:30,Lummen W,Namur W,53,95,20,9,10,14,,30,26,26,13,
g_3_tnEVX3KG,19.10. 20:15,Charleroi W,Kortrijk W,55,86,21,14,11,9,,19,21,25,21,
g_3_KWPMZPk4,19.10. 20:15,Jeugd Gentson W,Donza W,66,53,12,12,23,19,,8,17,6,22,
g_3_EZMEynLi,19.10. 20:00,Mechelen W,Phantoms W,81,77,25,24,22,10,,18,20,18,21,
g_3_bRvSDrTp,19.10. 18:00,Waregem W,Brunehaut W,125,54,27,42,21,35,,14,16,11,13,
g_3_WCOoYCEa,12.10. 20:30,Kortrijk W,Waregem W,64,51,12,20,19,13,,11,12,14,14,
g_3_boBvzZqm,12.10. 20:30,Namur W,Braine W,60,61,21,15,15,9,,17,20,11,13,
g_3_SvIfWjqC,12.10. 20:30,Phantoms W,Lummen W,90,29,33,22,21,14,,6,7,4,12,
g_3_EDZ7ueMP,12.10. 20:00,Brunehaut W,Jeugd Gentson W,65,66,9,19,24,13,,17,24,15,10,
g_3_n7sMHiUI,12.10. 18:15,Liege W,Charleroi W,59,76,13,17,18,11,,19,15,17,25,
g_3_W8xdJlYp,06.10. 15:15,Mechelen W,Jeugd Gentson W,102,59,33,17,27,25,,20,11,11,17,
g_3_0QoQOAAN,05.10. 20:30,Braine W,Brunehaut W,113,39,28,25,35,25,,9,8,8,14,
g_3_MaIHShBb,05.10. 20:30,Kortrijk W,Liege W,74,53,18,13,22,21,,16,16,9,12,
