matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_40XgHFV4,07.09. 02:00,Pichincha Potosi,Calero Potosi,68,66,13,13,20,22,,9,18,21,18,
g_3_OxtOMy32,05.09. 02:00,Calero Potosi,Pichincha Potosi,71,64,18,17,20,16,,13,19,21,11,
g_3_IPvzILhd,02.09. 02:00,Calero Potosi,Pichincha Potosi,78,70,16,14,21,27,,12,17,18,23,
g_3_8WA0laFe,31.08. 02:00,San Simon,Leones de Potosi,78,86,13,15,23,27,,30,15,19,22,
g_3_63hqJkw3,29.08. 02:00,Leones de Potosi,San Simon,88,81,25,18,21,24,,24,15,18,24,
g_3_4MzWI1wj,28.08. 02:00,Pichincha Potosi,Calero Potosi,87,80,18,22,26,21,,14,20,24,22,
g_3_8IZuKVNd,27.08. 02:00,Leones de Potosi,San Simon,97,84,18,25,26,28,,16,20,23,25,
g_3_McoRJsOq,26.08. 02:00,Pichincha Potosi,Calero Potosi,78,72,20,16,24,18,,20,22,14,16,
g_3_EX9LgAeC,24.08. 02:00,Leones de Potosi,Calero Potosi,54,64,17,14,11,12,,13,20,15,16,
g_3_2kfwl54k,22.08. 02:00,Calero Potosi,Leones de Potosi,61,72,12,12,16,21,,19,15,20,18,
g_3_WrghaIEB,20.08. 02:00,Calero Potosi,Leones de Potosi,74,71,18,12,20,24,,11,20,21,19,
g_3_tf0u2KUh,19.08. 02:00,San Simon,Pichincha Potosi,64,83,15,8,21,20,,25,20,25,13,
g_3_E7bm0ba5,15.08. 02:00,Leones de Potosi,Calero Potosi,65,60,17,13,14,21,,14,14,14,18,
g_3_Sjdy30Fn,14.08. 00:00,Pichincha Potosi,San Simon,83,74,24,22,21,16,,19,16,19,20,
g_3_zHaq1vpa,13.08. 01:30,Leones de Potosi,Calero Potosi,69,74,19,18,13,19,,10,19,24,21,
g_3_pS6W3t0t,12.08. 03:00AOT,Pichincha Potosi,San Simon,90,86,17,16,30,12,15,19,27,14,15,11
g_3_nampjrDG,08.08. 00:00,Calero Potosi,Tarija Basquet,72,66,18,15,15,24,,6,17,28,15,
g_3_6TckGFZG,07.08. 02:00,UNITEPC,Pichincha Potosi,78,116,26,18,12,22,,25,32,29,30,
g_3_fgfoHeKA,07.08. 01:00,Calero Potosi,Tenis La Paz,106,70,21,25,33,27,,18,17,18,17,
g_3_0WfsIy54,06.08. 02:00,Leones de Potosi,Saracho,107,63,28,31,28,20,,17,19,14,13,
g_3_MudwJHkb,06.08. 01:00,Tarija Basquet,Univ. Sucre,94,75,17,22,28,27,,16,16,22,21,
g_3_441YJczh,04.08. 02:00,Pichincha Potosi,Tarija Basquet,93,90,20,23,25,25,,21,10,32,27,
g_3_QD2UKwLo,04.08. 01:00,Tenis La Paz,UNITEPC,83,86,24,28,16,15,,24,11,25,26,
g_3_CAEndfro,03.08. 02:00,Saracho,Calero Potosi,75,90,18,16,21,20,,11,29,35,15,
g_3_0YoJDMDI,03.08. 01:00,San Simon,Univ. Sucre,84,70,21,10,26,27,,16,17,22,15,
g_3_Whb6GOTa,31.07. 02:00,Leones de Potosi,San Simon,71,65,19,17,20,15,,16,13,22,14,
g_3_I9dEE2bC,31.07. 02:00,Tarija Basquet,Tenis La Paz,125,69,27,31,37,30,,18,15,21,15,
g_3_vJcAFrq6,31.07. 01:00,UNITEPC,Saracho,76,101,19,19,22,16,,31,29,22,19,
g_3_h2a2H4Eg,31.07. 01:00,Univ. Sucre,Pichincha Potosi,53,87,14,11,12,16,,29,21,23,14,
g_3_AwAcIpam,28.07. 02:00,Tenis La Paz,Univ. Sucre,66,102,10,15,9,32,,30,28,24,20,
g_3_04KNOnMJ,28.07. 01:00,San Simon,Pichincha Potosi,77,95,16,22,22,17,,20,24,21,30,
