matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_GvRwt9rh,24.07. 02:00,Carl A-Z,Atletico Nacional,69,93,19,20,12,18,,25,22,34,12,
g_3_WYqEPmbB,23.07. 02:00,Univ. Sucre,Kinwa,80,69,16,15,19,30,,14,14,27,14,
g_3_2ghcTVbn,22.07. 02:00AOT,Leones de Potosi,Pichincha Potosi,60,58,19,15,8,10,8,13,14,10,15,6
g_3_OWOhI5jo,21.07. 02:00,Atletico Nacional,Carl A-Z,90,51,24,21,24,21,,8,13,16,14,
g_3_QT8vmiLF,19.07. 02:00,Pichincha Potosi,Calero Potosi,81,85,25,12,12,32,,32,17,20,16,
g_3_U1FVlDj3,18.07. 02:00,Carl A-Z,Univ. Sucre,78,82,20,17,15,26,,22,17,20,23,
g_3_bs7noVkS,17.07. 02:00,Atletico Nacional,Kinwa,88,63,28,17,26,17,,21,14,18,10,
g_3_O4SqR9bd,16.07. 02:00,Leones de Potosi,Can Oruro,98,55,30,16,24,28,,11,11,12,21,
g_3_IeuyVWkn,15.07. 02:00,Kinwa,Carl A-Z,89,94,15,27,25,22,,20,24,24,26,
g_3_tG1JCkzI,14.07. 02:00,Calero Potosi,Leones de Potosi,82,80,26,21,18,17,,19,20,24,17,
g_3_2VkSAT4U,14.07. 02:00,Univ. Sucre,Pichincha Potosi,95,89,23,17,26,29,,13,23,30,23,
g_3_YkbBEB55,13.07. 02:00,Can Oruro,Atletico Nacional,71,88,16,22,17,16,,20,28,21,19,
g_3_xO42GXzg,12.07. 02:00,Leones de Potosi,Univ. Sucre,71,60,16,16,26,13,,14,13,13,20,
g_3_4A6fIg6t,11.07. 02:00,Can Oruro,Calero Potosi,101,84,22,28,27,24,,22,21,26,15,
g_3_hd0rBxaD,10.07. 02:00,Carl A-Z,Atletico Nacional,72,95,22,22,18,10,,19,23,24,29,
g_3_pWdzDbU0,09.07. 02:00,Pichincha Potosi,Kinwa,51,58,5,9,17,20,,18,14,10,16,
g_3_OG8REKal,08.07. 02:00,Carl A-Z,Can Oruro,113,106,24,34,23,32,,31,30,19,26,
g_3_hYHeKtxR,07.07. 02:00,Univ. Sucre,Calero Potosi,99,75,23,22,20,34,,23,13,16,23,
g_3_txF8baF7,06.07. 02:00,Atletico Nacional,Pichincha Potosi,57,50,23,16,11,7,,13,5,23,9,
g_3_YV1fM27E,06.07. 02:00,Kinwa,Leones de Potosi,68,71,32,18,8,10,,19,22,19,11,
g_3_pALa0Lpe,05.07. 02:00,Can Oruro,Univ. Sucre,93,104,15,27,26,25,,31,25,25,23,
g_3_xpIi2sGr,04.07. 02:00,Pichincha Potosi,Carl A-Z,90,54,30,11,24,25,,16,19,8,11,
g_3_hCtL73hL,03.07. 02:00,Leones de Potosi,Atletico Nacional,66,71,18,20,9,19,,15,21,19,16,
g_3_04OD9PN8,02.07. 02:00,Calero Potosi,Kinwa,66,79,16,22,17,11,,21,15,15,28,
g_3_pdtRoMV1,01.07. 02:00,Pichincha Potosi,Can Oruro,102,81,26,13,27,36,,21,22,16,22,
g_3_CrrJmr1k,30.06. 02:00,Carl A-Z,Leones de Potosi,83,90,21,23,19,20,,29,23,13,25,
g_3_hb1ng4wS,29.06. 02:00,Atletico Nacional,Calero Potosi,84,64,26,26,26,6,,17,17,15,15,
g_3_6s3veQ8F,29.06. 02:00,Kinwa,Univ. Sucre,58,65,16,11,20,11,,18,14,21,12,
g_3_pSEVdnv3,28.06. 02:00,Leones de Potosi,Pichincha Potosi,70,62,14,20,15,21,,18,8,10,26,
g_3_ILMqZrnd,27.06. 02:00,Univ. Sucre,Atletico Nacional,70,82,22,24,9,15,,28,24,21,9,
g_3_MgTzy5Hq,26.06. 02:00,Can Oruro,Kinwa,83,88,27,11,21,24,,17,11,21,39,
g_3_QNs5tRgM,25.06. 02:00,Calero Potosi,Carl A-Z,78,64,23,24,10,21,,18,18,14,14,
g_3_WOldrmP9,24.06. 02:00AOT,Can Oruro,Leones de Potosi,91,95,20,22,19,20,10,19,26,22,14,14
g_3_Obolp9fc,23.06. 02:00,Univ. Sucre,Carl A-Z,87,81,19,19,26,23,,13,26,18,24,
g_3_tzM3xcyi,22.06. 02:00,Kinwa,Atletico Nacional,67,90,28,18,9,12,,21,19,24,26,
