matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_vaHvq0PJ,14.04. 23:00,Americana W,Ourinhos W,69,61,12,19,16,22,,12,17,15,17,
g_3_2sYeKGnJ,10.04. 00:00,Ourinhos W,Americana W,80,85,27,23,17,13,,25,26,17,17,
g_3_Wvemn10M,05.04. 00:00,Americana W,Santo Andre W,79,62,26,15,17,21,,13,16,16,17,
g_3_jkXirHh7,03.04. 01:00,Americana W,Santo Andre W,62,65,14,15,12,21,,14,15,20,16,
g_3_UuWesy8D,03.04. 00:00,Ourinhos W,Catanduva W,72,70,23,12,21,16,,14,19,23,14,
g_3_8Qsmqcw1,24.03. 22:00AOT,Catanduva W,Ourinhos W,69,72,22,14,16,8,9,19,17,13,11,12
g_3_fNwqpwOf,23.03. 23:30AOT,Santo Andre W,Americana W,83,85,18,27,15,16,7,24,18,24,10,9
g_3_0r747d7p,20.03. 00:00,Catanduva W,Maranhao W,75,66,17,16,20,22,,15,15,18,18,
g_3_rcqYJHwO,20.03. 00:00,Sao Jose W,Santo Andre W,69,76,20,24,10,15,,18,23,18,17,
g_3_E1PejYhm,19.03. 00:00,Ourinhos W,Blumenau W,64,48,13,8,26,17,,13,13,6,16,
g_3_zBQiiEws,17.03. 22:00,Americana W,Aracatuba W,95,65,26,25,17,27,,15,14,14,22,
g_3_dQE0kh8g,17.03. 22:00,Catanduva W,Maranhao W,65,59,12,14,18,21,,21,7,20,11,
g_3_ATI4lCNa,17.03. 01:00,Sao Jose W,Santo Andre W,70,69,25,14,18,13,,15,17,18,19,
g_3_2NewYjwJ,13.03. 00:00,Blumenau W,Ourinhos W,56,65,12,10,13,21,,17,17,19,12,
g_3_rJYPefVP,13.03. 00:00,Santo Andre W,Sao Jose W,75,57,20,15,20,20,,17,6,13,21,
g_3_4SZLdzGJ,11.03. 21:00,Maranhao W,Catanduva W,69,64,21,24,9,15,,20,14,17,13,
g_3_jmhZYWNC,10.03. 22:00,Aracatuba W,Americana W,52,67,8,14,12,18,,17,19,17,14,
